source_path,lab_path,sha256,size_bytes,kind,status
packages/lumicore/src/agent/agent.rs,labs/lumicore/source-alternates/agent/agent.rs,657e5e86f4e89675c2ea72429ad41f2e2380b017a395d3b4677f57b7deff92a6,1731,rust,unreachable-rust
packages/lumicore/src/agent/connector_sync.rs,labs/lumicore/source-alternates/agent/connector_sync.rs,69cec6e6644f5c942c41be2550907e4b4030ba33326746554081ff355c074ead,1514,rust,unreachable-rust
packages/lumicore/src/agent/memory_graph.rs,labs/lumicore/source-alternates/agent/memory_graph.rs,767174f40be1514c7f83bdd18494853f76b51a5246c929bcadbd07699be84622,1124,rust,unreachable-rust
packages/lumicore/src/agent/net.rs,labs/lumicore/source-alternates/agent/net.rs,858971186983c31509b280d651c1b86fbf1d9b81c06f3b313868d0e7cc7d1737,1908,rust,unreachable-rust
packages/lumicore/src/agent/prompt_injection_detector.rs,labs/lumicore/source-alternates/agent/prompt_injection_detector.rs,e6af03e0b13f3484b74aadc9ee06167af0cdcb13c6d90c6d3a73924c06c29e9b,732,rust,unreachable-rust
packages/lumicore/src/agent/sandbox.rs,labs/lumicore/source-alternates/agent/sandbox.rs,b6b945b8c250c76cba22e9b7c1cd844bd6da3d014128c9875da0cde90a0c6b03,1408,rust,unreachable-rust
packages/lumicore/src/agent/security_guard.rs,labs/lumicore/source-alternates/agent/security_guard.rs,a1c4e5536e30cdf7d065e1ebc8faec9b9d7da542c47118dbb7d2f9c598dc13e9,767,rust,unreachable-rust
packages/lumicore/src/agent/tool_timeout.rs,labs/lumicore/source-alternates/agent/tool_timeout.rs,ad1887236c282cdf95bc537b59f82ee3e3460e2be41a6b669397767c90e43d4e,488,rust,unreachable-rust
packages/lumicore/src/codec/base_codecs.rs,labs/lumicore/source-alternates/codec/base_codecs.rs,f8f6796b57683213e93a000da70c7b45248491b701def5756680b40ab995f509,4694,rust,unreachable-rust
packages/lumicore/src/crypto/nistec_math.go,labs/lumicore/source-alternates/crypto/nistec_math.go,63cafde22ac5558369a837402644112060f899afaa99dacfba9374e935c9cb7a,519,go,foreign-source-root
