wave,module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
post-refactor-20b,PR117-M0001,serenity-dev,@root,11,.gitignore,83c3b0f95f9c23eb90af9138ee5eca8f1511c739a776afa03d04f18032837e28,.gitignore,mkdocs.yml
post-refactor-20b,PR117-M0002,serenity-dev,.github,1,.github/update_dependencies.sh,c4c5f89f2fd7bfcbb33ed0bd674d23f6b06a3d0f7ade26f9f7601174c4bf1c0f,.github/update_dependencies.sh,.github/update_dependencies.sh
post-refactor-20b,PR117-M0003,serenity-dev,.github/workflows,4,.github/workflows/docker.yml,6a5a54e54e1a8414021f22303f87cc985677ae5bb84454fa2ee9feb56089275d,.github/workflows/docker.yml,.github/workflows/test.yml
post-refactor-20b,PR117-M0004,serenity-dev,cmd/serenity,6,cmd/serenity/cmd_check.go,8369e6d6d268157cbdb5c12b3c040c82987eec2eacf79065f123f27dcb3afa39,cmd/serenity/cmd_check.go,cmd/serenity/main.go
post-refactor-20b,PR117-M0005,serenity-dev,common/cachefile,2,common/cachefile/cache.go,d55afbd0930c3aae129cbe6eed24557755f542afe057cbdd1ff873a0ea3cd269,common/cachefile/cache.go,common/cachefile/subscription.go
post-refactor-20b,PR117-M0006,serenity-dev,common/metadata,1,common/metadata/metadata.go,cb0ae9f85744f74fd53a88ae9a4d21fcc1bd3e81d68c162fe25c4d7dac689311,common/metadata/metadata.go,common/metadata/metadata.go
post-refactor-20b,PR117-M0007,serenity-dev,common/semver,1,common/semver/version.go,21fd9341fafa48b022979fb63b2ecb89d22cc2c572991d42cd0249422dd057cf,common/semver/version.go,common/semver/version.go
post-refactor-20b,PR117-M0008,serenity-dev,constant,2,constant/rule_set.go,f263f1b9e94ba3370a624c3ccdc224a33a606528b74b482b4697950254db3ce4,constant/rule_set.go,constant/version.go
post-refactor-20b,PR117-M0009,serenity-dev,docs,6,docs/CNAME,399c396fb9700e5be6d606364b48ba0b97c600d0f6f56d0f24c90d9090189c5e,docs/CNAME,docs/support.zh.md
post-refactor-20b,PR117-M0010,serenity-dev,docs/assets,1,docs/assets/icon.svg,821522f217169d51f53e3338b8cd19490eae515cc032f1202a0729b6113074b0,docs/assets/icon.svg,docs/assets/icon.svg
