wave,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ultimate-63,3xui-telegram-bot-main,.gitignore,fe07aeae2cfd1ff2ce4c0c5911dfbb550a3f1065e213175039abadfc3a5a15bb,4628,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,LICENSE,f0288fed6b6e9567ec2396eb17635765ea8a5deb6e350ee58b275287a99396ac,1064,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,README.md,09913c38e77b230be23f1eed8e9dfbd3ae159ffd9315690ca2e322657a1d6c43,10378,file,n/a,documentation,evidence-or-derived,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,config.py,fed67215c92db7d601694e290225b1ea979c7b19cfabbc593d4aa66f732fcbc0,4042,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,database.py,737e7c38f7b5a1aa0bb171ec6a40deb758a3c6c4a2879149fdf2cc2b61420b40,16428,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/admin.py,556e9a048962366d284513edd2d4e4f72109035c59473c7a10b6157f1f4b2d94,5956,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/admin_extra.py,4dba542088724fa4a3de82ebf946f1662ca1e20588e1ca01a13774d50b64f7b4,9554,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/purchase.py,834c1a7aa6e3ba5a9cb94b92564c9d3ba5c47b1a9511e2d32a817ca537bff0c9,11451,file,n/a,implementation,authoritative-source,FP-M0001;E9-0014,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/services.py,b150880794f205fe3c562632db3dbdb24132b7fc4d74a4d89c68da19b4c490e7,8712,file,n/a,operational,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/start.py,3e4b89155b41c615b7751cc77487b9c2a54427e50c4d0001c2595610da7b1069,11369,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/trial.py,8af41db1f2b9a0ffe146b08a45320038bb9ce7908e8e825217ebf93d3be81be8,2388,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,handlers/wallet.py,d646f012c6571974c83448d00cd02322e64c8f6bbfa8de9a8ae78df657596fdd,3397,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,install.sh,e995c8780ffcf0d679bae3556f022fe4accc6919a50774054c7bfe25f3f590ba,9672,file,n/a,operational,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,keyboards/__init__.py,0f017e542d049e24fead464efd0bee35664ea288c36f53f68708f025c6923856,4249,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,main.py,0dc93150fe40691aa2db4af35ca1688bca2f4091ca48557d720b818ad6097184,2417,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,middlewares/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
ultimate-63,3xui-telegram-bot-main,middlewares/membership.py,05bd27ae89cdc8648a4720529c6b52b0f7298b9c1bff93b919ca9c85453723ab,1852,file,n/a,implementation,authoritative-source,FP-M0001,final cross-wave recursive accountability; fine-grained semantics link separately where applicable
