wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes,second_order_disposition,semantic_record_ids,unresolved
235,dns_blocklists,.gitattributes,1,0,0,751,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,.github/ISSUE_TEMPLATE,4,4,0,9623,semantic-profile-reviewed,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,.github/dependabot.yml,1,1,0,117,semantic-profile-reviewed,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,.github/workflows,6,6,0,7483,semantic-profile-reviewed,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,.gitignore,1,0,0,339,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,LICENSE,1,0,0,35149,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,README.md,1,0,0,119939,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/anti.piracy.txt,1,0,0,631091,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/blocklist-referral-native.txt,1,0,0,33564,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/doh-ips.txt,1,0,0,24334,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/doh-vpn-proxy-bypass.txt,1,0,0,371279,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/doh.top.txt,1,0,0,5854,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
235,dns_blocklists,adblock/doh.txt,1,0,0,71900,accounted-low-signal,PR235-S001;PR235-S014;PR235-S015;PR235-S016;PR235-S017;PR235-S018;PR235-S019,0
