target_capability,contributing_records,donors,dispositions,target_nodes,second_order_result
SNI candidate corpus,PR228-SNICORPUS,sni-spoofing-rust,reference-only,src/apps/daemon/internal/analysis/diagnostics/sni_candidate_corpus.go#CuratedSNICandidates,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
SNI gateway planning,PR228-SNI001,sni-spoofing-rust,hardened,src/apps/daemon/internal/analysis/diagnostics/sni_gateway_plan.go#BuildSNIGatewayPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
SNI operator evidence workflow,PR228-SNIUI,sni-spoofing-rust,rejected-with-reason,src/packages/control-ui/src/pages/Operations.tsx;src/apps/daemon/internal/foundation/updateadmission,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
SSH tunnel authentication admission,PR228-S001,ssh,hardened,src/apps/daemon/internal/runtime/proxy/ssh_tunnel.go#buildAuthMethods,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
Shadowsocks external-core compatibility,PR228-SS001,shadowsocks-rust,hardened,src/apps/daemon/internal/networking/proxyconfig/core_compat.go;src/apps/daemon/internal/runtime/proxy/core_manager.go,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
TUN/process routing authority,PR228-TUN002,tinytun,superseded,src/apps/daemon/internal/platform/system;src/packages/lumicore/src/netutil/supervision.rs,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
Tailnet transaction planning,PR228-TAIL001,tailscale-client,inspired-native,src/apps/daemon/internal/analysis/diagnostics/tailnet_transaction_plan.go#BuildTailnetTransactionPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
WireGuard device policy,PR228-WG002,mwgp,guardrail-derived,src/apps/daemon/internal/analysis/diagnostics/wireguard_device_policy_plan.go#BuildWireGuardDevicePolicyPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
WireGuard index translation planning,PR228-WG001,mwgp,guardrail-derived,src/apps/daemon/internal/analysis/diagnostics/wireguard_index_translation_plan.go#BuildWireGuardIndexTranslationPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
automatic mutation retry,PR228-MUT001,target-requirement,hardened,src/apps/daemon/internal/foundation/config/config.go#Manager.Mutate;src/apps/daemon/internal/foundation/remoteaction/remoteaction.go,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
browser companion recovery planning,PR228-B002,browser-ext,inspired-native,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go#BuildBrowserProxyHandoffPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
browser/native-host proxy handoff,PR228-B001,browser-ext,inspired-native,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go#BuildBrowserProxyHandoffPlan,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
cross-platform process attribution,PR228-TUN001,tinytun,reference-only,src/packages/lumicore/src/netutil/supervision.rs#get_active_connections,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
evasion tunnel secret boundary,PR228-S002,ssh,hardened,src/apps/daemon/internal/runtime/proxy/evasion_contract.go;src/apps/daemon/internal/runtime/proxy/evasion_tunnel.go,target-native convergence retains one authority owner; promoted primitives are bounded and rejected/reference units remain explicit
