path,change_type,baseline_sha256,current_sha256,reason
Makefile,modified,a4ab205113ddca8c24a5ae4090d040a491f546c75565f00d731decc3a1f58c1c,54c965b15d5bdc0be6aea7600b1b03364fd471dbfb5dd1c4cbacc03903bc9e72,wire 137 successor gate into canonical verification
governance/convergence/post-refactor-137-adoption-ledger.csv,added,n/a,09f3e963bafe07e7806f92493d875495f6d9d496bc3a6ace3908c3eddd54f237,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-baseline-files.csv,added,n/a,fed7c627bc4fbf94c0b5878aa98a2527277bf0c31043ad0f25878681f38eb86b,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-directories.csv,added,n/a,0bbbf6c9bbaa75c8b01670dd38affb5f22f53d68187afc8c3b2be58e2716b33f,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-donors.csv,added,n/a,c73b7761292260d6ae59facdc9255404ac541cd8a8ecdfd244e0344e980a5988,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-final-report.md,added,n/a,166b2d919523197ed59d9f57a7139c0b84e8756a4d2f808725ed1e2299c367c9,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-high-level-plane-audit.csv,added,n/a,cb61aaa9137d0baf605e4c4dddb035078b49431117661c55469986e9073ec4b0,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-historical-evidence-anchors.md,added,n/a,c351e4a8e58c2aa714a06d2d382f191ffe5e6fb4f6bcce7861122b1349deb540,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-historical-resolutions.csv,added,n/a,2c398fa353d61786c38f5441f44e54594d8b222cf3fb83deffca2489f42ebd32,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-historical-schema-normalizations.csv,added,n/a,e514ecde78669b37fb460c423208b89cfcc78a069d68e7b4d882c122040f517b,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-license-map.csv,added,n/a,8f5d5fcea9e7760241f9c0c8c0d27c80ab490b1e0d39254e083c87bd15ce589f,137-donor convergence evidence/accountability/release governance
governance/convergence/post-refactor-137-modules.csv,added,n/a,51ecbbfa8bab0ca75eee0cf1bfe37e51a7f819135720cdeb887d3c6dac1ad8a7,137-donor convergence evidence/accountability/release governance
