path,change_type,baseline_sha256,current_sha256
Makefile,modified,6eea65ac70dca8aa14a48bce2ab5869783df07c958b132f29d17e52f96eeab19,71ed5558ce4ed481604bc52be71f17047c977198bbed68afabf8f75140270a54
governance/convergence/post-refactor-235-all-history-second-order-audit.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-all-history-summary.json,added,n/a,generated-evidence
governance/convergence/post-refactor-235-architecture.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-baseline-files.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-235-evidence-summary.json,added,n/a,generated-evidence
governance/convergence/post-refactor-235-module-semantic-audit.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-235-omission-audit.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-operator-runbook.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-peer-synthesis.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-security-model.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-semantic-ledger.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-235-state-machines.md,added,n/a,generated-evidence
governance/convergence/post-refactor-235-supersession-map.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-235-target-delta.csv,added,n/a,generated-evidence
governance/convergence/post-refactor-235-validation.md,added,n/a,generated-evidence
governance/topology/relocations.json,modified,c627e6884c798cb8026bdb2dd04a19653b3c36ff66fb88c256ca905c3088d430,a9e65e40ff4a3d8d1c6a4a41ff0b14ac44c54316ff2a302558dbb6d4e2eb429a
scripts/checks/check_post_refactor_223_convergence.py,modified,f52f5419e33ed43488b23ccd2cc00292848dca8f7518c5ae084ad197e78ed3c2,313560be986c4f976b835b85302fd6f4e787520f18f82cd5d4eb9f2fd2405a02
scripts/checks/check_post_refactor_233_convergence.py,modified,aa5566de25c6c9cb5f1da4d4ab4e8e136c98a6d2883734618684663b313804a7,135d61d21105e02b6d0f25a66c3c16f1ea0df182b45f6bf486bf994e6d04ec1c
scripts/checks/check_post_refactor_234_convergence.py,modified,038898e73db6f7aef2aaf315a657c366ec5e3b353ff51aaac55506a74ca595b5,7af4d1dad9efce6e88c96908a9e674063bb64a9d9fb7eea452bd84c270807564
scripts/checks/check_post_refactor_235_convergence.py,added,n/a,32751e296e33425f1561ad40c433157067f0afad758283fbfe7528bcce55acfe
scripts/generate/generate_post_refactor_235_evidence.py,added,n/a,09884783b63fffbf0d568597532f559318489750614082afb764766945be7c62
src/apps/daemon/internal/adapters/api/handlers_post_refactor_235_planners.go,added,n/a,319f9ec46a5d28e13495fddff59f3bac5ae495e8825b9cdafd6fe66b6e4f565a
src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go,modified,a046aa9c5c8060adcb7098f8beb63f46ea3ce7e43cffa05dd83f85167dfb020d,004bd5577aa73044b606e29adfceff21e2e6794a26468da110aac1753e799918
