record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR222-S001,n/a,CG222-HIST-AETHER-GUI,Aether-GUI-main(1).zip,historical-accountability,Aether GUI exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,Aether-GUI-main/SECURITY.md,c037a389e3d43da60bba0b797064b938f8a4c910d489313c4c62e8e6a49f7582,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S002,n/a,CG222-HIST-AETHER,Aether-main(1).zip,historical-accountability,Aether exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,Aether-main/README.fa.md,33a2542ea35f939d229ab698082166f940d65dd9100c133698ef91c7d4bdc4cf,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S003,n/a,CG222-HIST-COREDNS,coredns-master(1).zip,historical-accountability,CoreDNS exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,coredns-master/Makefile.docker,c52ea16399128f4dded1a48907230dd5b50ebdf2e86e5ed7ae08f55aa276f58b,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S004,n/a,CG222-HIST-DEFYX,defyxVPN-main.zip,historical-accountability,defyxVPN exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,defyxVPN-main/CHANGELOG.md,bc15f4864c6f1286b196be5b3cdc43969a58d871fa86e8fa8f59569b553320a3,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S005,n/a,CG222-HIST-DOH,dns-over-https-proxy-master(1).zip,historical-accountability,DNS-over-HTTPS proxy exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,dns-over-https-proxy-master/.travis.yml,cb6d20e6550bd1565a2c05261cb688efa7b3c7640be1854523981786e412ca8d,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S006,n/a,CG222-HIST-DNSPERSIST,DNS-Persist-master(1).zip,historical-accountability,DNS-Persist exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,DNS-Persist-master/README.md,89613e0cead43ddcd65eb3e46f87ec2d16a70bf80099e1fa2e1729d9c5f6a536,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S007,n/a,CG222-HIST-GOIDA,goida-vpn-configs-main.zip,historical-accountability,goida VPN configuration corpus exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,goida-vpn-configs-main/README.md,f90a16d44f08140626b0810af979cb7985deab9a779f59142c1d37f63fa6d836,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S008,n/a,CG222-HIST-ZEDPASS,ZedPass-main(1).zip,historical-accountability,ZedPass exact-byte historical revalidation,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,ZedPass-main/README.md,9af555a53c7f8777d8239dd83bce18ad878689027e0b165bef38edc7350c31de,n/a,exact-byte revalidation,custom:uploaded-bytes-to-historical-fine-records,reference-only,Every regular-file uploaded surface compared by the historical-overlap pass is an exact hash match to earlier LumiNet convergence evidence; archive symlinks are accounted separately and were never followed. The 222 pass retains those fine-grained decisions and only revalidates provenance.,n/a,n/a,Exact-byte matches remain linked to their historical fine-grained semantic evidence.,Historical reuse cannot be used to skip changed or unmatched donor surfaces.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S009,n/a,CG222-OVERLAP-CDIN,cdin-main.zip,historical-accountability,cdin-main.zip exact-byte overlap bridge,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,cdin-main/.dockerignore,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,exact-byte overlap revalidation,custom:partial-upload-to-historical-records,reference-only,2 of 168 surfaces match prior convergence evidence exactly; only unmatched surfaces are semantically reopened in this pass.,n/a,n/a,Previously accounted exact bytes keep their historical dispositions while unmatched bytes receive fresh review.,A partial overlap never marks the whole donor as reviewed.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
PR222-S010,n/a,CG222-OVERLAP-KLOAK,Kloak_platform-master(1).zip,historical-accountability,Kloak_platform-master(1).zip exact-byte overlap bridge,focused peer mechanism or repository evidence,evidence bridge,standalone or target-recomposed,Kloak_platform-master/app/public/css/themes/material/assets/fonts/icons.woff,c4a1baec300d09e03a8380b85918267ee80faae8e00c6c56b48e2e74b1d9b38d,n/a,exact-byte overlap revalidation,custom:partial-upload-to-historical-records,reference-only,2 of 317 surfaces match prior convergence evidence exactly; only unmatched surfaces are semantically reopened in this pass.,n/a,n/a,Previously accounted exact bytes keep their historical dispositions while unmatched bytes receive fresh review.,A partial overlap never marks the whole donor as reviewed.,n/a,n/a,none,assumed MIT for this task per user instruction; no legal analysis performed,low,n/a,high,statically-validated
