donor,directory,tree_sha256,direct_files,direct_dirs,descendant_files,descendant_symlinks
candyconnect,.,be05b40051a49829040a7b5d9ac55f5026cd46e9f33873115432a9aa0d248a58,11,5,165,0
candyconnect,.github,0a4f185229cfbef160450134d70a567d22ece6074766ea83bb5271c5b4123098,0,1,1,0
candyconnect,.github/workflows,0a4f185229cfbef160450134d70a567d22ece6074766ea83bb5271c5b4123098,1,0,1,0
candyconnect,client,f9d8a07b830fc4613bcb8031338b60544bb46207e3b5cfdfe298251f3ae54e22,14,5,102,0
candyconnect,client/assets,1807db2325977526140e4b6b94dc5cfa2af343e2dab74ab278307044bab65768,2,0,2,0
candyconnect,client/components,cc05d8fd5903604106bd8a0477a03523d86a58ebac43478843989c93546d7fee,20,0,20,0
candyconnect,client/contexts,679dcad39a0adaf83491602be6d858dd29011250a0983a1c521ea6868ce026b0,3,0,3,0
candyconnect,client/services,0c02f346dd33654ecc18cdca937efaa3116588af9976341b1668e72feb8ce99a,3,0,3,0
candyconnect,client/src-tauri,464a8b3a5c310b1dce488be428f52b76b716b5a7db7e64c70d3cef8396d117a6,5,4,60,0
candyconnect,client/src-tauri/capabilities,dbd4943f0b77bd48d32e4bf1ec4f9ecbc800a2efeea20bdabc70b64aac93285a,1,0,1,0
candyconnect,client/src-tauri/icons,02e1087dc5ad66b9c6a5ae8c810fe034f0bc8f12972b7e5602752d39a69ade9c,16,2,49,0
candyconnect,client/src-tauri/icons/android,1326adae4fa1e38a55d4faa68730e9d396054815f4a85c82b2507e5bf1b2cb29,0,5,15,0
candyconnect,client/src-tauri/icons/android/mipmap-hdpi,2c587e455c065c7b89e2d34004920e81028eae07c7b6b8979670f4057a0bf709,3,0,3,0
candyconnect,client/src-tauri/icons/android/mipmap-mdpi,f78f14c0ef342a1eaad5f4d6ea6fb8cf81e566f4b64099491b30b7d8e98bb90b,3,0,3,0
candyconnect,client/src-tauri/icons/android/mipmap-xhdpi,f5ecec7d5b021dde74109c2d36e407e6de36fc11c26be47485bc41b0939d6fb4,3,0,3,0
candyconnect,client/src-tauri/icons/android/mipmap-xxhdpi,61f2ab6ea2ac43e5dcfc0e707501cdd0e27a3a66ccd73d2e99af372cc0a3fc41,3,0,3,0
candyconnect,client/src-tauri/icons/android/mipmap-xxxhdpi,5b3ef7d785e2cf88c91c11f228f871b95ae7858e7eb780e749d7186b4ed7c495,3,0,3,0
candyconnect,client/src-tauri/icons/ios,e85f7aaa4f7eed1b2fa31e9f9c92d054143b90356f25d1b46b6b7cc4b41e1e28,18,0,18,0
candyconnect,client/src-tauri/resources,c575f41395103aabe86ff83e8b5d5c385ba04cb1d5248190923f40977494802d,0,2,2,0
candyconnect,client/src-tauri/resources/sing-box,8cb7a49dc452a341f08a7f406563a525261dff260f49c7dcf75a4064b1973177,1,0,1,0
candyconnect,client/src-tauri/resources/xray,d9e2e40e9601bd81fe8574113ff02587b9b2042cbc98168fcf5deb0853b133db,1,0,1,0
candyconnect,client/src-tauri/src,b633861b147433075e96561edea92db35d7dcd65d5971a5c704953b2d1448656,3,0,3,0
candyconnect,screenshots,fa0e9601b8f203bb7f9b337fcc94622b24531dca3ed51e08d6bf0e6039ac63ab,2,0,2,0
candyconnect,server,d892d56d783e0176d132cbe32ceb3193085b2532df1b77776a356ed552a4de48,7,2,21,0
candyconnect,server/protocols,acca4d744f04a013d2d208c1b5b24f84cde31f7969e3e9fdf0eb2eaef1353310,11,0,11,0
candyconnect,server/routes,f7697ee10de1aad518d8148dc089228ca3ea8b4dfbe11caea9fc54ebf7e40aa6,3,0,3,0
candyconnect,web-panel,45c7f78e06f59e97d8fbb1bbfba737438c5115b2ad277c325faa2d1101d850b9,11,6,28,0
candyconnect,web-panel/assets,f8f83b185be244547b9a280c70bf5e393b339d921230ffd169a371afe5284057,2,0,2,0
candyconnect,web-panel/components,0f32abf00737695c9391d8e37c0ea13970a46506a2bf2ef819a92b5ce1184e9b,5,0,5,0
