record_id,donor,level,value_unit,source_path,source_sha256,transformation,disposition,target_capability,target_nodes,invariant,negative_invariant,validation_status
PR235-S001,dns_blocklists,repository,complete donor second-order semantic envelope,.gitattributes,308d169eff2c963fb84e1da079b40983ef33b290047389fff97355a5ccefe245,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S002,kingo_vpn,repository,complete donor second-order semantic envelope,.github/workflows/kingo_vpn.yml,adb9150ec929bb28539730ff0d6be31f1547068aede27de8f3bd892127f39b5e,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S003,mitmproxy2swagger,repository,complete donor second-order semantic envelope,.dockerignore,1e816d03bef48f2c9e87ffe9e34b87d22050a5ff00e66cb7408e327a08c125b4,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S004,outline_apps,repository,complete donor second-order semantic envelope,.browserslistrc,9115db1b2c6786055d4356d7adc64b9a43dba7c8aa1b956d4c9a8b702bc07121,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S005,outline_tun2socks_demo,repository,complete donor second-order semantic envelope,.gitignore,703238443066325af08e3868d1e4b571a633baf68fcc93e323f0066999a97e1b,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S006,proofmode_android,repository,complete donor second-order semantic envelope,.github/dependabot.yml,faabce44b3b1d93c84863136564ff010c706486cb91c2b74539777364577f806,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S007,proxybridge,repository,complete donor second-order semantic envelope,.github/FUNDING.yml,1179d10cbfef8bcee824b9fc148912443454e23a8a3d356db927f37c1373abd8,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S008,simplednscrypt,repository,complete donor second-order semantic envelope,.editorconfig,2ead5acd879c8badc5b26f742b578efb266052e4b0a21fa29e2c211c9a82f02c,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S009,skivpn,repository,complete donor second-order semantic envelope,.github/ISSUE_TEMPLATE/bug_report.yml,eb9224cf3425a53f1d0ef271357cd02a3c81c65f9ab06ed0a30999b5d42389c4,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
PR235-S010,tor_atlas,repository,complete donor second-order semantic envelope,.gitignore,5ef7380c277b3cf1e028620b9086c9e7a1939611783f46d902843e83cb4c7965,whole-donor re-evaluation,fully-accounted,post-refactor-235 convergence graph,governance/convergence/post-refactor-235-module-semantic-audit.csv,all 234 file/module hashes remain exact evidence inputs,repository-level disposition does not substitute for focused semantic records,verified
