donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
whiteaesther_mobile,.gitattributes,c7cb64aec4de702d7d3b3b262426af8857719e4bb3a25bda9f7310fd05f49311,277,none,unknown,implementation,authoritative,PR223-R01,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,.github/actions/android-toolchain/action.yml,6f5e92a5326d4e3288d884202d47d12280bff6621089ab60a195b135678aea9d,1700,yml,YAML,repository-administration,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,.github/dependabot.yml,848e94972d26d704fa18ad8e401f298ec17ce1c78c9b4bfef8e919b5883df87c,1955,yml,YAML,repository-administration,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,.github/workflows/ci.yml,bacb5092b563e14bdd60fb4f52d0c62372dfec2771c2caca7d8fae377c452469,4023,yml,YAML,repository-administration,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,.github/workflows/release.yml,0b09ad96677b92cf5da2fa3a8d58fb34ef7daa834218af46cf3a5fdcaed0a231,6577,yml,YAML,repository-administration,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,.gitignore,2f2952c7b40c4a68115de72216e16d5426d9fc58e2a28e1583b83c490e2b5a24,401,none,unknown,implementation,authoritative,PR223-R01,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,LICENSE,8486a10c4393cee1c25392769ddd3b2d6c242d6ec7928e1414efff7dfb2f07ef,34523,none,unknown,governance,authoritative,PR223-R01,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,PRIVACY.md,f1554d59d9f28b576e8c5a12f869ed4382e2d8c165152443b461575a691b40ff,642,md,Markdown,governance,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,README.md,ee7603d89a581d46ac139a93a1e1f8b62534b835911679596744bcb61b5ea015,6454,md,Markdown,documentation,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
whiteaesther_mobile,SECURITY.md,3535a079948fd71de0edc8b8e5eb7a2eed315cd3725c9da4391a02e5da49740d,418,md,Markdown,governance,authoritative,PR223-R01;PR223-S017,exact archive-member evidence; focused semantics linked when applicable
