donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
splitpt,common/split/round-robin.go,round-robin path scheduling,adapted,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,Per-packet round-robin scheduling becomes a deterministic read-only schedule preview.,donor runtime or authority is not imported implicitly
splitpt,common/split/random.go,random path scheduling,adapted,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,Random donor selection is converted to keyed deterministic scheduling so planning is reproducible.,hidden unseeded randomness cannot become policy authority
splitpt,client/lib/client-config.go,strict algorithm admission,adapted,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,Only explicit round-robin/random scheduling is admitted.,donor runtime or authority is not imported implicitly
splitpt,common/turbotunnel/sessionid.go,8-byte cryptographically random session identifier,adapted,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,The donor session identity width is retained as an explicit framing invariant; the planner does not generate runtime session keys.,donor runtime or authority is not imported implicitly
splitpt,common/turbotunnel/encapsulation.go,two-byte length prefix and 65535-byte packet ceiling,hardened,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,The uint16 framing limit is surfaced as pre-runtime admission rather than donor panic behavior.,oversized packets are rejected before framing rather than panicking
splitpt,common/turbotunnel/queuepacketconn.go,32-packet send/receive queue default,adapted,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,Queue capacity becomes an explicit bounded request with donor-compatible default and a target maximum.,donor runtime or authority is not imported implicitly
splitpt,common/turbotunnel/queuepacketconn.go,silent drop when send queue is full,superseded,src/apps/daemon/internal/analysis/diagnostics/multipath_transport_plan.go,Silent packet loss is replaced by explicit backpressure or reject-new policy.,queue overflow never silently discards traffic by default
splitpt,client/lib/lyrebird.go,Lyrebird-only transport binding,superseded,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,LumiNet already owns broader PT lifecycle/admission; SplitPT does not become a parallel PT process owner.,multipath planning cannot start Lyrebird or other PT processes
splitpt,tests/shadow/shadow.data.template/hosts/4uthority/keys/authority_identity_key,Shadow/Tor private-key fixtures,rejected,governance/convergence/post-refactor-232-security-model.md,Secret-bearing simulation fixtures are evidence only and never become product credentials or defaults.,donor test keys are never imported into runtime configuration
dns-tunnel-deploy,dnstt-deploy.sh,A/AAAA nameserver glue plus delegated NS record,adapted,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,Required DNS delegation is modeled explicitly before host mutation.,donor runtime or authority is not imported implicitly
