path,change_type,baseline_sha256,current_sha256,accountability_class,reason
Makefile,modified,22130bc894ce3372caa598df31671cb3de8915ee9f3f273eeb21816397405d0d,2fb995e15245e35abfa38cd70effea94b066755e0cd11332e6d03711d066b4a0,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/audit/f14-f18-closure.csv,added,n/a,e135619e0cfb77141e13026949543f6865d1e4921f990c84acc407de4944adac,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/audit/f14-f18-closure.md,added,n/a,2cf32242f2c23dee3ac1b4caa8a1626a4405d842d80dd2e51c422f7ca928dbb8,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/audit/rust-ffi-abi-before.json,added,n/a,2dffe8a9b1ca86319fc1a9183422b5f3fffd045db3dc26e2637c9b238e1c2a60,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-adoption-ledger.csv,added,n/a,055700d7ef762caa3e9fdb971f06a9e45965ec814e56ac51b8af23719a54ea88,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-baseline-files.csv,added,n/a,13dbc67532070d58f32bd86f57d0b8d38bfba0ad6514bb71059a539b3759bbe9,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-directories.csv,added,n/a,ef4d53119c676a5f3644bee4d367a68a0edf825eb19c55194981bd5dde0911e8,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-donors.csv,added,n/a,ed3bb8502213518dd411492dcf54cd4d059f51d8bff31a82d69ba688475900c6,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-high-level-plane-audit.csv,added,n/a,8a266d50678e700668c569aeb89de72fc1e815b7409311d3852c52ccca3fda19,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-historical-evidence.csv,added,n/a,2eda5ab3153548dd840df251641d06119dd4ebeb252314afb6e58b00a48e9e6c,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-license-map.csv,added,n/a,07117325aec1841cb1b28725744a339a924fb3c85718de2200840cf2107c566e,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-modules.csv,added,n/a,6cce3b356214cb7c970ec5fab3b3a503c1e8ed53625af08bf5f77cc5b56f78e6,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-nested-archives.csv,added,n/a,e5a5711a631c17ead7be578c92fe54f5940c39c967da2ee3051fbf5c04e3d36b,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-omission-audit.md,added,n/a,566f7b726232f9834f91c3a55b81eec751d421302e6263abc7aeb0e4820abf42,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-operator-runbook.md,added,n/a,c0c5399b1f72189de8b8caf769c231332f2aa75f0907dbc2cac1bc68a939f9dd,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-peer-synthesis.md,added,n/a,2197c45d092b0437c763bd5052e17563e9bf060bfbd0d99a56e97ccd699da1c3,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-supersession-map.csv,added,n/a,8218dc1e1fd12d0ad37481a31b8981bef8bd380b1333ecf2fff53fcbe26641bb,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-surfaces.csv,added,n/a,17171c70724ea28e40b5ac136632356781ff3f3efbab0d525ef861264af4c1df,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-symbols.csv,added,n/a,e773937b3090271cebe6f44d09e607dff75f1644c48b34bf215ecbe7851cea71,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-target-repairs.csv,added,n/a,dc75b74293d187cdccf9d55a5d78690c3474982b24ec88973ef2b63935d3e1ab,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/convergence/post-refactor-83-validation.md,added,n/a,d18610fb9c52f44aaf0bf03a4cf763fe034c3c31c9de0b31029afa0bcc1af9c4,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
governance/topology/relocations.json,modified,51b4b615e7f8404ac2fe80adcee3c074d4f4dee41d3eb100b1e81174184c6372,853c7914afdc45574312f42ba47ae4b5e0b44f6c6c219fd2322e5be55202c7b9,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
scripts/checks/check_post_refactor_83_convergence.py,added,n/a,0379fbbfe9a1a18cf10e4a08dc033b7b382231e1fd481e72bc75fac301b3bb3f,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
scripts/checks/check_refactor_audit.py,modified,ce0452b937947698e4db3099677dc1f844011e673a2d2b546d8fd20a6b45fce3,e6eb5f5dea2ebcef6f85201edd5a504036ac7376d9244e7fa4c2683a91a3cc4d,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
scripts/checks/check_rust_ffi_refactor.py,added,n/a,6a290fc86233880b4d83a2da99385786e34e8b808ea30fbcbd97b9be13689ea0,post-refactor-83 convergence,"F-014--F-018 closure, donor-derived convergence, evidence/governance, or validation support"
