wave,donor,path,sha256,size_bytes,classification,source_layer,semantic_record_ids,original_disposition,current_target_layer,cross_wave_outcome,current_product_surface
224,Iran-configs-main,.gitignore,48b33f9f89ef24f8a66f461ea9278e7ecf21b4660c26088989d231e53c578724,4688,repository-administration,support/repository,BASE02,reference-only,test/security,proxy-format/parser oracles only; credential-bearing live endpoints never imported,Proxy parser tests / governance
224,Iran-configs-main,README.md,babdd9217450da9ad5b7141dda24fd0194979ac1c7aea9fa4d7204ee8e938096,479,documentation,documentation,BASE02;IRCFG002,rejected-with-reason,test/security,proxy-format/parser oracles only; credential-bearing live endpoints never imported,Proxy parser tests / governance
224,Iran-configs-main,ir_configs.txt,17fcbd7d250b7ec2bda2ee7e35a3b23ef1e0adde12675ae2f853fb2a6fe745ac,55764,fixture,test/fixture,BASE02;IRCFG001,extracted,test/security,proxy-format/parser oracles only; credential-bearing live endpoints never imported,Proxy parser tests / governance
224,Iran-v2ray-rules-main,.github/workflows/findredundant.yml,3c7183543ddd640c78f9a05d6fcf3f994dd8c4f25914a5dbf2cf821f2aaedbe1,2302,repository-administration,support/repository,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,.github/workflows/get-geolite2.yml,6bdc486f6a558be86fb78a791f9f56af6c75be96028ab63e235db0badeb76c16,2002,repository-administration,support/repository,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,.github/workflows/get-ip2location.yml,5dca948226a2c915137cb4c8f415447a36d2968bde8cf423f7a0dff99d3e8fa7,1954,repository-administration,support/repository,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,.github/workflows/release.yml,a1f586afb7dce55ff8993d87df3ea02d1dc35f6b7017b6462400aafdd14af5da,9228,repository-administration,support/repository,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,governance,governance,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,README.fa.md,821367a45f358a8dd7b7529a4bd06b4984eaea6a668c87e42cb9da430ae1471c,34131,documentation,documentation,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
224,Iran-v2ray-rules-main,README.md,2a9546db93f9590b9e6ebe31fbb8301aaeaeece3259cd52655e61719ea1440fe,26496,documentation,documentation,BASE03,reference-only,data/control-plane/product,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance
