donor,path,sha256,line,kind,symbol,snippet
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,15,class,DNSTTManager,class DNSTTManager:
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,16,def,__init__,"def __init__(self, root):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,31,def,setup_ui,def setup_ui(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,105,def,log,"def log(self, message, level=""info""):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,112,def,connect_ssh,def connect_ssh(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,125,def,_connect_ssh_thread,"def _connect_ssh_thread(self, ip, user, password):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,141,def,generate_random_string,"def generate_random_string(self, length=8):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,145,def,generate_random_password,"def generate_random_password(self, length=15):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,149,def,exec_command,"def exec_command(self, command, timeout=60):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,168,def,verify_ns_domain,"def verify_ns_domain(self, ns_domain, server_ip):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,251,def,start_deployment,def start_deployment(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,262,def,_deploy_thread,def _deploy_thread(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,411,def,generate_dns_uri,def generate_dns_uri(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,433,def,_update_uri,"def _update_uri(self, uri):"
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,438,def,copy_uri,def copy_uri(self):
dns-tunnel-deploy,gui/dnstt_manager.py,cc7f7a48ebe1e5d2f8520403a1ba80d221187a1189ec11c1b1a601910b89a9db,447,def,main,def main():
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,27,type,transportConfig,type transportConfig struct {
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,35,type,configJSON,type configJSON struct {
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,45,func,parseConfigFromJSON,"func parseConfigFromJSON(in string) (config *transportConfig, err error) {"
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,72,func,validateConfig,func validateConfig(config *configJSON) error {
outline-client,outline/device/config.go,f674781d5a12ac8ee400aa9709b3d163314595171cb35057eb2d7d7ef4738cd8,88,func,parseStringPrefix,"func parseStringPrefix(utf8Str string) ([]byte, error) {"
outline-client,outline/device/config_test.go,39ceed2045ba32bcd4e9bd148c61cd5b0a40d9561bcc9307f373f953c9b5e635,23,func,Test_ParseConfigFromJSON,func Test_ParseConfigFromJSON(t *testing.T) {
outline-client,outline/device/device.go,bce52c12c2e619c65144de6c0d9fc6d7a28e449f70dfca009e4168a195d5958e,31,type,OutlineDevice,type OutlineDevice struct {
outline-client,outline/device/device.go,bce52c12c2e619c65144de6c0d9fc6d7a28e449f70dfca009e4168a195d5958e,38,func,NewOutlineDevice,"func NewOutlineDevice(configJSON string) (d *OutlineDevice, err error) {"
outline-client,outline/device/device.go,bce52c12c2e619c65144de6c0d9fc6d7a28e449f70dfca009e4168a195d5958e,61,func,Close,func (d *OutlineDevice) Close() error {
outline-client,outline/device/device.go,bce52c12c2e619c65144de6c0d9fc6d7a28e449f70dfca009e4168a195d5958e,65,func,Refresh,func (d *OutlineDevice) Refresh() error {
outline-client,outline/device/device_test.go,1d22c861bd5c590ca143231534773b5335edf5a7d42bcbf42d4d12a9621213f4,23,func,Test_NewOutlineDevice,func Test_NewOutlineDevice(t *testing.T) {
outline-client,outline/device/packet_listener.go,7b0fe804993b6ef845514ba6429f67b15ccca3d9e2b4ef117ffe6789d28bf56a,23,func,newOutlinePacketListener,"func newOutlinePacketListener(config *transportConfig) (transport.PacketListener, error) {"
outline-client,outline/device/packet_proxy.go,7d0053fa349909aeea870148242e41222982c86749818ed93938794c2a4f0812,27,type,outlinePacketProxy,type outlinePacketProxy struct {
outline-client,outline/device/packet_proxy.go,7d0053fa349909aeea870148242e41222982c86749818ed93938794c2a4f0812,33,func,newOutlinePacketProxy,"func newOutlinePacketProxy(config *transportConfig) (proxy *outlinePacketProxy, err error) {"
outline-client,outline/device/packet_proxy.go,7d0053fa349909aeea870148242e41222982c86749818ed93938794c2a4f0812,57,func,testConnectivityAndRefresh,"func (proxy *outlinePacketProxy) testConnectivityAndRefresh(resolver, domain string) error {"
outline-client,outline/device/stream_dialer.go,c2b7ebfcfbdc0b7ceff5218d6b3f5edc62bac694d001e947f383332163be92e9,23,func,newOutlineStreamDialer,"func newOutlineStreamDialer(config *transportConfig) (transport.StreamDialer, error) {"
outline-client,src/cordova/android/OutlineAndroidLib/outline/src/androidTest/java/org/outline/vpn/VpnTunnelStoreTest.java,cdbeccf7b59db92257fe7f3bf15e7ddf10d8a7dd95c3fec94e763ef14465cf69,27,type,VpnTunnelStoreTest,public class VpnTunnelStoreTest {
outline-client,src/cordova/android/OutlineAndroidLib/outline/src/main/java/org/outline/log/OutlineLogger.java,74949f921b7c86822c26066bd46a97b5baa63f40e1c4027a044fcc24027794c1,34,type,OutlineLogger,public class OutlineLogger {
outline-client,src/cordova/android/OutlineAndroidLib/outline/src/main/java/org/outline/log/SentryErrorReporter.java,685937046822db6028553625e62d8a01760c1e7fe251ce3dd720d2a57411d7f0,41,type,SentryErrorReporter,public class SentryErrorReporter {
