donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
location,README.md,location labels are fallible evidence,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Donor explicitly warns IP-to-location matches may be wrong; target records country labels as confidence-bounded evidence only.,country labels cannot become endpoint-selection authority
location,assets/js/script.js,location-grouped configuration browsing,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Grouping endpoints by caller-supplied location is useful only when separated from trust/selection authority.,donor runtime/authority is not imported implicitly
gfw_resist_https_proxy,README.md,ISP fragmentation parameter families,hardened,src/apps/daemon/internal/integrations/presets/presets.go,Equivalent bounded fragmentation presets already exist in the canonical preset owner; no parallel fragment engine is needed.,README tuning values do not bypass runtime bounds
gfw_resist_https_proxy,ServerLess_TLSFrag_Xray_Config_New.json,Xray fragment configuration,superseded,src/apps/daemon/internal/protocols/tlsfragment/utls_fragment.go,Target already models Xray fragment fields and an owned TLS-fragment runtime.,donor runtime/authority is not imported implicitly
gfw_resist_https_proxy,ServerLess_TLSFrag_with_google_DOH.json,direct DoH fallback,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go,DoH fallback semantics map to the existing DNS-resolution policy planner rather than donor hard-coded resolvers.,donor runtime/authority is not imported implicitly
gfw_resist_https_proxy,README.md,browser points to local HTTPS proxy,superseded,src/apps/daemon/internal/analysis/diagnostics/browser_proxy_handoff_plan.go,Local proxy handoff is already modeled with loopback-only browser handoff; donor browser mutation is not imported.,donor runtime/authority is not imported implicitly
kscanner,src/hooks/useIPScanner.tsx,SNI plus port clean-IP candidate scan,adapted,src/apps/daemon/internal/analysis/scanner/scanner_target_plan.go,Candidate/SNI/port intent maps to canonical scanner target planning and runtime scanner owners.,donor runtime/authority is not imported implicitly
kscanner,src/hooks/useUserIPInfo.ts,caller public-IP metadata display,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Location metadata becomes confidence-bounded endpoint evidence rather than implicit route choice.,donor runtime/authority is not imported implicitly
kscanner,src/hooks/useIPScanner.tsx,browser-side active scan authority,superseded,src/apps/daemon/internal/analysis/scanner/probe_executor.go,"Active probe authority stays in authenticated daemon scanner owners, not arbitrary UI fetches.",UI state cannot grant active network-probe authority
dnsrefiner,main.go,closed DNS scheme allowlist,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,dns/slipnet/dnstt scheme admission becomes a bounded read-only refinement planner.,donor runtime/authority is not imported implicitly
dnsrefiner,main.go,normalize nameserver trailing dot,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Nameserver normalization is preserved without credential values.,donor runtime/authority is not imported implicitly
dnsrefiner,main.go,RAND export ordering,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Unseeded donor shuffle is replaced by deterministic SHA-256 order.,hidden unseeded randomness cannot change policy output
dnsrefiner,main.go,fetch subscriptions and write export tree,superseded,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Planner consumes caller-supplied evidence only; guarded subscription egress and persistence remain separate owners.,planner never fetches subscriptions or writes export directories
exitmap,src/relayselector.py,country-filtered exit selection,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Country selection becomes bounded scheduling evidence; canonical Tor controller remains live owner.,donor runtime/authority is not imported implicitly
exitmap,src/exitmap.py,circuit build delay,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Planner enforces at least 50 ms schedule spacing and bounded parallelism.,donor runtime/authority is not imported implicitly
exitmap,src/modules/rtt.py,RTT spacing/parallel/timeout,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,RTT measurement constraints become explicit planner bounds without creating circuits.,donor runtime/authority is not imported implicitly
exitmap,src/torsocks.py,module execution over torsocks,superseded,src/apps/daemon/internal/platform/system/tor_controller.go,Arbitrary module/executable launch is not imported; target Tor control stays narrow.,planner cannot execute arbitrary scan modules or torsocks commands
candyconnect,client/contexts/ProfileContext.tsx,client profile context and active profile,adapted,src/apps/daemon/internal/integrations/sub/profile_service.go,Profile lifecycle UX maps to existing profile/subscription owner.,donor runtime/authority is not imported implicitly
candyconnect,server/protocols/manager.py,multi-protocol server manager,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,Target external-core/runtime owners already cover protocol execution; donor manager is not duplicated.,donor runtime/authority is not imported implicitly
candyconnect,server/dnstt-deploy.sh,DNSTT server deployment,superseded,src/apps/daemon/internal/networking/dnstunnel/deployment_plan.go,DNSTT deployment semantics were already absorbed as planning-only preflight in 232.,donor runtime/authority is not imported implicitly
candyconnect,client/src-tauri/src/lib.rs,Tauri process/runtime integration,superseded,src/apps/daemon,A second desktop process/runtime owner would split authority and packaging.,donor desktop runtime is not embedded
candyconnect,server/database.py,server database authority,superseded,src/apps/daemon/internal/foundation/store,Target persistence remains canonical; donor user/profile database is evidence only.,donor runtime/authority is not imported implicitly
psiphon_over_mitm,PsiphonOverMITM.ps1,active TLS interception chain,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/tls_interception_evidence_plan.go,Active CA/interception is not inherited; target retains read-only interception anomaly evidence.,LumiNet does not install a CA or intercept TLS
psiphon_over_mitm,p3.exe,bundled executable/runtime artifacts,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go,Opaque executables are never promoted from donor bytes; artifact admission remains canonical.,bundled executables cannot become trusted source/runtime authority
personal_security_checklist,personal-security-checklist.yml,structured security checklist taxonomy,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Caller-supplied check results are scored with severity-aware unknown/fail handling.,donor runtime/authority is not imported implicitly
personal_security_checklist,CHECKLIST.md,unknown security state,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Unknown is never silently treated as a passing control.,donor runtime/authority is not imported implicitly
personal_security_checklist,personal-security-checklist.yml,checklist automation versus host mutation,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Planner scores evidence only; it performs no host inspection or setting mutation.,donor runtime/authority is not imported implicitly
orbot_apple,Shared/VpnManager.swift,foreground/background/on-demand lifecycle,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,App lifecycle and on-demand residency become a read-only closed-state planner.,donor runtime/authority is not imported implicitly
orbot_apple,Shared/TorManager.swift,network-loss readiness transition,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Network loss cannot leave ready/bootstrapping evidence marked healthy.,donor runtime/authority is not imported implicitly
orbot_apple,Orbot/CustomBridgesViewController.swift,custom bridge workflow,superseded,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,Bridge admission/selection already has a bounded canonical owner.,donor runtime/authority is not imported implicitly
orbot_apple,Orbot/ChangeExitViewController.swift,exit country workflow,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Country intent maps to bounded exit scan scheduling and existing Tor circuit ownership.,donor runtime/authority is not imported implicitly
orbot_apple,Shared/TorManager.swift,Tor circuit/control manager,superseded,src/apps/daemon/internal/platform/system/tor_controller.go,LumiNet already has one Tor process/control owner.,donor runtime/authority is not imported implicitly
karing,lib/screens/scheme_handler.dart,scheme/profile import workflow,adapted,src/apps/daemon/internal/integrations/sub/profile_service.go,Import UX maps to existing canonical subscription/profile ingestion.,donor runtime/authority is not imported implicitly
karing,lib/screens/dns_auto_setup_screen.dart,DNS auto setup and multi-role resolvers,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_resolution_policy_plan.go,Resolver-role UX informs existing DNS policy planner; donor DNS runtime is not imported.,donor runtime/authority is not imported implicitly
karing,lib/screens/diversion_rules_screen.dart,ruleset selection and custom diversion,adapted,src/apps/daemon/internal/analysis/diagnostics/routing_policy_group_plan.go,Routing-group UX maps to canonical routing corpus/group planners.,donor runtime/authority is not imported implicitly
karing,lib/screens/urltest_settings_screen.dart,URL-test/server group selection,adapted,src/apps/daemon/internal/analysis/diagnostics/routing_policy_group_plan.go,Observed-latency selection maps to target endpoint/routing policy evidence.,donor runtime/authority is not imported implicitly
karing,lib/screens/net_check_screen.dart,network/DNS check workflow,adapted,src/apps/daemon/internal/analysis/diagnostics/dns_transport_integrity.go,Health UX reinforces existing transport/DNS integrity evidence.,donor runtime/authority is not imported implicitly
karing,lib/screens/region_settings_screen.dart,region/country labels,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Country metadata remains confidence-bounded evidence rather than routing truth.,donor runtime/authority is not imported implicitly
karing,lib/screens/perapp_android_screen.dart,per-app routing UI,superseded,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go,Per-app split intent already has a canonical manifest/runtime truth owner.,donor runtime/authority is not imported implicitly
fptn,src/fptn-server/traffic_shaper/leaky_bucket.cpp,leaky bucket rate/burst behavior,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Leaky-bucket sizing becomes a bounded read-only traffic-shaper planner.,donor runtime/authority is not imported implicitly
fptn,README.md,protocol-level padding,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Padding min/max/overhead becomes explicit policy evidence; planner generates no padding bytes.,donor runtime/authority is not imported implicitly
fptn,README.md,integrated SNI scanner,superseded,src/apps/daemon/internal/analysis/scanner/scanner_target_plan.go,Existing scanner/SNI evidence owners remain authoritative.,donor runtime/authority is not imported implicitly
fptn,src/fptn-client/routing/route_manager.cpp,split routing manager,superseded,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go,Canonical split-tunnel planner/runtime owner remains authoritative.,donor runtime/authority is not imported implicitly
https_everywhere,src/chrome/content/rules/1.1.1.1.xml,target host/wildcard corpus,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Large host corpus motivates a bounded audit model that never installs browser rules.,donor runtime/authority is not imported implicitly
https_everywhere,src/chrome/content/rules/1.1.1.1.xml,ruleset exclusions/disabled rules,adapted,src/apps/daemon/internal/analysis/diagnostics/post_refactor_233_plans.go,Disabled/exclusion metadata remains audit evidence; target does not execute donor regex.,donor runtime/authority is not imported implicitly
https_everywhere,docs/en_US/ruleset-update-channels.md,ruleset update channels,superseded,src/apps/daemon/internal/foundation/updateadmission,Mutable ruleset delivery remains subordinate to canonical signed update/admission owners.,donor runtime/authority is not imported implicitly
https_everywhere,chromium/background-scripts/background.js,browser redirect/background runtime,rejected-with-reason,governance/convergence/post-refactor-233-security-model.md,LumiNet does not become a browser extension or intercept navigation authority.,donor runtime/authority is not imported implicitly
