change_type,path,baseline_sha256,baseline_size_bytes,baseline_mode,current_sha256,current_size_bytes,current_mode
modified,Makefile,1f9061b7d82cc91b076feaa94dd635269aec17e0037ce9491ef9261cae201a23,16954,0o644,dc938c25f1cb7ab0ddad1dc2d7e4d64e31e10f21ee64f5ecad56ce1f1d7b63aa,17554,0o644
added,governance/convergence/post-refactor-230-adoption-ledger.csv,n/a,n/a,n/a,1cd9d280fcacd91f91863328c8372e8bb051b617eb02058c81caaa58d856af19,4982539,0o644
added,governance/convergence/post-refactor-230-all-history-module-audit.csv,n/a,n/a,n/a,903a96665137951e5d17ffb389b2fc341d904537f64f1b03703ee33d30542a0c,245218,0o644
added,governance/convergence/post-refactor-230-all-history-second-order-audit.md,n/a,n/a,n/a,a20f1459b74de4b1c281c60c065efda072a2f07d0051fdf8654f7842300fd594,481,0o644
added,governance/convergence/post-refactor-230-all-history-summary.json,n/a,n/a,n/a,6429bd2f9024d8076a634f0cb017dfff4461f5f79eea375f89bab3284590adb7,459,0o644
added,governance/convergence/post-refactor-230-all-history-surface-audit.csv,n/a,n/a,n/a,7a81aba7cdbd4140c478fde67b6eede6ef9ef9615e73a26fdf2fb82cf8e0ab6e,6168920,0o644
added,governance/convergence/post-refactor-230-all-history-symbol-index.csv,n/a,n/a,n/a,325c2951c4943b4164394a016e3b11ab9b8a60b4d9cedae43444fca35b7449f0,14172223,0o644
added,governance/convergence/post-refactor-230-architecture.md,n/a,n/a,n/a,5cb65a202dd103342c08e8f6e9e8fe142c0c89457d055572a3af76845164d071,976,0o644
added,governance/convergence/post-refactor-230-archive-accountability.csv,n/a,n/a,n/a,dcfaca08fa0832e78fbccf25f231290ed1e3b402ea4711e0f30a324fa232d204,2387,0o644
added,governance/convergence/post-refactor-230-baseline-files.csv,n/a,n/a,n/a,29cf2a4a936b8c3940a0e8576b3bbdd41617d905ca92d37f3a9cb8cc30ae33fa,408504,0o644
added,governance/convergence/post-refactor-230-directories.csv,n/a,n/a,n/a,ada4a8ebf5fa10064abea0d441a7296ed28ad612b6b99a25daffef0eed889590,303292,0o644
added,governance/convergence/post-refactor-230-evidence-summary.json,n/a,n/a,n/a,2babaf651f955a85e91f3ee052046550f0f7ea2e8d8c06d656a57c58522bf4dc,627,0o644
added,governance/convergence/post-refactor-230-module-audit.csv,n/a,n/a,n/a,d95f74581b205b145bb11f6b50a456ec1610f9aab402d77bf1566f5910859fa8,128869,0o644
added,governance/convergence/post-refactor-230-omission-audit.md,n/a,n/a,n/a,47cbf3f04a0e325ec5f7b3dfbca31793ca0ebe9dc7d3b1d5f5e96e41939843df,610,0o644
added,governance/convergence/post-refactor-230-operator-runbook.md,n/a,n/a,n/a,7016ec38439d172a77bcfe4920b8874166b0e0ecf1ada161d178a890045873be,563,0o644
added,governance/convergence/post-refactor-230-peer-synthesis.md,n/a,n/a,n/a,c9c54f94da4f839de72178e8a7ce6202bc68b9d27b32ded05f2fb02e4b51b33f,794,0o644
added,governance/convergence/post-refactor-230-security-model.md,n/a,n/a,n/a,df09667296429463068c6d99475d034df7f9d6c9721d2822f50f66970fdc4989,782,0o644
added,governance/convergence/post-refactor-230-state-machines.md,n/a,n/a,n/a,25a67bc7d88e16688544f2429067296c4747143fa7ab7b2d39b00d3974d3ec0b,738,0o644
added,governance/convergence/post-refactor-230-supersession-map.csv,n/a,n/a,n/a,855341084d73ecd14c27616d2951a7f2ec0f2c463c36b4ecc14bf4442371f600,9730,0o644
added,governance/convergence/post-refactor-230-surface-accountability.csv,n/a,n/a,n/a,5970236ef532d68d01807900fb3f34debe94add0c1bafc4dc15f0803c2441583,1779611,0o644
added,governance/convergence/post-refactor-230-symbols.csv,n/a,n/a,n/a,17bb4dbe9698a1d6f23a1d60284503450b16be3f6fb55a35916bf67e3a03715e,3919591,0o644
added,governance/convergence/post-refactor-230-symlinks.csv,n/a,n/a,n/a,25d2bf14d4626628472d9e868908382b96993a6c8627ce702803e891591bad85,12407,0o644
added,governance/convergence/post-refactor-230-validation.md,n/a,n/a,n/a,d9dcc999ffbc41b2ef8f6c6abe1f425fd90b090499da44ab5ca0701eaa188b8a,2096,0o644
modified,scripts/checks/check_post_refactor_227_convergence.py,0dc693d85665d25bf46c84841b7311dcb83a5c9b1328d5703a5eb99c2a051206,13656,0o644,f9db2e0ade0df12fe8960becee84c5abc2ce465a52d19e54bda73f24fe77a699,14679,0o644
modified,scripts/checks/check_post_refactor_229_convergence.py,c7c5b4ec2bd4b4c35d23c5ed2632a707e46203c3a820390f1a4e7c9e189cd332,28006,0o755,cdb5ee815f4d9aee1a481fc87e4626f5c2d18c65e75e8e1df464b98a74ed0875,28457,0o755
added,scripts/checks/check_post_refactor_230_convergence.py,n/a,n/a,n/a,a944b645b01bd812d947d6046dad37d9b37e9bd441f188d6445a15f426e2a607,18133,0o755
added,scripts/generate/generate_post_refactor_230_delta.py,n/a,n/a,n/a,6239ef42a99c861753f00bfea05642544e44b90964260b541471709996df91d0,2010,0o755
added,scripts/generate/generate_post_refactor_230_evidence.py,n/a,n/a,n/a,7b831d7e6b95e6cdc5c4d2d8c42411c31cefd6ac93ea013b64dc3e44aa799b5f,37971,0o755
modified,src/apps/daemon/internal/adapters/api/.context,2a612adf9c0a68f1dec9372159d062aaec3c6eb45074f1b932cd96ac3e65b53d,2952,0o644,23dfa7d52ae19a94f2234547f60b1c3d40cdfb37952188f8ca28f196b39270b2,2952,0o644
added,src/apps/daemon/internal/adapters/api/handlers_post_refactor_230_planners.go,n/a,n/a,n/a,8a12167320dabb03ec0842c8ba35c7984585370648e459b38444f07b2fbcccbe,2541,0o644
modified,src/apps/daemon/internal/adapters/api/routes_system.go,44f093b3542351e2f638c81355e69d83496dfcc11e96097c285b4b22070b69da,9834,0o644,433084953a5d6a21c8a4595f4d02854d6c39f99ac8ce74667958d84386d5b95f,10205,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/.context,a1231654bc12575dc3f8c469e4857c51452b4048bbf2942e7e5c0c1f87fabea2,1727,0o644,a3d01474ccd920ea95e66a6f5499e26999978ac6d0efe3f83c9867616ed0df3b,1728,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/cdn_candidates.go,8f8a8a453763a0cdc0347c65e60746adc3d92df0a909708bafb570034147c724,3523,0o644,93b559d55d1c135387af038222ebd6a0ff372d81ede3380f2ae6626064b1b2f0,4391,0o644
added,src/apps/daemon/internal/analysis/diagnostics/censorship_measurement_plan.go,n/a,n/a,n/a,e630d8119a1c1bd8548a7e43edbc9e7fb483f7f250738982696c243454945b80,4603,0o644
added,src/apps/daemon/internal/analysis/diagnostics/dtls_session_policy_plan.go,n/a,n/a,n/a,3e24dddc4a6ecc42e989614d045810afa1119de8c0d835bf132375aaa4199df7,6236,0o644
added,src/apps/daemon/internal/analysis/diagnostics/flow_filter_plan.go,n/a,n/a,n/a,a04b65f24d366ccc90f88012990d71c786ab8c295fa06ea34897182d8d496235,3150,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/gateway_composition_plan.go,9240751fe9f57a92600fa1113a1274a635fb57e3506fa5ef83d84afb8e37e7ca,5954,0o644,19a7014cc1d254994567a019a6a411d40a1b6946b0061b502e45466c54afed39,6429,0o644
modified,src/apps/daemon/internal/analysis/diagnostics/multiplex_policy_plan.go,a8a78296e3168311480c5d0d59bd0fb72ea6a20838dafbbfbe40102e83e9a4d8,4593,0o644,ed0f39d89c4ffd68334b18e24cabdd185f7d0520aae3bbaccb0f38ab2987247b,7574,0o644
added,src/apps/daemon/internal/analysis/diagnostics/phantom_pool_plan.go,n/a,n/a,n/a,cc0f7539314dca3404be57ee288643cb83b9ea0a4a140f84a133976cef73b9ea,5575,0o644
added,src/apps/daemon/internal/analysis/diagnostics/post_refactor_230_plans_test.go,n/a,n/a,n/a,686e554187cbe28a2695dc5d1b37da44056da6340123a9ebaf588dcdca08eb16,11251,0o644
added,src/apps/daemon/internal/analysis/diagnostics/tor_bootstrap_evidence_plan.go,n/a,n/a,n/a,1080a2792ca390b7d741fb49d8fee725dae6439b4029f2de5c64547f9783f7f0,3352,0o644
added,src/apps/daemon/internal/analysis/diagnostics/tor_bridge_selection_plan.go,n/a,n/a,n/a,2e92eac790969dcf0c08a522192c168c14b3f8edc5d44490f8489c4f0bd99295,6293,0o644
modified,src/apps/daemon/internal/foundation/store/.context,862b1c435dfc078bb718dd15ea331634f4a07d4bb62f78733083f0316f6cccea,1360,0o644,6b68a0196c144f75d9aa81c627ec18aa97bead9a3a3ba1203becf616ee6df5d5,1410,0o644
modified,src/apps/daemon/internal/foundation/updateadmission/.context,39076149755fc433a474cdbaff5d418402b47c6945512947c240212f0c404f76,1196,0o644,57c41fb8c3e5ae5ccb7630570dc419971d39208410bb195c8d7f12e87955187e,1225,0o644
modified,src/apps/daemon/internal/networking/proxyconfig/.context,f264ba8a73bdd2a36c9f9c41c2329b56e5f3b69ab8760ff6c96916ccd22e84c1,1611,0o644,5c26dee18dc20ad7efde165560b5b7e77637840f4e65cc30479270bfbdb8dd42,1626,0o644
modified,src/apps/daemon/internal/runtime/proxy/kcp_transport.go,5f52e014125ea122c24846b0c5ca1c107a1d3801f16386803bc6803db06c0a86,10454,0o644,d4bfb06323b3c34300a90225bacda6e0683c9d4675aa6b0660fbe14ec73e920d,10732,0o644
modified,src/apps/daemon/internal/workflows/jobs/runners.go,de2f93f096516522e306590437d9fe8133dbb9e8cc5908030b3bfae870825ebf,11303,0o644,13cecfec5bbc4b89d51b144562086d2ca93bb9ac85c49499ca93e6e61d160daa,11309,0o644
modified,src/packages/control-ui/package.json,77150404d106cccfdb0674828273367a57c0c40f011c94fc3a239a25c52655e5,2189,0o644,279ccd10e9ee97e569b456ace8fb1b9f4ddeb0d1818eb729384c69c4c873848e,2268,0o644
modified,src/packages/control-ui/scripts/.context,29ce3c3a722ca4899dfb6fbd0d1669c1e3db2be97aa9b3c476133932d4e07440,974,0o644,d13039c39a24fc49eb9b04ad78c9a6dcd17d5b220e098b50f72853ac933b8091,976,0o644
added,src/packages/control-ui/scripts/test-post-refactor-230.mjs,n/a,n/a,n/a,eec93fd46b774f61bee791a4d814ebb4abbb66950451cd726008b9f1bc0720c1,6838,0o644
modified,src/packages/control-ui/src/api/planners.ts,02855de91e7ea19d7348eb041106a931e93e87377256105298c432e1f132a22f,41641,0o644,4a5855979e979ae3629b4c12f4836eee48db3b9ef9f658ed39921782f4121776,52748,0o644
modified,src/packages/control-ui/src/pages/Operations.tsx,33080010fd4d6e23e9209baabe19709c942775d9ed4023899eb8918d36c25f20,135383,0o644,a86fb99dff003cf73e180174ed0c03c23a70113f7fbc0f0f235fb665727191a0,137518,0o644
