wave,donor,directory,direct_files,direct_dirs
post-refactor-20b,serenity-dev,.,11,10
post-refactor-20b,serenity-dev,.github,1,1
post-refactor-20b,serenity-dev,.github/workflows,4,0
post-refactor-20b,serenity-dev,cmd,0,1
post-refactor-20b,serenity-dev,cmd/serenity,6,0
post-refactor-20b,serenity-dev,common,0,3
post-refactor-20b,serenity-dev,common/cachefile,2,0
post-refactor-20b,serenity-dev,common/metadata,1,0
post-refactor-20b,serenity-dev,common/semver,1,0
post-refactor-20b,serenity-dev,constant,2,0
post-refactor-20b,serenity-dev,docs,6,3
post-refactor-20b,serenity-dev,docs/assets,1,0
post-refactor-20b,serenity-dev,docs/configuration,5,1
post-refactor-20b,serenity-dev,docs/configuration/shared,1,0
post-refactor-20b,serenity-dev,docs/installation,6,1
post-refactor-20b,serenity-dev,docs/installation/tools,4,0
post-refactor-20b,serenity-dev,option,3,0
post-refactor-20b,serenity-dev,release,0,2
post-refactor-20b,serenity-dev,release/config,3,0
post-refactor-20b,serenity-dev,release/local,7,0
post-refactor-20b,serenity-dev,server,3,0
post-refactor-20b,serenity-dev,subscription,3,1
post-refactor-20b,serenity-dev,subscription/parser,7,0
post-refactor-20b,serenity-dev,template,8,1
post-refactor-20b,serenity-dev,template/filter,6,0
post-refactor-20b,shadow-main,.,10,9
post-refactor-20b,shadow-main,.github,3,2
post-refactor-20b,shadow-main,.github/ISSUE_TEMPLATE,2,0
post-refactor-20b,shadow-main,.github/workflows,7,0
post-refactor-20b,shadow-main,ci,3,1
post-refactor-20b,shadow-main,ci/container_scripts,4,0
post-refactor-20b,shadow-main,cmake,6,0
post-refactor-20b,shadow-main,docs,39,1
post-refactor-20b,shadow-main,docs/assets,6,0
post-refactor-20b,shadow-main,examples,2,2
post-refactor-20b,shadow-main,examples/apps,1,7
post-refactor-20b,shadow-main,examples/apps/curl,4,0
post-refactor-20b,shadow-main,examples/apps/etcd,4,0
post-refactor-20b,shadow-main,examples/apps/http-server,4,0
post-refactor-20b,shadow-main,examples/apps/iperf-2,4,0
post-refactor-20b,shadow-main,examples/apps/jetty,4,0
post-refactor-20b,shadow-main,examples/apps/nginx,5,0
post-refactor-20b,shadow-main,examples/apps/wget2,4,0
post-refactor-20b,shadow-main,examples/docs,1,3
post-refactor-20b,shadow-main,examples/docs/basic-file-transfer,5,0
post-refactor-20b,shadow-main,examples/docs/tor,5,2
post-refactor-20b,shadow-main,examples/docs/tor/conf,12,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template,0,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts,0,9
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/4uthority,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/4uthority/keys,5,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/exit1,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/exit1/keys,3,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/exit2,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/exit2/keys,3,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay1,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay1/keys,3,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay2,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay2/keys,3,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay3,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay3/keys,7,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay4,3,1
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/relay4/keys,7,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/torclient,2,0
post-refactor-20b,shadow-main,examples/docs/tor/shadow.data.template/hosts/torflowauthority,1,0
post-refactor-20b,shadow-main,examples/docs/traffic-generation,7,0
post-refactor-20b,shadow-main,mdbook,2,0
post-refactor-20b,shadow-main,resource,2,0
post-refactor-20b,shadow-main,shadowtools,4,2
post-refactor-20b,shadow-main,shadowtools/src,0,1
post-refactor-20b,shadow-main,shadowtools/src/shadowtools,4,0
post-refactor-20b,shadow-main,shadowtools/tests,2,0
post-refactor-20b,shadow-main,src,3,3
post-refactor-20b,shadow-main,src/lib,1,21
post-refactor-20b,shadow-main,src/lib/asm-util,6,1
post-refactor-20b,shadow-main,src/lib/asm-util/src,3,0
post-refactor-20b,shadow-main,src/lib/formatting-nostd,2,1
post-refactor-20b,shadow-main,src/lib/formatting-nostd/src,5,0
post-refactor-20b,shadow-main,src/lib/gml-parser,1,1
post-refactor-20b,shadow-main,src/lib/gml-parser/src,3,0
post-refactor-20b,shadow-main,src/lib/linux-api,8,1
post-refactor-20b,shadow-main,src/lib/linux-api/src,36,0
post-refactor-20b,shadow-main,src/lib/log-c2rust,4,1
post-refactor-20b,shadow-main,src/lib/log-c2rust/src,1,0
post-refactor-20b,shadow-main,src/lib/logger,6,1
post-refactor-20b,shadow-main,src/lib/logger/src,1,0
post-refactor-20b,shadow-main,src/lib/pod,1,1
post-refactor-20b,shadow-main,src/lib/pod/src,1,0
post-refactor-20b,shadow-main,src/lib/preload-injector,2,0
