record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR220-S001,n/a,CG220-FLOW,IPRadar2ForLinux,flow-observability,canonical cross-runtime flow observation,focused peer mechanism or cross-peer composition,product/operational pattern,standalone or target-recomposed,IPRadar2/processor.py,f02011a4de355a3b2ee4fe7ef46e5c833a2f45573fc4a4acde1ce5cd57f2e9d3,n/a,synthesis,many-to-one,synthesized,"The held passive visibility value is now promoted only after LumiNet gained one registry contract with owner-declared coverage, byte counters, network epochs, and delegated close authority.",cross-runtime flow registry,src/apps/daemon/internal/foundation/flowregistry/registry.go#DeclareOwner;src/apps/daemon/internal/foundation/flowregistry/registry.go#Register;src/apps/daemon/internal/foundation/flowregistry/registry.go#Close,A flow exists in the canonical registry only after its runtime owner declares what it can truthfully expose.,A partial runtime/session map cannot be presented as host-wide completeness or grant undeclared close/process authority.,src/apps/daemon/internal/foundation/flowregistry/registry_test.go#Test,Connections,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,high,n/a,high,verified
PR220-S002,n/a,CG220-FLOW,Yacd-meta,operator-ui,connection filter/detail/close UX downstream of canonical authority,focused peer mechanism or cross-peer composition,product UX,standalone or target-recomposed,src/components/Connections.tsx,9c63d0efeb0c94e3b875a656243a3b06ba1e0e1dbaf0109a620651463910221b,n/a,inspiration + hardening,idea-to-native,inspired-native,"Yacd connection UX becomes safe only behind the target-owned registry; LumiNet adds runtime coverage truth, selected-flow confirmation, no close-all shortcut, and network-epoch context.",Connections operator plane,src/packages/control-ui/src/pages/Connections.tsx#Runtime coverage truth;src/apps/daemon/internal/adapters/api/handlers_system_flows.go#CloseSystemFlow,UI reads canonical snapshots and invokes owner-delegated close; it never deletes registry state directly.,Missing runtime coverage is explicit; the UI cannot imply every host connection is visible.,src/packages/control-ui/scripts/test-eighth-order-promotions.mjs#no UI close-all affordance,Connections,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,medium,n/a,high,statically-validated
PR220-S003,n/a,CG220-FLOW,Throne,flow-observability,process/destination metadata with declared coverage,focused peer mechanism or cross-peer composition,product/operational pattern,standalone or target-recomposed,include/stats/connections/connectionLister.hpp,f790491ab967634614a97570759f4b309505277f3a3af5da371db68fc0deed03,n/a,recomposition,many-to-one,recomposed,"Throne reinforces process-aware connection UX, but LumiNet makes process/destination fields conditional on owner-declared coverage instead of assuming desktop-wide visibility.",flow metadata truth,src/apps/daemon/internal/foundation/flowregistry/registry.go#OwnerCoverage;src/packages/control-ui/src/pages/Connections.tsx#Runtime coverage truth,Owners may publish process/destination/close semantics only when the declared coverage permits them.,Observation metadata cannot silently become desktop per-process routing or arbitrary process termination authority.,src/apps/daemon/internal/foundation/flowregistry/registry_test.go#Test,Connections,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,high,n/a,high,verified
PR220-S004,n/a,CG220-NETMON,tailscale-rs,network-state,passive daemon-wide network epochs and handoff history,focused peer mechanism or cross-peer composition,architectural pattern,standalone or target-recomposed,ts_netmon/src/lib.rs,496c83465d3bd06c12111eda426c5380060a3866a984d552c024c02ee8bf1a90,n/a,independent rederivation + hardening,one-to-one,adapted,"The previously held netmon idea is promoted as a passive snapshot/epoch owner: interfaces, addresses, link identity, MTU/flags and inferred egress change the epoch; observation never requests networks or mutates routes.",passive network state,src/apps/daemon/internal/platform/system/network_monitor.go#NetworkMonitor;src/apps/daemon/internal/platform/system/network_monitor.go#fingerprintNetwork,Revisions advance only on meaningful captured network change and history/subscriber resources are bounded.,Network observation cannot acquire/retain a network or become a competing route mutator.,src/apps/daemon/internal/platform/system/network_monitor_test.go#Test,Connections;system API,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,high,n/a,high,verified
PR220-S005,n/a,CG220-NETINTEL,IPRadar2ForLinux,network-intelligence,derived path/provider intelligence without active scanning,focused peer mechanism or cross-peer composition,product/operational pattern,standalone or target-recomposed,IPRadar2/processor.py,f02011a4de355a3b2ee4fe7ef46e5c833a2f45573fc4a4acde1ce5cd57f2e9d3,n/a,synthesis,many-to-one,synthesized,"IPRadar path/provider visibility is recomposed with the canonical flow registry, passive network epochs and existing immutable provider LPM corpus. No DNS/GeoIP fetch or socket scan is added.",derived network intelligence,src/apps/daemon/internal/analysis/netintel/summary.go#Build;src/apps/daemon/internal/adapters/api/handlers_system_network_intelligence.go#GetSystemNetworkIntelligence,Path intelligence is a deterministic read model over already-authoritative local observations and carries provider-corpus freshness.,"A read model cannot issue network probes, mutate routes, or claim coverage beyond participating runtime owners.",src/apps/daemon/internal/analysis/netintel/summary_test.go#Test,Connections,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,medium,n/a,high,verified
PR220-S006,n/a,CG220-RECOVERY,Scrapling,job-recovery,operator-confirmed reconstructible interrupted-job recovery,focused peer mechanism or cross-peer composition,recovery pattern,standalone or target-recomposed,scrapling/spiders/checkpoint.py,e6ea1f3007062ff23c6b372c3c5be899d6b4978ea2ff4e5cb2e05e4f5d265ad8,n/a,guardrail derivation + synthesis,negative-to-guardrail,guardrail-derived,The peer checkpoint pattern is promoted only for job types whose persisted intent is credential-free and reconstructible. Recovery creates a new lineage-tracked job; nothing auto-replays at boot.,typed restart recovery,src/apps/daemon/internal/workflows/jobs/recovery.go#GetRecoveryInfo;src/apps/daemon/internal/workflows/jobs/recovery.go#RequeueInterrupted,Only explicitly reconstructible observational interrupted jobs can produce a new descendant after confirmation.,Secret-bearing or consequential jobs never auto-replay; the interrupted source record is immutable and an active descendant blocks duplicates.,src/apps/daemon/internal/workflows/jobs/recovery_test.go#Test,Operations,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,critical,n/a,high,verified
PR220-S007,n/a,CG220-RECOVERY,Scrapling,persistence-security,credential-redacted persisted job intent,focused peer mechanism or cross-peer composition,defensive primitive,standalone or target-recomposed,scrapling/spiders/checkpoint.py,e6ea1f3007062ff23c6b372c3c5be899d6b4978ea2ff4e5cb2e05e4f5d265ad8,n/a,hardening,one-to-one,hardened,Recovery review exposed that ProxyTest history could persist credential-bearing proxy URIs. Persisted job config is now a redacted preview while raw secrets remain only in in-memory intent.,job persistence secrecy,src/apps/daemon/internal/workflows/jobs/intents.go#persistedConfig;src/apps/daemon/internal/workflows/jobs/intents.go#scrubLegacyConfig,History/export state stores only replay-safe or credential-redacted intent.,A recovery feature must never increase credential persistence merely to make replay convenient.,src/apps/daemon/internal/workflows/jobs/intent_test.go#Test,History;Operations,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,critical,n/a,high,verified
PR220-S008,n/a,CG220-CONVERT,subconverter,profile-conversion,bounded local multi-format compatibility conversion,focused peer mechanism or cross-peer composition,compatibility corpus,standalone or target-recomposed,src/generator/config/nodemanip.cpp,388985f411a60f67aa20c08024f72fdd1f215d24ef861fc9350df1a4c20fd86b,n/a,rederivation,many-to-one,synthesized,"Subconverter breadth is absorbed as target-native conversion over the existing canonical ProxyConfig owner: URI list, Base64, LumiNet JSON, Clash Meta and sing-box, with exact unsupported/lossy evidence.",profile compatibility plane,src/apps/daemon/internal/integrations/sub/convert.go#ConvertConfigs;src/apps/daemon/internal/adapters/api/handlers_subscription_convert.go#ConvertSubscriptionHandler,Conversion never fetches input URLs or mutates managed profile state; every omitted/lossy semantic is explicit.,"No embedded script, remote include, filesystem access or second parser authority is introduced.",src/apps/daemon/internal/integrations/sub/convert_test.go#Test,Profiles Compatibility Lab,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,medium,n/a,high,verified
PR220-S009,n/a,CG220-CONVERT,subconverter,profile-transformation,declarative local filter/rename/dedupe/sort/limit pipeline,focused peer mechanism or cross-peer composition,configuration transformation,standalone or target-recomposed,src/generator/config/nodemanip.cpp,388985f411a60f67aa20c08024f72fdd1f215d24ef861fc9350df1a4c20fd86b,n/a,adaptation + hardening,one-to-one,adapted,Useful node-manipulation behavior is expressed as bounded Go regexp and deterministic transforms instead of donor scripting. Detour relationships are rebound and orphaning filters/limits fail closed.,local profile shaping,src/apps/daemon/internal/integrations/sub/transform.go#TransformConfigs,"Transforms clone input, preserve/rebind valid detour graphs, and bound rule/pattern/node sizes.",Filtering/limit cannot silently orphan a required detour hop; arbitrary script execution is unavailable.,src/apps/daemon/internal/integrations/sub/transform_test.go#Test,Profiles Compatibility Lab,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,medium,n/a,high,verified
PR220-S010,n/a,CG220-CONVERT,V2RayDAR,profile-validation,generated-output local re-ingest proof,focused peer mechanism or cross-peer composition,evaluation method,standalone or target-recomposed,src/sing_box.rs,872d6c34947dbdf9b024829fbc472c0b2a7691d5c5d2730b7260f9c4021e242a,n/a,adaptation,one-to-one,adapted,"The external-runtime validation idea is turned into an always-available local oracle first: generated output is parsed back through LumiNet and compared semantically, including top-level detour graph. Strict mode rejects drift even if exporter bookkeeping missed it.",strict conversion validation,src/apps/daemon/internal/integrations/sub/roundtrip.go#ValidateRoundTrip;src/apps/daemon/internal/adapters/api/handlers_subscription_convert.go#ValidateRoundTrip,Strict success requires emitted output to be locally re-ingestable with no semantic/cardinality/detour drift.,Exporter self-report alone cannot prove compatibility; parser errors or semantic drift fail strict conversion.,src/apps/daemon/internal/integrations/sub/roundtrip_test.go#TestGeneratedURIAndBase64RoundTripCanonicalParsedNodes,Profiles Compatibility Lab,additive; target-native ownership retained,assumed MIT for this task per user instruction; no legal analysis performed,high,n/a,high,verified
