donor,directory,tree_sha256,direct_files,direct_dirs,descendant_files,descendant_symlinks
splitpt,.,40aede05999a7850b5c4d1e02c8e84553bcaa63cfd8a3b673bf8d786fa96f080,5,5,105,0
splitpt,client,6dcf2dab26903b22c4bbf2372b77533ff43f68449032ae23db011ebeccbf6ed0,5,1,8,0
splitpt,client/lib,fa4e0111be186b5aa8184cd0d416a6fbdba68e0b0213078ca39abffb735506f7,3,0,3,0
splitpt,common,ef4f038b4025743755a7c1747f43f31b3bc48d0cdbaf5d868810be48951add9e,0,2,10,0
splitpt,common/split,166ab52bdfb2e1771c04ac2bbf2ae54208f84389b0370e73e50ec15fbc1ad67d,3,0,3,0
splitpt,common/turbotunnel,9263fa6ac38d9252565f95c9c419753e559c37365cc9b4e11282a44203e2d9f5,7,0,7,0
splitpt,pt-setup,40bc0e7f427bfa57546220d02ebc0caa1650c3aba030521a331f245c7af5aa2f,4,2,9,0
splitpt,pt-setup/client-state,445e3620f895119af49bb35dfac383a334cab07447395e6b38568d39c9406e40,2,0,2,0
splitpt,pt-setup/server-state,81b2db9d3c822eda282e02a295a7b069b8e429fce44f7ae69dcdafc4e0f69a57,3,0,3,0
splitpt,server,fb06eaedd76c5fb441e0c9945dd41f93f9ec96313778d0435d3fae79f1c79075,2,0,2,0
splitpt,tests,5c37b2c403381f1cb7062b0f61718f8378fcb30d7876f26f9afd8e0ce539ccb0,0,2,71,0
splitpt,tests/shadow,1f341266899490a9a956daa67487934daebb8df14e8b55dde0e696e63f0d8711,2,1,66,0
splitpt,tests/shadow/shadow.data.template,360166c27d970af2996372f69b139070f944a609cd24abbec65663d1b73b4637,0,2,64,0
splitpt,tests/shadow/shadow.data.template/conf,3125d84dbcd69169ea74f7693ffebc2753266cb976356f17ce8993ce2103ae33,3,0,3,0
splitpt,tests/shadow/shadow.data.template/hosts,30461ea38078bfdc17f3b9f43b39f1aecf2f0dfa958cdd2823de394f823e13b0,0,10,61,0
splitpt,tests/shadow/shadow.data.template/hosts/4uthority,7b669be706ef68668561cfcadcacf4b0c228db6281f24ce13cf844e0caf6c8ab,4,1,9,0
splitpt,tests/shadow/shadow.data.template/hosts/4uthority/keys,46610d235bbcfb014f3c15d22e82b4053841a0bcf2c6d22fd385d07b52736d5a,5,0,5,0
splitpt,tests/shadow/shadow.data.template/hosts/bridge1,b9f1d81d46ae4101729443a1457c3dee5901335114e881ad4ef6f12e1484899e,0,1,4,0
