wave,donor,directory,direct_files,direct_dirs
post-refactor-20c,Exclave-dev,.,13,7
post-refactor-20c,Exclave-dev,.github,0,1
post-refactor-20c,Exclave-dev,.github/workflows,4,0
post-refactor-20c,Exclave-dev,app,3,2
post-refactor-20c,Exclave-dev,app/schemas,0,3
post-refactor-20c,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.SagerDatabase,35,0
post-refactor-20c,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.preference.InMemoryDatabase,1,0
post-refactor-20c,Exclave-dev,app/schemas/io.nekohasekai.sagernet.database.preference.PublicDatabase,1,0
post-refactor-20c,Exclave-dev,app/src,0,2
post-refactor-20c,Exclave-dev,app/src/main,2,6
post-refactor-20c,Exclave-dev,app/src/main/aboutlibraries,0,1
post-refactor-20c,Exclave-dev,app/src/main/aboutlibraries/licenses,5,0
post-refactor-20c,Exclave-dev,app/src/main/aidl,0,1
post-refactor-20c,Exclave-dev,app/src/main/aidl/io,0,1
post-refactor-20c,Exclave-dev,app/src/main/aidl/io/nekohasekai,0,1
post-refactor-20c,Exclave-dev,app/src/main/aidl/io/nekohasekai/sagernet,0,1
post-refactor-20c,Exclave-dev,app/src/main/aidl/io/nekohasekai/sagernet/aidl,4,0
post-refactor-20c,Exclave-dev,app/src/main/assets,1,2
post-refactor-20c,Exclave-dev,app/src/main/assets/exclave-core,2,0
post-refactor-20c,Exclave-dev,app/src/main/assets/license,9,0
post-refactor-20c,Exclave-dev,app/src/main/java,0,2
post-refactor-20c,Exclave-dev,app/src/main/java/com,0,1
post-refactor-20c,Exclave-dev,app/src/main/java/com/github,0,1
post-refactor-20c,Exclave-dev,app/src/main/java/com/github/shadowsocks,0,2
post-refactor-20c,Exclave-dev,app/src/main/java/com/github/shadowsocks/plugin,16,2
post-refactor-20c,Exclave-dev,app/src/main/java/com/github/shadowsocks/plugin/obfs_local,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/com/github/shadowsocks/plugin/v2ray,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/com/github/shadowsocks/preference,3,0
post-refactor-20c,Exclave-dev,app/src/main/java/io,0,1
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai,0,1
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet,4,11
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/aidl,3,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/bg,11,2
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/bg/proto,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/bg/test,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/database,14,1
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/database/preference,6,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt,8,19
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/anytls,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/gson,8,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/http,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/http3,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/hysteria2,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/internal,4,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/juicity,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/mieru,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/naive,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/shadowquic,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/shadowsocks,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/shadowsocksr,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/socks,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/ssh,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/trojan,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/trusttunnel,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/tuic5,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/v2ray,5,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/fmt/wireguard,2,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/group,10,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/ktx,13,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/plugin,5,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/tasker,3,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/ui,29,1
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/ui/profile,24,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/utils,11,0
post-refactor-20c,Exclave-dev,app/src/main/java/io/nekohasekai/sagernet/widget,17,0
post-refactor-20c,Exclave-dev,app/src/main/jniLibs,0,4
post-refactor-20c,Exclave-dev,app/src/main/jniLibs/arm64-v8a,1,0
post-refactor-20c,Exclave-dev,app/src/main/jniLibs/armeabi-v7a,1,0
post-refactor-20c,Exclave-dev,app/src/main/jniLibs/x86,1,0
post-refactor-20c,Exclave-dev,app/src/main/jniLibs/x86_64,1,0
post-refactor-20c,Exclave-dev,app/src/main/res,0,30
post-refactor-20c,Exclave-dev,app/src/main/res/color,5,0
post-refactor-20c,Exclave-dev,app/src/main/res/drawable,113,0
post-refactor-20c,Exclave-dev,app/src/main/res/drawable-v26,2,0
post-refactor-20c,Exclave-dev,app/src/main/res/layout,43,0
post-refactor-20c,Exclave-dev,app/src/main/res/menu,16,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-anydpi-v26,2,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-hdpi,3,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-mdpi,3,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-xhdpi,3,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-xxhdpi,3,0
post-refactor-20c,Exclave-dev,app/src/main/res/mipmap-xxxhdpi,3,0
post-refactor-20c,Exclave-dev,app/src/main/res/values,11,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-ar,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-es,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-fa,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-fr,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-in,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-it,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-ja,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-ko,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-nb-rNO,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-night,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-ru,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-tr,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-v26,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-v29,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-v31,2,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-zh-rCN,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/values-zh-rTW,1,0
post-refactor-20c,Exclave-dev,app/src/main/res/xml,31,0
post-refactor-20c,Exclave-dev,app/src/oss,0,1
post-refactor-20c,Exclave-dev,app/src/oss/play,2,1
post-refactor-20c,Exclave-dev,app/src/oss/play/listings,0,1
post-refactor-20c,Exclave-dev,app/src/oss/play/listings/en-US,3,1
post-refactor-20c,Exclave-dev,app/src/oss/play/listings/en-US/graphics,0,3
post-refactor-20c,Exclave-dev,app/src/oss/play/listings/en-US/graphics/feature-graphic,1,0
post-refactor-20c,Exclave-dev,app/src/oss/play/listings/en-US/graphics/icon,1,0
post-refactor-20c,Exclave-dev,app/src/oss/play/listings/en-US/graphics/phone-screenshots,1,0
post-refactor-20c,Exclave-dev,bin,1,4
post-refactor-20c,Exclave-dev,bin/init,1,1
post-refactor-20c,Exclave-dev,bin/init/action,1,0
post-refactor-20c,Exclave-dev,bin/lib,1,1
post-refactor-20c,Exclave-dev,bin/lib/core,2,0
post-refactor-20c,Exclave-dev,bin/plugin,2,2
post-refactor-20c,Exclave-dev,bin/plugin/naive,5,0
post-refactor-20c,Exclave-dev,bin/plugin/shadowquic,5,0
post-refactor-20c,Exclave-dev,bin/rust-linker,3,0
post-refactor-20c,Exclave-dev,buildSrc,2,1
post-refactor-20c,Exclave-dev,buildSrc/src,0,1
post-refactor-20c,Exclave-dev,buildSrc/src/main,0,1
post-refactor-20c,Exclave-dev,buildSrc/src/main/kotlin,3,0
post-refactor-20c,Exclave-dev,gradle,1,1
post-refactor-20c,Exclave-dev,gradle/wrapper,2,0
post-refactor-20c,Exclave-dev,library,0,3
post-refactor-20c,Exclave-dev,library/core,7,0
post-refactor-20c,Exclave-dev,library/proto,1,1
post-refactor-20c,Exclave-dev,library/proto-stub,1,1
post-refactor-20c,Exclave-dev,library/proto-stub/src,0,1
post-refactor-20c,Exclave-dev,library/proto-stub/src/main,1,0
post-refactor-20c,Exclave-dev,library/proto/main,1,0
post-refactor-20c,Exclave-dev,plugin,0,3
post-refactor-20c,Exclave-dev,plugin/api,1,1
post-refactor-20c,Exclave-dev,plugin/api/src,0,1
post-refactor-20c,Exclave-dev,plugin/api/src/main,1,1
