record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR225-R001,n/a,CG225-sni-bypass,sni-bypass,repository-accountability,SNI-ByPass complete repository accountability,repository,evidence corpus,context-dependent,.git/config,9bec182c45437f66647d70840333dee853d6ed51df9081db0243486aafe9d5e4,n/a,exhaustive review,one-to-many,reference-only,Every archive surface is hash-accounted; independently meaningful modules receive child records.,convergence evidence,n/a,all donor files and directories remain traceable to explicit dispositions,repository-level accountability is not implementation evidence,n/a,governance/convergence/post-refactor-225-surface-accountability.csv,none,technical ranking ignores license per user instruction; provenance preserved,low,n/a,high,verified
PR225-M002,PR225-R001,CG225-sni-tls-path-evidence,sni-bypass,sni-root,sni root semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,sni-bypass-installer.sh,668d0f7ca3bfa2602f119c495305d4e932be4ea8a3e3b498ad1416ad0b98ab39,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,"SNI donor mechanics are decomposed into parser, path-evidence, MTU, sequence and deployment semantics while packet injection remains with existing owners. Capability-level behavioral evidence: src/apps/daemon/internal/analysis/diagnostics/post_refactor_225_test.go#TestPostRefactor225SNIPathRequiresResponseAndStrictTLS.",SNI/TLS path evidence,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,first-response and strict TLS evidence outrank connect-only reachability,raw packet injection and insecure TLS never become planner authority,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M002,Operations convergence policy lab,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R001,high,verified
PR225-R003,n/a,CG225-sni-spoofing-go,sni-spoofing-go,repository-accountability,SNI-Spoofing-Go complete repository accountability,repository,evidence corpus,context-dependent,.github/workflows/build.yml,e535e70f251b35af69b40f048f9495c2c04dc2262ab8793e3d10f8afe1d120cb,n/a,exhaustive review,one-to-many,reference-only,Every archive surface is hash-accounted; independently meaningful modules receive child records.,convergence evidence,n/a,all donor files and directories remain traceable to explicit dispositions,repository-level accountability is not implementation evidence,n/a,governance/convergence/post-refactor-225-surface-accountability.csv,none,technical ranking ignores license per user instruction; provenance preserved,low,n/a,high,verified
PR225-M004,PR225-R003,CG225-sni-tls-path-evidence,sni-spoofing-go,sni-config,sni config semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,config/config.go,49ea7e1fe420b82b1bcbd5eca07f0c6c834f6f16c9621e64cdf9be945f7a7222,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,"ClientHello parsing, connection evidence, MTU/sequence and matrix lessons are recomposed into strict read-only path evidence. Capability-level behavioral evidence: src/apps/daemon/internal/analysis/diagnostics/post_refactor_225_test.go#TestPostRefactor225SNIPathRequiresResponseAndStrictTLS.",SNI/TLS path evidence,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,first-response and strict TLS evidence outrank connect-only reachability,raw packet injection and insecure TLS never become planner authority,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M004,Operations convergence policy lab,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,verified
PR225-M005,PR225-R003,CG225-sni-tls-path-evidence,sni-spoofing-go,sni-connection,sni connection semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,connection/monitor.go,d59243c70206087116c93b4fd9e6d636d5ac9f3f3ee3bb9537b490274d0485b2,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,"ClientHello parsing, connection evidence, MTU/sequence and matrix lessons are recomposed into strict read-only path evidence. Capability-level behavioral evidence: src/apps/daemon/internal/analysis/diagnostics/post_refactor_225_test.go#TestPostRefactor225SNIPathRequiresResponseAndStrictTLS.",SNI/TLS path evidence,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,first-response and strict TLS evidence outrank connect-only reachability,raw packet injection and insecure TLS never become planner authority,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M005,Operations convergence policy lab,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,verified
PR225-M006,PR225-R003,CG225-bounded-diagnostic-ui-ux-and-log-evidence,sni-spoofing-go,sni-gui,sni gui semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,gui/app.go,f15cfa09bb90e29006e4c9baed409c3e6a78130a7c324f15a882499ed926b5c1,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,"The donor GUI contributes bounded log-buffer, status/results separation, localization/RTL, preflight and progressive-result UX; LumiNet adopts the safe product concepts in existing pages, not the Wails/elevated runtime shell. Capability-level behavioral evidence: src/packages/control-ui/scripts/test-post-refactor-225.mjs#product-surface.",bounded diagnostic UI/UX and log evidence,src/packages/control-ui/src/pages/Logs.tsx#Logs;src/packages/control-ui/src/pages/Operations.tsx#Operations,diagnostic logs remain bounded and status/results are separated from runtime authority,GUI elevation/helper execution and packet-injection controls are not transplanted into the web UI,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M006,Logs and Operations,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,verified
PR225-M007,PR225-R003,CG225-typed-planner-admission-contracts,sni-spoofing-go,sni-guiapi,sni guiapi semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,guiapi/types.go,d3cca9d9d87cd14d2354540effe6cfb30a975fa70bd5ec7bf1b653ded02cfb3e,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,GUI API validation reinforces strict planner schemas around the existing authenticated system API. Capability-level behavioral evidence: src/packages/control-ui/scripts/test-post-refactor-225.mjs#planner-api.,typed planner admission contracts,src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go#PlanSNIPaths;src/packages/control-ui/src/api/planners.ts,"planner inputs and outputs are typed, bounded and authenticated",UI validation never becomes packet/runtime authority,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M007,Operations convergence policy lab,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,verified
PR225-M008,PR225-R003,CG225-privilege-helper-process-boundary,sni-spoofing-go,sni-helper,sni helper semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,helper/client.go,c1e6b3247421a752509a785f0d80bafc25252fbed972e11f4141b90c0398f222,n/a,comparison + oracle extraction,many-to-one,superseded,The donor helper/privilege layer is superseded by LumiNet platform/process ownership and centralized redaction; lifecycle behavior remains review evidence.,privilege/helper process boundary,src/apps/daemon/internal/foundation/redact/redact.go#String;src/apps/daemon/internal/platform/system,privileged operations remain behind existing platform owners and secret redaction,"a donor helper daemon, bearer token, parent watcher or elevation path is not added",scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M008,governance/convergence/post-refactor-225-peer-synthesis.md,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,reviewed
PR225-M009,PR225-R003,CG225-packet-injection-authority-and-path-evidence,sni-spoofing-go,sni-injection,sni injection semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,injection/bpf_darwin.go,099dba01a35ad7381218a00c552abed34fedfee09d4fca6cd0644c348b28a051,n/a,comparison + oracle extraction,many-to-one,superseded,"Injection helpers contribute MTU, TCP wrap and filter-validation oracles, but existing packet/runtime owners remain authoritative. Capability-level behavioral evidence: src/apps/daemon/internal/analysis/diagnostics/post_refactor_225_test.go#TestPostRefactor225SNIPathRequiresResponseAndStrictTLS.",packet injection authority and path evidence,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,MTU/header/sequence evidence can inform bounded planning while packet injection stays single-owned,raw BPF/NFQUEUE/WinDivert injection and wrong-sequence packet authority are not duplicated,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M009,governance/convergence/post-refactor-225-peer-synthesis.md,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,reviewed
PR225-M010,PR225-R003,CG225-sni-tls-path-evidence,sni-spoofing-go,sni-network,sni network semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,network/network.go,823f33c67558df2fd685c6a76b79aa21d24576b195de9179e24bed20c19bad1e,n/a,recomposition + guardrail derivation,many-to-one,inspired-native,"ClientHello parsing, connection evidence, MTU/sequence and matrix lessons are recomposed into strict read-only path evidence. Capability-level behavioral evidence: src/apps/daemon/internal/analysis/diagnostics/post_refactor_225_test.go#TestPostRefactor225SNIPathRequiresResponseAndStrictTLS.",SNI/TLS path evidence,src/apps/daemon/internal/analysis/diagnostics/sni_path_plan.go#BuildSNIPathPlan;src/apps/daemon/internal/protocols/tlsfragment/sni_range.go#FindSNIHostRange,first-response and strict TLS evidence outrank connect-only reachability,raw packet injection and insecure TLS never become planner authority,scripts/checks/check_post_refactor_225_convergence.py#semantic-PR225-M010,Operations convergence policy lab,additive hardening/read-only planning; false zero-consumer facades may be retired where explicitly proven,technical ranking ignores license per user instruction; provenance preserved,medium,PR225-R003,high,verified
