donor,archive,archive_sha256,members,files,symlinks,uncompressed_bytes,archive_root,validation
shadowsocks-crypto,shadowsocks-crypto-main.zip,b4ebd199d4442f1979bbf612db209a7280a8f9d49c26b2da52ab379c0cea851e,58,46,0,163990,shadowsocks-crypto-main,verified-safe+crc+byte-equal
shadowsocksr,shadowsocksR-master.zip,02e18ec1512637f77dcfef6f913a8227ee2d4f33ffbe9f379b708ca932b341ed,33,26,0,67074,shadowsocksR-master,verified-safe+crc+byte-equal
shadowsocks-rust,shadowsocks-rust-master.zip,4d72a83993c8317a349c17998ce41baf8dd2f8bde2291fe7892ee18bf461a5af,383,293,0,3707444,shadowsocks-rust-master,verified-safe+crc+byte-equal
srsc,srsc-dev.zip,0128ebd9523a67bcad0d47d23ec2d68f2e6e1efd3470db80da92c58a57cc4bb4,134,103,0,268205,srsc-dev,verified-safe+crc+byte-equal
ssh,ssh-master.zip,04456615e56fa4b56ce4c11dba344997c07d5fde542a58c2da30e61d6858859d,149,139,0,2173144,ssh-master,verified-safe+crc+byte-equal
subconverter,subconverter-master(1).zip,ccdee435e87c8477b74199f29bdb075355b94d31848cc62460569cd2f70bd0e3,566,508,0,5465803,subconverter-master,verified-safe+crc+byte-equal
tailscale-client,tailscale-client-go-main(3).zip,1497463b385b1ecb739b07aeb773f1c9f227bf605b975a2ec3d47e6c15abb25d,22,15,0,96577,tailscale-client-go-main,verified-safe+crc+byte-equal
tinytun,TinyTun-master(3).zip,2ff79408a2852bcd0e0baa1dbab1356fa5a0d42d9cc3afb7728b14f91d4b9251,56,43,0,533238,TinyTun-master,verified-safe+crc+byte-equal
tools,Tools-main(3).zip,661be40cf39342be8d386b64fc88841a57885010d294547998f5d7132e89f642,23,18,0,11122865,Tools-main,verified-safe+crc+byte-equal
browser-ext,ts-browser-ext-main(3).zip,658678e2f9065c66d022c27e8576c7b70ea3df5f758ac1c3f5107f6adf2ea321,24,22,0,207262,ts-browser-ext-main,verified-safe+crc+byte-equal
tsheadroom,tsheadroom-main(3).zip,c34a9f6ef359606081ef24f3d0edfc1af068443860904f8df4ebb64da674b9a8,38,33,0,202870,tsheadroom-main,verified-safe+crc+byte-equal
mwgp,mwgp-2.zip,0301ea986e324621dda7fd6ef48d41fdf5513dcecd4dfe62213ecb5241b88f1a,38,31,0,139674,mwgp-2,verified-safe+crc+byte-equal
paas-gateway,PaaS-vmess-trojan-argo-main.zip,9c2a8ac7b83e3a4f0a6f6850b275d419658abf7df2dc4b20abff797cb97d3028,27,17,0,25569,PaaS-vmess-trojan-argo-main,verified-safe+crc+byte-equal
reverse-tls,Reverse_tls-main.zip,5cf1744084cc886f507b198f557eab334246998ffa908a28df0c3ba0b5456b57,6,5,0,287102,Reverse_tls-main,verified-safe+crc+byte-equal
