wave,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
post-refactor-20c,Exclave-dev,.github/workflows/debug.yml,9664087f8ae81a7b38e8e22550734914b690ee4bb3547e8fb0525264da4716d4,1983,file,yaml,repository-administration,authoritative-source,PR137-M0022,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,.github/workflows/release.yml,015beba5c9b36624f5d1527daf6f9a93cf9d93f5292917610552cf9215e3fe25,3345,file,yaml,repository-administration,authoritative-source,PR137-M0022,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,.github/workflows/release_naive.yml,8ae1df39e30d2f65cdda4fc505e6342ac2ff6915e803014dee1e3c502be3537a,3942,file,yaml,repository-administration,authoritative-source,PR137-M0022,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,.github/workflows/release_shadowquic.yml,abaaece2a8a7820099f3f3d48df4af6189138d87e8c8c20fbf96a44b4623bafb,2487,file,yaml,repository-administration,authoritative-source,PR137-M0022,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,.gitignore,031df6faed85888b146e1351c3ea9a523a030d2ab58cb8bf06caeb83fc526e8c,224,file,n/a,implementation,authoritative-source,PR137-M0004,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,.gitmodules,a4bccd029aed8dca7cb67fa2e3097a1878b7160c2a827300a2f65c25a3ae8ade,299,file,n/a,implementation,authoritative-source,PR137-M0004,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,35149,file,n/a,governance,authoritative-source,PR137-M0003,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,README.md,473f24c94856a5b8d9c2f4b7d2202b7aa21c513726851bded7085e7059188571,5966,file,markdown,documentation,authoritative-source,PR137-M0002,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,app/.gitignore,5c3174b74edc6f2b9e0743594b8bd3c7f31e4f4405758cc9872b3fe1de1d28b4,6,file,n/a,ui-or-product,authoritative-source,PR137-M0033,new-wave recursive accountability; fine semantic links added separately where applicable
post-refactor-20c,Exclave-dev,app/build.gradle.kts,a604b399cd8784061d63b8dd78e861f04f7e42794d331005c6cce564462e7133,2063,file,n/a,ui-or-product,authoritative-source,PR137-M0033,new-wave recursive accountability; fine semantic links added separately where applicable
