path,change_type,baseline_sha256,current_sha256,baseline_type,current_type,reason
Makefile,modified,6a90a381ce5658d1c75d5d171d362cd1ce943d39339e4edf75cd969aae9a2ea6,c80696806fa29c959f34d642ac3d0ddd02e8450c63c78c3b1f1a59c247333929,file,file,225 verification/evidence targets wired into canonical repository workflow
governance/convergence/post-refactor-225-adoption-ledger.csv,added,,98a83785f39f0be7f9c865e5c1c4be0fb14845c550ee5e4f72064c1455298e31,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-all-history-module-audit.csv,added,,d0b9f65b42b0fac86bcfc1c336ce89d71e7ad7a1f6d4b00ce04efad370dab59f,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-all-history-second-order-audit.md,added,,2915fff56ba58aa0662fb1d2dc17de426ca5e273b179e6f1be52f1e7a385f508,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-all-history-summary.json,added,,6451bb22ef9194aa69661215b96b4e8a40d25c95422cfea8b61f75bef2230eb2,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-all-history-surface-audit.csv,added,,bb289ac3536803181b09c5874517df201d58e9359739087f7c6e872c6c9e6897,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-all-history-symbol-index.csv,added,,3136802e9b492e18e6790d54f09fb982e17d97f432660284f6ae50fa78978653,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-architecture.md,added,,24f32a6970da9091c8dc01a081d0b6b2a642b2b8ad56c7375a4a52948325b9ea,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-archive-accountability.csv,added,,cfc772dd9cd077cb583e6031d77667fd1ed9be59f908b7e95cd2056bcdeaa3a1,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-baseline-files.csv,added,,5c85dda449f03fe91f02d62790a9fd17e66ded71b2c9d93b7ca3dc165cacdeeb,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-directories.csv,added,,b113950776b5a0c8fa070ca85e907136ffe59aed96666b4557310edfa509914a,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-evidence-summary.json,added,,90aef9aba1f071e27c23ce992465eb4969cd76902958561b6de2e900f4b63300,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-omission-audit.md,added,,078d239be231d1ad964fa5f0486ba587223c82e803d33fcb260718944809fef9,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-operator-runbook.md,added,,a5562df767386a05cc99c236bc2c993b6583d5592e10d8449725315ed38cdcbe,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-peer-synthesis.md,added,,3ed0a8e4b969c2e0f49b807ce0720f6b2d64bda4b9f8df8643a645000a16a739,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-security-model.md,added,,0c6a01715d0148fd342ee00fecc416943a29c4a5ef3eda8b794ed289e4926fd5,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-state-machines.md,added,,45e68b276c758b8b78d5fb02c0d03ebf0e6994310942c6a44ba0ec4002f34496,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-supersession-map.csv,added,,1fedee5f28c2536c570f0d79a772da9dffe998b537d679652b948f2a8c7c4ba9,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-surface-accountability.csv,added,,b97803a96d74dad775f275c8959b1d2bc38c2d81c7ab29cb3ff2d942f9c17974,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-symbols.csv,added,,3b3f0a58b8bfc70ca98417125effcbe91f65abed6d66658d28e9d43b9d95f145,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-validation.md,added,,91bf03dbed2941e47b20d178ebae8877b8c918522969fe204fb91d7021a24595,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/convergence/post-refactor-225-wave24-tlsfragment-baseline.json,added,,ad7fabe744e890745022049b4344132ec7107602f600f6cfd8f3fac77ef86460,,file,"225 reproducible convergence evidence, all-history audit, validation, or source delta"
governance/topology/relocations.json,modified,75fb5450effd844b132b004b0eb8d344b024c20619a4b88f4da1f01f3ceb1ef5,ec3f75b07356cf94815689b4f542fe3a0f95bf7a1f3e0d023024b6a9765c3742,file,file,225 topology/context ownership reconciliation
scripts/checks/check_post_refactor_224_convergence.py,modified,f6ee3f7c16f859a6eb3de306d26056d51b44fba26d65872a33434df9f6521ee7,fa7df46c8a3ac8561c42a640f27c185f3a028d0d684df25cf2c01e9ccb0d009b,file,file,225 deterministic verification/evidence tooling
scripts/checks/check_post_refactor_225_convergence.py,added,,226d72b0dfc2cac26609aa5b16867186b9130ec1f992891da4070f20592d9e21,,file,225 deterministic verification/evidence tooling
scripts/checks/check_third_wave_runtime.py,modified,700129757e0b52debde22a3dc7088a8f15fa6c06be080bb0d50d45a5313a4cd8,568bd0af0aa5cdcd6cf6e976399fea7901885a7b53b7655a5645c533f84d5098,file,file,225 deterministic verification/evidence tooling
scripts/checks/repo_audit.py,modified,290fc8bc0245c2bee75a3770c9aef0294c881652d79e1c9f6e633c5298b9619e,2da3fc347c11ee5abb6be2d0c1cc80c8029a7c45b4503ebb5a23b563f9921768,file,file,225 deterministic verification/evidence tooling
scripts/generate/generate_post_refactor_225_all_history_audit.py,added,,63a962363ace98637f1eff401125a6c95d0b04c412c812585eb45475119667de,,file,225 deterministic verification/evidence tooling
scripts/generate/generate_post_refactor_225_delta.py,added,,51f3b5034bb377888cdabd38207e84fee80640e54cf92b0c11cb15df46c199e8,,file,225 deterministic verification/evidence tooling
scripts/generate/generate_post_refactor_225_evidence.py,added,,9373fbb532d4689cf694a8ee008dc620eccaa13cccb56b4d69dbc198df32366a,,file,225 deterministic verification/evidence tooling
src/apps/daemon/cmd/proxy.go,modified,13cb174d8775429d0b89dd83d397728e54a2a0ff6f028d48ad73ab6a4d8906fb,37938beac9dd6eb02639cfe143b95adc5673fa77169b19a0f6d12d8e3e0594de,file,file,225 successor modification accounted against immutable 224 baseline
src/apps/daemon/internal/adapters/api/handlers_seventh_planners.go,modified,46b234b2a2a6c521a3ae04fdf27360d236f0c5c6bd0ed4c4c133d0ad94277b13,829bfd874852a6410374ee658cef68c4a6444ac95b24bca3b91eb55bce0b1b81,file,file,225 successor modification accounted against immutable 224 baseline
src/apps/daemon/internal/adapters/api/routes_system.go,modified,5fadd8f01a7832dc330b43a9853c47b0f4a516624dee77241144b1f3f26f7c1d,4404db638d6645e805a840b35ee34edc92c3f979860ef8dcd802640604c484fe,file,file,225 successor modification accounted against immutable 224 baseline
src/apps/daemon/internal/analysis/diagnostics/.context,modified,68a378d6534ae6932dd3353630c20f5e6552656878948aa1a67cc2726d7b203f,6456a965bcec79a973fbccec5c35d2755082153c4425188d007d9d951221a4ec,file,file,"225 donor convergence: bounded read-only policy/planning, SNI/TLS/incident/queue/WireGuard/workflow evidence, or focused tests"
src/apps/daemon/internal/analysis/diagnostics/artifact_admission_plan.go,added,,e16e8d2583d607c39f881ac5f3e420f26059272f106727ba018f5874ac5c0fe2,,file,"225 donor convergence: bounded read-only policy/planning, SNI/TLS/incident/queue/WireGuard/workflow evidence, or focused tests"
src/apps/daemon/internal/analysis/diagnostics/cdn_candidates.go,added,,8f8a8a453763a0cdc0347c65e60746adc3d92df0a909708bafb570034147c724,,file,"225 donor convergence: bounded read-only policy/planning, SNI/TLS/incident/queue/WireGuard/workflow evidence, or focused tests"
src/apps/daemon/internal/analysis/diagnostics/cdn_discovery.go,modified,ff428fb917e6bf544c799cfda840d18289ab057ce809e738dbded07eceebe725,bed93ae15343597f00f1da9f854465cfdb07f32bf99c44944164399d303e3461,file,file,"225 donor convergence: bounded read-only policy/planning, SNI/TLS/incident/queue/WireGuard/workflow evidence, or focused tests"
