path,change_type,baseline_sha256,current_sha256,reason
Makefile,modified,723f9b5b489a2d67af60e2a30fe5a5e5767c70be492de6f9883d8f2d31061cb7,6ca299b800f46056b1d1cbda4de030578ed919a865466c64f8040724455be07e,wire post-refactor-222 verification into repository quality gates
docs/convergence/second-order-pass-221.md,modified,ea655dc669c3e9c45ecd6334556ac76d284fe4e50bb8b3aac84f73edf971a772,460e2e1dda154aed58900f2d9755bd4e744a40cea8859da2c049fa974a1a8667,post-refactor-222 target-native convergence change
governance/convergence/post-refactor-220-target-delta.csv,modified,0c1c62bc4aa1740fe6daec3388a8aa10394a06a2a050ec0cf4cae019e32fc72a,297b3b73d0e3eb84af1463f7a02e13a5ee45d14764eee17ec49b62ab4ff2d323,repair predecessor/successor historical delta accountability for five explicit post-refactor-221 additions
governance/convergence/post-refactor-222-adoption-ledger.csv,added,n/a,ff44a33440879be3a99fb7809ea62e037104c62f332ba895b5ab7896f580a5f3,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-architecture.md,added,n/a,2fd7e1257f8012395a7cf119717a5b9c8e6c8d4b624a69d2014f81107d4a7a37,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-archive-accountability.csv,added,n/a,1bcac5d1a107c7a6e5cca1fe4b8077651eb2bad06f32c44798b0588eb40fca3c,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-baseline-files.csv,added,n/a,4b93090ffcb88ade3b3607808d07842748c74d53b142e137568449d796fb5715,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-cross-wave-accountability.csv,added,n/a,f145acc149b8b100d0a3d286bd47e97c8b4ef83116da7ede18ee1c29a5c43a59,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-final-report.md,added,n/a,f35f29ee375fbf74ffcafc8c38f292bf62f9897e90e7047ae3a9591c6c838178,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-omission-audit.md,added,n/a,415b87df38177a0ccc0fac5f25fbda1edbb63d65ef86cf6c41bd64278cf437b8,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-operator-runbook.md,added,n/a,f5993974131cf12f22b5d1dc764c964897b946f5fb0dab9e2c7212f8a9c06146,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-peer-synthesis.md,added,n/a,8891847ca3ec5bf19299294f39e59a7d0b001d995fb400fa5ede1d376257222f,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
governance/convergence/post-refactor-222-security-model.md,added,n/a,110d974f9e200c7925c94c73dc1b296617aba403f9b6cf5012fd4c8f94d26ea9,"post-refactor-222 provenance, accountability, architecture, security, omission, validation or final-release evidence"
