wave,record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
post-refactor-4d,PR141-M0001,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,analysis_options.yaml,e0ea485cfdbc3e12b93efb8679a5ea73ebfe20ea4ca0c473dc594fc2fb274ed5,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0002,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/gradle.properties,20c411ebbe5162992d16d170656ee19a9ffe0571e6c4d4c5a5314bb06da0a672,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0003,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/gradle,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/gradle/wrapper/gradle-wrapper.properties,297c9e63b6fa6e7e8b221900fa1787c1a0e38869d8957da66389fd0f6b00f78e,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0004,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: local_packages/flutter_v2ray_client,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,local_packages/flutter_v2ray_client/analysis_options.yaml,73da932872d37b51c833e2015d854c77b5664f4503373547cbb7ba280ca61fa1,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0005,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,CHANGELOG.md,bce713fdbf70d920e2e063b518ddc58ef8722290aea93651aaa4d3a1bddd9868,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0006,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: local_packages/flutter_v2ray_client,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,local_packages/flutter_v2ray_client/README.md,183393aa733f2a5b1492c4259caf3e13057bf0243a3d849bca18b5b7fac3b345,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0007,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android/build,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/build/reports/problems/problems-report.html,8f96b1978de75b65641a192e4c45a6f39cde5ffa3536f031530d1c698f3ade66,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0008,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,LICENSE,9fd7f7679534d106247fe7114fef26d1a6b8475737372e77abeab806868306d4,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0009,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: @root,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,.gitignore,b6962e40e00c5b400ff0b02a7fa11f9f32757cabf292199802adbaaf26abd84d,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
post-refactor-4d,PR141-M0010,n/a,CG-PR141-ACCOUNT-ZedSecure-main,ZedSecure-main,surface accountability,complete donor subtree accountability: android,recursively bounded donor subtree,evidence/accountability,accountability bundle; independent semantic values are split into fine records,android/.gitignore,b027c9de1011765c015e5819bf857c0d75bfcd0886fb01721c091159012e50f1,n/a,evidence classification,custom:subtree-accountability,reference-only,"All surfaces in this bounded group were recursively inventoried and reviewed across code, operations, product, deployment, tests, generated/vendor, documentation and negative evidence. This record is accountability, not semantic adoption.",n/a,n/a,every donor surface remains hash-accounted and eligible for narrower semantic extraction,module accountability cannot substitute for a fine semantic decision,n/a,n/a,n/a,GPL-3.0 with additional terms; bundled components separately licensed,low,n/a,high,reviewed
