path,change_type,eighth_order_sha256,current_sha256,ninth_order_record_ids,accountability_class,reason,verification_node
Makefile,modified,ca7017bc9109d07dd7aa452da85a06544d68f4051a0c9c6173f9029b3543d85c,f8e9f71796e12dfb1c3b85e9b0deb36c43b5add36e780eec65e1fb5e26931bff,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,canonical-verification,Wire ninth-order convergence into canonical verify-repo.,scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-adoption-ledger.csv,added,n/a,09231444c5044bd83a1dadd9b1364eb3a0e1b414c6b49a7170c531dd8d7205b8,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-baseline-files.csv,added,n/a,a1315b8a4310c9f02bc3a3338a3021a19aa61a94ecb4a2515a483e1b78e329d5,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-directories.csv,added,n/a,0f3a37f0c44251aa351ea30bca6f295e26da9edd323701afa72338016ce977b6,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-donors.csv,added,n/a,81bc105f0b47b86f11f78e172a80f451f5c058d466954fddd98af78d3f4842cc,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-license-map.csv,added,n/a,b9b520e881e4e7ff29e94039481c574f5dedfd054c79ee2cf9b0241f6093a42f,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-modules.csv,added,n/a,de783279ad3fd9fb8b9d4d914df28177afee9cf64d2ba87e70aec43d2778e30c,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-omission-audit.md,added,n/a,b1c2963b90ecb45664c70016b79e7db43149bb6de38c47859167c4116f2e09ea,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-peer-synthesis.md,added,n/a,695c979c8aaf0443236e286969f3e4bc290eed17276777cb39a3bccf7654a941,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-source-identity.md,added,n/a,913bbae2c56058124ab44129598ac5edbbc2835cd20e5307ff472be3d5d577c5,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-supersession-map.csv,added,n/a,f990d923c60343116b23a6b948b7f7730d3beca2d6e6a0a641aeb1c9d9b5b842,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-surfaces.csv,added,n/a,8ef968e019fe80fc2c6170e723eeb99ea3f90f323d61903e25463f6ed621dc68,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-symbols.csv,added,n/a,054563e572bc4938201b11c4b47ea28cf8ad6424fbabdc4de09cb5f88b0d5e8d,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-target-repairs.csv,added,n/a,a0eda21b70dd083b096365d13fc48ed268a813ea73a13057174d142afe2b7842,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/convergence/ninth-order-validation.md,added,n/a,283a07a778d463df5a273a65ee4e8b5691706c9f8f46ce10abd0a254996a4b06,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-evidence,"Durable ninth-order source identity, surface/symbol/module accountability, decisions and validation evidence.",scripts/checks/check_ninth_order_convergence.py#main
governance/topology/relocations.json,modified,b4984690e17401b60f5535caa6b4b129b5f62c8e6e1dc3396f041ce4c15ecd75,945b56ed29cd552500b0c148a2dc518dea3cb51345014999a915ccf5ded5242a,E9-0006;E9-0007,topology-governance,Register reviewed speedtest transform and traffic-shaper retirement without weakening baseline accounting.,scripts/checks/verify_repository_topology.py#main
scripts/checks/check_eighth_order_convergence.py,modified,7391e3ea1a30fbfb8a07bf65f64c3af74fcff6202138d35001b8690d1c0f504c,d665e38d89d6d6de64d3ccd11b4f897ea78caec13469729d052bc249ec07c3dd,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,historical-layering,Freeze eighth-order delivered state against the ninth-order successor baseline.,scripts/checks/check_eighth_order_convergence.py#main
scripts/checks/check_ninth_order_convergence.py,added,n/a,dca1bba501aba8cd0645cd699880d82a2d87be30e5feef25849a915105379a7b,E9-0001;E9-0004;E9-0006;E9-0007;E9-0010;E9-0011;E9-0012;E9-0013,convergence-governance,"Ninth-order denominator, provenance, target-delta and invariant gate.",scripts/checks/check_ninth_order_convergence.py#main
src/apps/daemon/internal/adapters/api/handlers_speedtest.go,modified,b41e4543ad723d37c966c91868895801351b3ffbf16958836f0e758adf317414,6c43e96e4a0c995aed4ce3ef2913e3c6b45d6842d946b984edd8fb9a08165c49,E9-0007;E9-0008,network-diagnostics,Bounded latency/loss/jitter/stability diagnostics and response/redirect hardening.,src/apps/daemon/internal/adapters/api/speedtest_runner_test.go#TestRunSpeedtestRejectsOriginThatIgnoresDownloadBudget
src/apps/daemon/internal/adapters/api/handlers_subscription_profiles.go,modified,56df519724c40c50881c5d8a19c29614116d76b5200f59a79bc76e78bfe6a414,7a8e1b6f09d258a37452b2fc5d05eea9b30ac5c7c056d4ed36b2eada9bc9ddc4,E9-0010;E9-0011;E9-0012;E9-0013,profile-entitlement,Advisory quota/expiry projection and operator contract/UI evidence.,src/apps/daemon/internal/integrations/sub/profile_entitlement_test.go#TestEvaluateProfileEntitlementSaturatesMalformedProviderCounters
src/apps/daemon/internal/adapters/api/handlers_warp_geosite.go,modified,15716f8f01fd3a584f934b27e2805f399dd77fd9b010411fea6e7a031c342bc5,68b44d6c7e3a94db6385ae96cb08eb4f39a8446e24173c85ca2aeba7802e9b08,E9-0004;E9-0005,warp-resilience,"Bounded repeated WARP quality probes, shared corpus, handshake/noise/resource hardening.",src/apps/daemon/internal/runtime/warp/warp_scanner_test.go#TestValidateScanLimitsRejectsOperatorOversubscription
src/apps/daemon/internal/adapters/api/speedtest_metrics.go,added,n/a,9e2009a7b94ebd223ae3b131a032b2cec62f81a0eaf1311ba97a688be5853c6f,E9-0007;E9-0008,network-diagnostics,Bounded latency/loss/jitter/stability diagnostics and response/redirect hardening.,src/apps/daemon/internal/adapters/api/speedtest_runner_test.go#TestRunSpeedtestRejectsOriginThatIgnoresDownloadBudget
