donor,directory,tree_sha256,direct_files,direct_dirs,descendant_files,descendant_symlinks
Hiddify-Manager-dev,.,17d327f5beedb9802fe431ecca8f0ecb53849e8388d947980a302450cb305beb,29,13,404,0
Hiddify-Manager-dev,.github,e7b616fe7fe5d74ed97b2661dd85f571ff3f6ab12cf842555d563c4dfeb410dc,3,2,10,0
Hiddify-Manager-dev,.github/ISSUE_TEMPLATE,7047c89ac2fc421225d449fcc5cf6dc8e695928756af58f288f41ffd8f27bbbf,3,0,3,0
Hiddify-Manager-dev,.github/workflows,bc491cba74ce248bbf7fba4b453e81b2d4a2be8b54d8d63e9a5b1811287b3707,4,0,4,0
Hiddify-Manager-dev,.vscode,19e14e1502439d4c9fc0b0f970dc36fc7820667f1a84c6055a46b10408126866,3,0,3,0
Hiddify-Manager-dev,acme.sh,ec0c4fb17f63e8578bd2ef24b36209865177cb5ad4b2f5a813f614dc873006dc,6,0,6,0
Hiddify-Manager-dev,btn-deploy,283244d95cc0ab6b10afae0e13f40fb12ec1c0d951ae70f102ef862a18b23bdf,0,1,17,0
Hiddify-Manager-dev,btn-deploy/oracle,283244d95cc0ab6b10afae0e13f40fb12ec1c0d951ae70f102ef862a18b23bdf,17,0,17,0
Hiddify-Manager-dev,common,810105ce47b72d724c5e0bed10b350f6e62e4106f1961c07aa302371e740256a,23,1,24,0
Hiddify-Manager-dev,common/__pycache__,7e1495342e6951e45cf4b22cb2cbb36585a0ff528e6f6c2612c40fa956ef2083,1,0,1,0
Hiddify-Manager-dev,docs,21e8e60bd1ccc790d283e0c532816425567298b725ae6081f31d32f3f3f91114,5,0,5,0
Hiddify-Manager-dev,haproxy,a83493154dbb70f894a1c3af2b2b8b01e1e2a0e47ab291557203589349517340,4,4,21,0
Hiddify-Manager-dev,haproxy/backends,49e03b3990cbb22060c6364d47b2e3c38a34446c580086e1900a403d47b77998,2,0,2,0
Hiddify-Manager-dev,haproxy/fronts,4cfce79bf956d2b92bbb7cd52d85e70a37b79b766ae61956967ffdb0faca5efa,5,0,5,0
Hiddify-Manager-dev,haproxy/iplists,eea476c622f8b8777b9afcf01be0fe5fc0f8c9664c5839fcd0a18b1f11ed0a25,3,0,3,0
Hiddify-Manager-dev,haproxy/maps,4c43eece1445c69aae5f93cd66fbfb0c9e0ef2adaf9753912d9603807d9322c4,7,0,7,0
Hiddify-Manager-dev,hiddify-panel,7b2664ee8bf690b88011ca7ea65d961e24d5fbe052b90a712f8515dff0d89d60,11,0,11,0
Hiddify-Manager-dev,nginx,9525a689f96b09a15b6f5feeabf7e22ebabbf8228d8b5206362982f08887e26d,9,2,24,0
Hiddify-Manager-dev,nginx/conf.d,2b32427a24b7bca063b5d554213dfcdcc87d484eb0e4b8c03af73f070c1fcd4f,3,0,3,0
Hiddify-Manager-dev,nginx/parts,4c9139bc90e5b95b172b033384de3f43cfd294864d463fc80366f1d1591c3d70,12,0,12,0
Hiddify-Manager-dev,operations,e143815c897256564a45c713d0c1699ae1017f5e1257eeae5cfca85ba988f474,0,1,6,0
Hiddify-Manager-dev,operations/lxd,e143815c897256564a45c713d0c1699ae1017f5e1257eeae5cfca85ba988f474,3,1,6,0
Hiddify-Manager-dev,operations/lxd/utils,a675ad774694c87311ecc72e147cd85d001c9d64f3c28ce1d899801f9ef87dab,3,0,3,0
Hiddify-Manager-dev,other,3d19d8ac00bf06a94716bf946311f853f403ed93ca63877bbc32f92da2319c35,0,13,168,0
Hiddify-Manager-dev,other/deprecated,9d8d8ccdb4e0a88d17ed0cfa55c42c7bde7b3a23b917916e20564e4eb5881a4a,2,12,56,0
Hiddify-Manager-dev,other/deprecated/caddy,96bb4f02e31054daeb727e08f805b3bace8efa25360c5c471bcfaf2366579437,4,0,4,0
Hiddify-Manager-dev,other/deprecated/certbot,e6e00344115b8a7127870135dd3c910a10898b4b3af26ee78aaed9643a8ab2a0,2,0,2,0
Hiddify-Manager-dev,other/deprecated/clash,493dc3e04c2fc70d7f8459147d378fd2405e4a1ad912840c0520834c4f2de8b1,9,1,14,0
Hiddify-Manager-dev,other/deprecated/clash-server,6de6ad322625f31c31b4e70dbce2501e82ef2cb35d6a0177c196de945b6dead6,4,1,5,0
Hiddify-Manager-dev,other/deprecated/clash-server/data,c5747efe20db2f491e912f83a140b7ddfd094fada1a4309b4206c2c01e97cb64,1,0,1,0
Hiddify-Manager-dev,other/deprecated/clash/rules,013313cbc30a0292be363ecf821abb7f4b8a7b47b461a48bec05218e939d8d10,5,0,5,0
Hiddify-Manager-dev,other/deprecated/monitoring,8d66da0ceadfbc9881466a8a9a098191ba43bc4ad32aaada746a2a26439e5027,6,0,6,0
Hiddify-Manager-dev,other/deprecated/netdata,2de02f7b018b4b08fae528114d3efc6387b7beb8ddcdc2e5d0661e7cf932f438,4,0,4,0
Hiddify-Manager-dev,other/deprecated/nginx,f24fed27bd43b2db86417371ee765e74326d618390afec372b581749a184def1,1,0,1,0
Hiddify-Manager-dev,other/deprecated/shadowtls,955490e3480ddc8a01a773d34142cbb73ad8a16ed49e5436c7c302b32f55585d,4,0,4,0
Hiddify-Manager-dev,other/deprecated/sniproxy,83fc5394c685411a3d1bbffcbd48a8d89c9880f50fdbe7ea6e7a5bbb0e433185,4,0,4,0
Hiddify-Manager-dev,other/deprecated/trojan-go,f58277cedbdccb16212b71de72ebdf6f128c9e41279c6d94c5b4af0243b5e222,4,0,4,0
Hiddify-Manager-dev,other/deprecated/vmess,3f8c6f713a258cfd7d4902712969571d4851f03bb37179b76239d20be85f8c76,4,0,4,0
Hiddify-Manager-dev,other/deprecated/xray,421ba4153e1add701f2d4519d73a564b2d2e5bc535cf053a60196ff68f44f176,2,0,2,0
Hiddify-Manager-dev,other/dnstt,f041b4e7c49733cde8d9f584513b497fd3cd4aa0292e90d607fbe9cacf6deb5a,4,1,5,0
Hiddify-Manager-dev,other/dnstt/dnstm_configs,92c06311a31d70a52d43d0a383deb766387f0252732cd748253e452d3a270900,1,0,1,0
Hiddify-Manager-dev,other/docker,e1a23f44312e1d9397ab81fe0854cb6dc48c5199174f20f689cf73d737d001db,2,0,2,0
Hiddify-Manager-dev,other/hiddify-cli,a633b88617c5da785f9c06f63167bcf474edf6b540a15d97d311d15c0834e198,5,0,5,0
Hiddify-Manager-dev,other/mysql,6a79568a292525508ac3320a64c48a3838c0b69815cafc7f28a9888818877885,1,0,1,0
Hiddify-Manager-dev,other/redis,52618171d561995b2fc44be82314cb2db3b9589f68ff08402712263a07b0d510,4,0,4,0
Hiddify-Manager-dev,other/speedtest,316185166777e024afd3d8b775719c8a6f7d522852d517c99495372e0cee6f29,7,1,37,0
Hiddify-Manager-dev,other/speedtest/assets,da164587241bfa8ed4152acd8d8dcf9a9e955e50d54644ac14d07dfbd4659234,0,4,30,0
Hiddify-Manager-dev,other/speedtest/assets/css,76e71e67312611b0dd8c141670089c3f9adfc5bebba4ff965a38e7741897606a,2,0,2,0
Hiddify-Manager-dev,other/speedtest/assets/fonts,05aec3562aa2d037db8b06a08e47bd0ca66272f3e23ead1e25fc65979362f953,10,0,10,0
Hiddify-Manager-dev,other/speedtest/assets/images,42fdb05495d34b02ea290dcdc9c90612a5a720676284d56f6538a5cc75d2c0c6,1,1,15,0
Hiddify-Manager-dev,other/speedtest/assets/images/icons,c8cc7aaa990ae08a4842dbb60876d7ee1355c4950c19ae60f9d3dbb2ff2490d2,14,0,14,0
Hiddify-Manager-dev,other/speedtest/assets/js,6c25926d700023f3c60ca5fbf5b163f9a6a8ff5048a6bb2b0073a4bd7e36ce6c,3,0,3,0
Hiddify-Manager-dev,other/ssfaketls,c5463cce6454a3c871e1c423075f90303bbc9d18ae192dee62feee8dbaa42163,4,0,4,0
Hiddify-Manager-dev,other/ssh,bb662d155a1427fa76fe0f1c20535723dcfe478120c247c56744b4b694a89b11,5,0,5,0
Hiddify-Manager-dev,other/telegram,38b69f98f8368145b2cdc57c0239a754aa7db6f6d66c48614713ed4dec967f11,3,5,23,0
Hiddify-Manager-dev,other/telegram/erlang,2f33c674f4392ee16113c6353f90ac62b25594b62105381df7821ab6f594232c,3,0,3,0
Hiddify-Manager-dev,other/telegram/orig,f6a0a39ea7ab6d9e2a34dd80f36c7c135272cd5bc52ee3d4b241c60d00b6b702,4,0,4,0
Hiddify-Manager-dev,other/telegram/python,d2fdf32d47f5b302f0a8da3cb430032b9841eea74d7631e160be7a58ab3a0154,4,0,4,0
Hiddify-Manager-dev,other/telegram/telemt,61802224c53ff59e2b38b4897a859e542810fbd86b32846fb2ef2ade872e111e,5,0,5,0
Hiddify-Manager-dev,other/telegram/tgo,d9dfe1d0b2609e05e86d5139e8ed00d0b57fadf218444af42654b39422e3249d,4,0,4,0
Hiddify-Manager-dev,other/v2ray,6b96f048f3966a12afd77036f3e5f0943cea965e7e3c5b3717490c01a718e511,3,0,3,0
Hiddify-Manager-dev,other/warp,7057d17a60ae85e2dd67422881644f5dccd55f3513f1b5e379ab51d2ab702b19,5,2,18,0
Hiddify-Manager-dev,other/warp/singbox,ecbc7b1a75a05748ecf7165b6e03b38200dbb596855cc2173a2e1142b908360e,7,0,7,0
Hiddify-Manager-dev,other/warp/wireguard,250c4cec623f66d86b4620671102a4549558e0cde2895788712e41e3f0c8a883,6,0,6,0
Hiddify-Manager-dev,other/wireguard,1ee923bf8bef569050bf422d890fa2f2cefee065b6d5f116f67bfca35ba1a425,5,0,5,0
Hiddify-Manager-dev,singbox,6bee01f2e3b2fbcbd7e4756dbbca079d2bac301ec3a76fe9a12398edac1ebbf1,5,2,48,0
