path,change_type,final_pass_sha256,current_sha256,accountability_class,repair_ids,semantic_record_ids,reason
Makefile,modified,274655b20af37175ca3bb565ee6358557d6c18d1a58a7b55b60f8cd47a9d5916,5b7c641070d7af1f5293885741239857cfda0213ef7dfb7c1be07a9728bf9d9a,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-adoption-ledger.csv,added,n/a,a0f6139c8cdcc80fcb77a4b7636c13e39e80fb65f5ba35441afd79a2ef055752,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-baseline-files.csv,added,n/a,5b75caebbcde90e07dd73a8fce4fe299dcf7c2fe983084f1ce7d56f52f5541ac,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-directories.csv,added,n/a,7f657643100e6ef67be63c563b2c11df0010976ea667a768b258664dd5f53cda,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-donors.csv,added,n/a,7a45c12335daff0d1d04c006fbb1829ff0251cb96741ff4ba2a69a1791060a1e,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-high-level-plane-audit.csv,added,n/a,73777c61c1ee909da0f5633e1bef8b69cfed0aa9bb71c0c5a2da583f3529a128,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-license-map.csv,added,n/a,817e2516add460dbce80409d170871125fbb5b86df9082bb2480e3f07056ad52,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-modules.csv,added,n/a,395b297567e71236bc310d3c44beb14889ddb5396ea3d7745ee8274ad6cd6f28,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-omission-audit.md,added,n/a,da958131c8c53d576bf24c9921240a1e33d307ba4201003aab3e4fbf963ad325,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-operator-runbook.md,added,n/a,eb3db11b76dd1a098aa5a834e230c68123bf3fd804d5b0b4b12a3ed9392f0189,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-peer-synthesis.md,added,n/a,ed08aa602a3d315ae0f81209830421d8e83275485c0965ab3273d8eaeaa6c9f7,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-supersession-map.csv,added,n/a,eaf3d587e7be4812cf3015bdc21face24d6a6db6660af7db613dac8ac7944882,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-surfaces.csv,added,n/a,6cb5db379210bb2998db3a5369d726085bf29f26cb182edb92b903135544d5d3,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-symbols.csv,added,n/a,e7204282466779dd4f69eddd4a1c25196e2477f7c06999416dc530cd593677f8,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-target-repairs.csv,added,n/a,310665f9338585cc0dec048139362a9135a4cbd799165b36ff4b89a2bfdac84c,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/convergence/ultimate-pass-validation.md,added,n/a,af659a4d7c20014f764dd42fd781114e24ad7c14ffd11d1ffaa4205bd5131d24,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
governance/topology/relocations.json,modified,1f906310e4399f487495c19b7d086876db8db4fa6bc420f8cb591e915a7b9e4d,80f4b6fccbe9f08cb73cc8ad5dd1932c5b6719c6735d549b7b7334ada888d9ee,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
scripts/checks/check_final_convergence.py,modified,283baa020953efabf1d1eee99a362ef32cabfd4561f9841257a8b5ced433fa90,2f20352c949ce7c1ca1edd017829f9b66cf2f49ba40d122d743b0fb8093c12da,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
scripts/checks/check_sixth_order_convergence.py,modified,74b70498bf3f5532f78ac2baeaffd098ff481e142bad413442c14d2a16f5f0de,23371248bd8fbe3c4464c8aa4bfd73828b228180ebcf8cd2246e2f3c60127c53,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
scripts/checks/check_ultimate_convergence.py,added,n/a,229aec41de4dbe495e7fc7b4f88e72bd3b20f2dd2b74919b50abf079eac728b3,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/adapters/api/handlers_system_engines.go,modified,4786d20b93aeacf8ee687434103b257e1ddf1574012ba47af4b9395e508b720c,66b9cbc5899c304d955f21180c4bedbdf27a6fb89ce1253cd502de1724029da7,semantic-repair,U-R004,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/adapters/api/handlers_tor_ops.go,modified,d48aa32d9293a21ef07720772c7b47d9af5dd979b23aedce44ea0dd3c4c77692,7d154e321f352cf7d5d61498c259f4d7131f4251c1c34ccb369ea3566e436ce0,semantic-repair,U-R010,U-S006;U-S017,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/adapters/api/routes_system.go,modified,5a6f54a37e246254dd29ee59aa5a5fccd81e788da54f5eb96f93283dd6057d78,669f9377dd7abe72cf05ba42fc71451228e459530ae2fc25c45663e494c7dc80,semantic-repair,U-R010,U-S012,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/analysis/diagnostics/tor_exit_check.go,added,n/a,3a77c1444c7112f78bb284c99bf58e21f818159f3416a098e310c8a1d3b911e6,semantic-repair,U-R010,U-S006,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/analysis/diagnostics/tor_exit_check_test.go,added,n/a,69103c01618799cbf5b140ea2677467ccb09d924b95c2aa66ecf169427e7f5ed,governance/evidence,n/a,U-GOV,"ultimate convergence governance, historical layering, documentation or verification evidence"
src/apps/daemon/internal/analysis/scanner/probe_pipeline_utils.go,modified,15c0f672e543dc1bb182588f2cc221e9db73984fbeb013509dc61369992af4a3,eda7cfb34d47c892ccb7532bab7786a4103834db3a460b10c957e80f87a57dce,semantic-repair,U-R012,U-S008,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/analysis/scanner/tls_peer_info_test.go,added,n/a,8653aa0c26439c59c39a50d43568f31d37cee1dd2521c359231054ddd1f35877,semantic-repair,U-R012,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/networking/dns/resolver.go,modified,baa05e408aa14e0194164931ffdfd85717432ec9f6375d642733d0dc9e7b1b57,117403c93f10a96c797f7b40e5a3b3332c908bfbe768c42f2a9a12281866a1c2,semantic-repair,U-R008;U-R009;U-R013,U-S005,current +20 convergence implementation/evidence; see linked repairs/semantics
src/apps/daemon/internal/networking/dns/resolver_dot_test.go,added,n/a,375ccf70bf7863d27617f2334157306f0392902dc945ed576b9a8816b654b441,semantic-repair,U-R008;U-R009,U-GOV,current +20 convergence implementation/evidence; see linked repairs/semantics
