donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
nthlink-os-windows-main,nthLink.Wpf/Model/BypassSetProvider.cs,hard-coded application bypass defaults,superseded,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go,Application names are mutable host policy and must not silently become default bypass authority.,LumiNet requires explicit caller-supplied split-tunnel intent instead of donor hard-coded application names
nthlink-os-windows-main,nthLink.Wpf/Application/Services/ConnectionService.cs,delayed redirect after successful connection,rejected,governance/convergence/post-refactor-231-security-model.md,Automatic post-connect browser navigation is not necessary for tunnel correctness and should not inherit remote redirect authority.,successful tunnel establishment never grants arbitrary browser-navigation authority
stegotorus-master,src/steg/schemes.h,scheme vocabulary,adapted,src/apps/daemon/internal/analysis/diagnostics/stego_scheme_plan.go,The donor scheme vocabulary becomes an explicit admitted set in a read-only capacity planner.,donor runtime or authority is not imported implicitly
stegotorus-master,src/steg/schemes.cc,enabled/usable scheme distinction and feedback,adapted,src/apps/daemon/internal/analysis/diagnostics/stego_scheme_plan.go,"Eligibility separates enablement, usability and recent-failure evidence before deterministic ranking.",donor runtime or authority is not imported implicitly
stegotorus-master,src/steg/http.cc,small-payload URI/cookie preferences and cover capacity,adapted,src/apps/daemon/internal/analysis/diagnostics/stego_scheme_plan.go,Small payload thresholds and capacity checks are preserved without loading or modifying cover assets.,donor runtime or authority is not imported implicitly
stegotorus-master,src/steg/schemes.cc,randomized cover selection,superseded,src/apps/daemon/internal/analysis/diagnostics/stego_scheme_plan.go,Random donor coin toss is replaced by deterministic keyed tie-breaking so planning is reproducible.,random choice cannot become hidden policy authority
stegotorus-master,src/steg/http.cc,cover embedding and network transport runtime,superseded,src/apps/daemon/internal/analysis/diagnostics/stego_scheme_plan.go,Existing LumiNet transport ownership remains authoritative; planner never embeds data or transmits traffic.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,singleton transport controller,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,One-controller lifecycle ownership is made explicit in the PT planner.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,explicit writable state-directory admission,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Transport readiness requires caller evidence that state storage is configured and writable.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,safe logging versus unsafe address logging,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Unsafe logging remains explicit and warning-bearing; it is never enabled implicitly.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,ephemeral loopback listener discovery,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Listening/connected evidence is accepted only after a nonzero local listener port is reported.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,Snowflake/DNSTT outbound-proxy restriction,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Unsupported outbound proxy inheritance fails closed in planning.,donor runtime or authority is not imported implicitly
IPtProxy-master,IPtProxy.go/controller.go,peer/front/ICE configuration surface,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Peer count and caller-supplied front/ICE counts are explicitly bounded before live runtime selection.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_protocol.cc,Naive protocol and listener/upstream scheme model,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,Existing Naive owner gains an explicit compatibility planner rather than a second runtime.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_padding_socket.cc,first-eight-frame padding behavior,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,The donor first-eight padded reads/writes rule is retained as an explicit policy constant.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_padding_framer.cc,3-byte frame header and payload/padding bounds,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,"Framing bounds are represented exactly: 3-byte header, 255 padding bytes, 65535 payload bytes.",donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_padding_socket.cc,padding negotiation and first-CONNECT Fast Open suppression,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,Fast Open is suppressed on the first CONNECT while padding capability is unknown.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_config.cc,SOCKS authentication/chaining and QUIC ordering constraints,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,Unrepresentable SOCKS auth/multi-hop and QUIC-after-TCP chains fail closed.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_config.cc,resolver range and platform restrictions,adapted,src/apps/daemon/internal/analysis/diagnostics/naive_proxy_policy_plan.go,Linux-only redir and IPv4-only resolver-range constraints are made explicit.,donor runtime or authority is not imported implicitly
naiveproxy-master,src/net/tools/naive/naive_protocol.cc,dedicated Naive implementation module,superseded,src/apps/daemon/internal/runtime/proxy/naive_auth.go,LumiNet already has a Naive outbound owner; donor runtime is not embedded or forked.,donor runtime or authority is not imported implicitly
orbot-android-master,app/src/main/java/org/torproject/android/service/circumvention/Transport.kt,transport vocabulary and singleton controller,adapted,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Orbot PT transport vocabulary reinforces the bounded PT lifecycle planner without importing Android runtime ownership.,donor runtime or authority is not imported implicitly
orbot-android-master,app/src/main/java/org/torproject/android/service/circumvention/SmartConnect.kt,direct-to-Snowflake-to-custom/obfs4 smart-connect fallback,adapted,src/apps/daemon/internal/analysis/diagnostics/circumvention_fallback_plan.go,The fallback chain is reimplemented as a bounded read-only decision state machine.,donor runtime or authority is not imported implicitly
orbot-android-master,app/src/main/java/org/torproject/android/service/circumvention/SmartConnect.kt,progress extends timeout,adapted,src/apps/daemon/internal/analysis/diagnostics/circumvention_fallback_plan.go,Fresh bootstrap progress resets the attempt deadline instead of consuming a fallback transition.,donor runtime or authority is not imported implicitly
orbot-android-master,app/src/main/java/org/torproject/android/service/circumvention/Transport.kt,stale SQS rendezvous path and embedded credentials,rejected,src/apps/daemon/internal/analysis/diagnostics/pluggable_transport_plan.go,Disabled/stale rendezvous credentials are never imported into target presets or source.,stale donor credentials never become live configuration or persisted secrets
orbot-android-master,app/src/main/java/org/torproject/android/service/circumvention/AutoConf.kt,automatic circumvention configuration,rejected,src/apps/daemon/internal/analysis/diagnostics/circumvention_fallback_plan.go,Remote auto-configuration authority is not added; caller evidence feeds local planners instead.,donor runtime or authority is not imported implicitly
orbot-android-master,app/src/main/java/org/torproject/android/service/vpn/OrbotVpnManager.java,per-application VPN routing,superseded,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go,Existing explicit split-tunnel intent remains the only routing policy owner.,donor runtime or authority is not imported implicitly
