record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR226-R001,n/a,CG226-shadowsocks-crypto,shadowsocks-crypto,repository-accountability,shadowsocks-crypto complete repository accountability,repository,evidence corpus,context-dependent,.github/workflows/build-and-test.yml,3baa331bc947d3120b2d7ac5fb06a311267e36bba9d0144383adee75dc0fe48c,n/a,exhaustive review,one-to-many,reference-only,Every archive surface is hash-accounted; independent high-signal modules and files receive child records.,convergence evidence,n/a,all donor files/directories/definitions remain traceable,repository accountability alone is never implementation evidence,n/a,governance/convergence/post-refactor-226-surface-accountability.csv,none,provenance retained; no legal conclusion encoded in technical evidence,low,n/a,high,verified
PR226-M002,PR226-R001,CG226-shadowsocks-ss2022-admission-and-runtime-ownership,shadowsocks-crypto,@root,@root semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,Cargo.toml,9b4b321e6fb26ffba17481e6a01ff6ecb93488dce07d2e1405353957c2ae99f9,n/a,oracle extraction + authority consolidation,many-to-one,hardened,Crypto/framing/runtime material is retained as an oracle; target-native admission is hardened while zero-consumer duplicate runtime facades are retired. Behavioral evidence: src/apps/daemon/internal/networking/proxyconfig/parser_contract_test.go#TestShadowsocks2022KeyAdmission,Shadowsocks/SS2022 admission and runtime ownership,src/apps/daemon/internal/networking/proxyconfig/parser_ss.go#validateShadowsocks2022Key;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound,SS2022 key components have exact method-specific decoded lengths and the external core-manager remains the sole runtime owner,no duplicate Go/Rust Shadowsocks runtime or malformed/unknown 2022 key can gain execution authority,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M002,Profiles/Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R001,high,verified
PR226-M003,PR226-R001,CG226-shadowsocks-ss2022-admission-and-runtime-ownership,shadowsocks-crypto,src,src semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,src/kind.rs,d2c4732f6222617f6f07f06389c4c55d3f62b465cb5bb885f8b385b0b861824d,n/a,oracle extraction + authority consolidation,many-to-one,hardened,Crypto/framing/runtime material is retained as an oracle; target-native admission is hardened while zero-consumer duplicate runtime facades are retired. Behavioral evidence: src/apps/daemon/internal/networking/proxyconfig/parser_contract_test.go#TestShadowsocks2022KeyAdmission,Shadowsocks/SS2022 admission and runtime ownership,src/apps/daemon/internal/networking/proxyconfig/parser_ss.go#validateShadowsocks2022Key;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound,SS2022 key components have exact method-specific decoded lengths and the external core-manager remains the sole runtime owner,no duplicate Go/Rust Shadowsocks runtime or malformed/unknown 2022 key can gain execution authority,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M003,Profiles/Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R001,high,verified
PR226-R004,n/a,CG226-shadowsocksr,shadowsocksr,repository-accountability,ShadowsocksR complete repository accountability,repository,evidence corpus,context-dependent,.gitignore,57078847e4f4ecdde2c8b6b21a7e5343583269ad7e615a1252c1feea3d660e1c,n/a,exhaustive review,one-to-many,reference-only,Every archive surface is hash-accounted; independent high-signal modules and files receive child records.,convergence evidence,n/a,all donor files/directories/definitions remain traceable,repository accountability alone is never implementation evidence,n/a,governance/convergence/post-refactor-226-surface-accountability.csv,none,provenance retained; no legal conclusion encoded in technical evidence,low,n/a,high,verified
PR226-M005,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,@root,@root semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,go.mod,3b88114f4fe1fbc32ce5c7219444e1c2542b70ea931f6ad2234e280a296584e6,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M005,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
PR226-M006,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,obfs,obfs semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,obfs/base.go,ca34319045fe54c87df1f109e5c9eebb3ef63abb873f42f58b3afb971c0659e7,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M006,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
PR226-M007,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,protocol,protocol semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,protocol/auth_aes128_md5.go,e9b21c03bac6fee0a9e4a154df6113e3f9ae75363d5be01866f2c4df57d08f0b,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M007,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
PR226-M008,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,ssr,ssr semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,ssr/adler32.go,934a3c159e374d5c0cb5b48cab0f1105b392cf7f69dde8e45c87141e30559493,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M008,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
PR226-M009,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,streamCipher,streamCipher semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,streamCipher/encrypt.go,017a52597aada9cc28f21edb732a56ecb10243d4ec33d120bdd3edf5ac83bccb,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M009,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
PR226-M010,PR226-R004,CG226-fail-closed-proxy-protocol-dispatch,shadowsocksr,tools,tools semantics,module/path cluster,mechanism + tests + operational evidence,independently reviewable module cluster,tools/encrypt.go,7ff61055616d0cde75d3da405da1ec74e18911981d65e787e82fd1ad05eadb8d,n/a,negative-to-guardrail,negative-to-guardrail,guardrail-derived,SSR protocol/obfs material is compatibility evidence; unsupported execution fails closed instead of silently changing protocol. Behavioral evidence: src/apps/daemon/internal/runtime/proxy/core_manager_test.go#TestCoreManager_UnsupportedProtocolFailsClosed,fail-closed proxy protocol dispatch,src/apps/daemon/internal/runtime/proxy/core_manager.go#buildSingBoxOutbound;src/apps/daemon/internal/runtime/proxy/core_manager.go#buildXrayOutbound,protocol selection is explicit,SSR or unknown protocols never fall through to SOCKS/HTTP or another executable protocol,scripts/checks/check_post_refactor_226_convergence.py#semantic-PR226-M010,Connections,target-native bounded hardening/planning only; existing write/runtime owners remain authoritative,provenance retained; no legal conclusion encoded in technical evidence,high,PR226-R004,high,verified
