donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
LEGION2-main,postcss.config.ts,40cbf906a2d8eeea1fff4a3fa42685339f54eb5516618e7bcf89dc121972af18,90,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0017,semantic_tags=subscription_config
LEGION2-main,README.md,b27d0d06c587d38baad43d162fe135923b00fa4a8136d6fddab711a800a8cf9f,16176,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,tsconfig.json,f3e5b8b1d1f6a1302377769f3406ed9ea77345270b23916de030878638dd88fd,703,file,Config,implementation,authoritative,PR160-M001;PR160-C0017,semantic_tags=subscription_config
LEGION2-main,tailwind.config.ts,3dd3712212acbc67849a13a9f1401527495e09a1a12e1c417fac6b4ecf1fe6d4,181,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0017,semantic_tags=subscription_config
LEGION2-main,index.html,0fd2687a01c97ffdf5365686e58195c51a538222165728e3915a8fa97f0271b1,482,file,Web,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,tauri.ts,9dd0a9545eacf9b6c7d4b5b7512451aec99d13fab96dab1d1231318b411c5110,506,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,LICENSE,3aac88ce2dde341bc93ae14ef65707735c4801557106291872332cf7c8437e87,35126,file,Other,governance,supporting,PR160-M001;PR160-C0015,semantic_tags=scanner_recon
LEGION2-main,.gitignore,6e406fd5ac61229cbcc23e626b32858fa15d85cb13f07fa241b3bc33715b8105,2211,file,Other,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,SCANNER_UNITY.md,8e81302cb9abc24968929b8f141440f4ee37f8f4ec8d4b61e5f1371c75f2150c,16908,file,Docs,documentation,supporting,PR160-M001;PR160-C0015;PR160-C0005,semantic_tags=scanner_recon;docs_knowledge
LEGION2-main,package.json,7c398a32da206bf2863e7f6c73c91ee6c5a4b8183beb95677ee99d90c7ce2d69,920,file,Config,configuration,authoritative,PR160-M001;PR160-C0002,semantic_tags=build_ci_packaging
LEGION2-main,legion.conf,8fd16ae473a94b93aaf96e93f6e785bd7311350af661e2076cccd6b51fc6de51,40703,file,Config,configuration,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,package-lock.json,64c1e847dc30be2465c8c9f1d42fe2fa194bcfc5393406d90ac75ef25646363c,98220,file,Config,configuration,authoritative,PR160-M001;PR160-C0002,semantic_tags=build_ci_packaging
LEGION2-main,tsconfig.node.json,ce2532092e110c26065ff9d2f568cd5cf063348dcc0bb7576e6924077b486908,636,file,Config,implementation,authoritative,PR160-M001;PR160-C0017,semantic_tags=subscription_config
LEGION2-main,vite.config.ts,1815e4187811182b190c4b167c88b1fbc11d8d4a434501ae8985e18624d57a86,2193,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0017,semantic_tags=subscription_config
LEGION2-main,docs/3_ENRICHMENT.md,cd4b3b57b6323222c986708fb30245f17b125237a449970dde6c91de90ec0e9c,28308,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,docs/2_NETSNIFFER.md,bd9779e65d28443d20c2da68acc18bc48979dce3c87199fb529bc5e99b94ffbf,16866,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,docs/5_MASSMAP.md,f92d76e5fd1c81899bcb16b66355ab70ef582ff159eb02a2a7220d663a1a78ba,5337,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,docs/1_SPIDERIOTA.md,90c9f185acb1f49409367c470707402386c1411b12512c3bed2a69e565028783,35153,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,docs/THIRD_PARTY_LICENSES.md,cef7a9a4fd8b43c6f2acc0b972a5af577241749360cc58b684edd0c9b16a1828,4522,file,Docs,documentation,supporting,PR160-M001;PR160-C0015;PR160-C0005,semantic_tags=scanner_recon;docs_knowledge
LEGION2-main,docs/Nmap-Cheat-Sheet.pdf,7bbce546200a3e5a7665ed91f95e97f4ed82dc8dd21f41ef376e5ff4da206e59,1191902,file,Other,documentation,supporting,PR160-M001;PR160-C0015;PR160-C0005,semantic_tags=scanner_recon;docs_knowledge
LEGION2-main,docs/XML-parsing.md,b6308cff6aa8ba9f125cd40cc6f9a947ed85b44c4630fc3468ebee5ea62fee45,4858,file,Docs,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,docs/LEGION2 Development Guide - August 2025.pdf,418049baceaf40759dff2a12832c7c8d3f8b3e564aa4b957da861ff252d9228f,170706,file,Other,documentation,supporting,PR160-M001;PR160-C0021;PR160-C0005,semantic_tags=ui_operator;docs_knowledge
LEGION2-main,docs/4_NSE-SUPPORT.md,807470bda2f3bff00fc264bafb5eb9e95c16eb37c7519dcb9481e8fb37deb461,9330,file,Docs,documentation,supporting,PR160-M001;PR160-C0015;PR160-C0005,semantic_tags=scanner_recon;docs_knowledge
LEGION2-main,docs/XML-parsing.json,b1fbdf0912ac56e369ab70a8fb329b7c8eff498eeab83bb3f062f87ba58c522c,6205,file,Config,documentation,supporting,PR160-M001;PR160-C0005,semantic_tags=docs_knowledge
LEGION2-main,src-tauri/tauri.conf.json,8a4228b7e9fa5d2ea6fcd31b3f498cef98d8f261be1017f4badaa400e4f68340,1239,file,Config,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,src-tauri/Cargo.toml,3ec1a1b3bd3eade14b53f64cfcfeaa10def3bc7844ec59fd72846f7913c58d00,2604,file,Config,configuration,authoritative,PR160-M001;PR160-C0002,semantic_tags=build_ci_packaging
LEGION2-main,src-tauri/Cargo.lock,2b56b9dc6a855ff43f052c0d54a171bed3d95c7490bc7ee54afda41f13a73978,148528,file,Other,configuration,authoritative,PR160-M001;PR160-C0002,semantic_tags=build_ci_packaging
LEGION2-main,src-tauri/oui.json,b307d7d3affa2da43b82fefc1fe1b9f5ac9a0cdb8af7bbd176ac098ccd95d4ec,193,file,Config,implementation,authoritative,PR160-M001;PR160-C0021,semantic_tags=ui_operator
LEGION2-main,src-tauri/build.rs,4ae2333b11623039cc115e29b696e7ff5cdfcd5b7d628280ddf48fa733e6418d,42,file,Rust,implementation,authoritative,PR160-M001;PR160-C0021;PR160-C0002,semantic_tags=ui_operator;build_ci_packaging
LEGION2-main,src/App.tsx,1a20a83be5c129ce9d0673ecb0917613b5724c81306573653cfa0ea860885ef7,308,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,src/index.css,2e342ac1dc4e77313eaf500acbf857ede6b0d54a542ca2bd1169a634d6f05b51,882,file,Web,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,src/main.tsx,393c499d45fe80f1c56693c79c7427536b89efad8fea00999b2093c0614f5434,421,file,TypeScript,implementation,authoritative,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,.github/FUNDING.yml,96bbe2f9a684750cc535b0c79f02d6e6f77d96147066518580b754ac73204238,110,file,Config,repository-administration,supporting,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,images/legion2/icon.png,1ef6904e78f908522c664083644e0003c6159327f3415ca78ea5d682d902389d,1176380,file,Other,media,derived,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,images/legion2/Legion2-v0.4.0-hosts.png,744ad107d5b6a3f47482d2e8da7ef26b3f368cad2dc89b7761f0c5f0aaa90843,206641,file,Other,media,derived,PR160-M001;PR160-C0022,semantic_tags=uncategorized
LEGION2-main,images/legion2/logo_old.png,721da28aa25cc984ed6b867d95ecf00e2d17c62b17a09069a481e47ff12f14e9,1285647,file,Other,media,derived,PR160-M001;PR160-C0008,semantic_tags=logging_observability
LEGION2-main,images/legion2/Legion2-v0.3.3-topology.png,d5db8863eee8d0647f75d3da1e5c6c4dc550abefddec5ced0d5ef6a6f26edc54,71450,file,Other,media,derived,PR160-M001;PR160-C0008,semantic_tags=logging_observability
LEGION2-main,images/legion2/logo2v0.4.0.png,c0115926e57b95a04e717efc6bd0613cd394faf5285e797335bbccf325fd8095,1269246,file,Other,media,derived,PR160-M001;PR160-C0008,semantic_tags=logging_observability
LEGION2-main,images/legion2/Legion2-v0.3.3-dashboard.png,f64de9702e6a24412193ce038ad5f40f418826e54ed5353c8e8822f3695eb728,145792,file,Other,media,derived,PR160-M001;PR160-C0021,semantic_tags=ui_operator
LEGION2-main,images/legion2/Legion2-v0.3.3-hosts.png,629fd88a03cb04dbee1f8fd6eedd79b1e617ff95fce573f7811bb6b2a6bff6c3,113395,file,Other,media,derived,PR160-M001;PR160-C0022,semantic_tags=uncategorized
