record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR180-M001,n/a,CG-ROOT-IPRadar2ForLinux,IPRadar2ForLinux,whole-donor-accountability,complete donor accountability for IPRadar2ForLinux,repository root,mixed evidence,context-dependent,IPRadar2/CheckableComboBox.py,0156c3c365fe8c131748695dde6743cdf6ed4c5eb7f48641d91a08da4a6ee93e,n/a,inventory and mechanism decomposition,one-to-many,reference-only,"reference-only: passive connection/network visibility is valuable, but process-kill and firewall automation are not adopted without one canonical cross-runtime flow authority.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,MIT,medium,n/a,high,reviewed
PR180-M002,n/a,CG-ROOT-SNI-Spoofing-Go,SNI-Spoofing-Go,whole-donor-accountability,complete donor accountability for SNI-Spoofing-Go,repository root,mixed evidence,context-dependent,.git/HEAD,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,n/a,inventory and mechanism decomposition,one-to-many,rejected-with-reason,rejected-with-reason: raw wrong-sequence TLS injection duplicates LumiNet evasion authority and GPL source is not directly reused.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-3.0,medium,n/a,high,reviewed
PR180-M003,n/a,CG-ROOT-SNI-Spoofing-Pro,SNI-Spoofing-Pro,whole-donor-accountability,complete donor accountability for SNI-Spoofing-Pro,repository root,mixed evidence,context-dependent,.gitignore,eedf9c6ecbfd911a5daa56df4d4aa36f29640b573e9182f09a156ef15734267b,n/a,inventory and mechanism decomposition,one-to-many,rejected-with-reason,rejected-with-reason: raw injection plus deployment/service authority would duplicate existing evasion/runtime owners; GPL source is not directly reused.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-3.0,medium,n/a,high,reviewed
PR180-M004,n/a,CG-ROOT-Sanaei-3xui-v2ray,Sanaei-3xui-v2ray,whole-donor-accountability,complete donor accountability for Sanaei-3xui-v2ray,repository root,mixed evidence,context-dependent,.github/ISSUE_TEMPLATE/bug_report.yml,05b5c469624f1f348d77509a4a8951ccbb2c77ee2b319957f5fb1c8fb46cc3ff,n/a,inventory and mechanism decomposition,one-to-many,rejected-with-reason,rejected-with-reason: server tenant/admin/control-plane authority is outside LumiNet client scope and would create a second source of truth.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-3.0,medium,n/a,high,reviewed
PR180-M005,n/a,CG-ROOT-Scrapling,Scrapling,whole-donor-accountability,complete donor accountability for Scrapling,repository root,mixed evidence,context-dependent,.bandit.yml,efb3c10339f7d6bd361379702b083ec8db87a89e37613aad977657f7e2680399,n/a,inventory and mechanism decomposition,one-to-many,reference-only,"reference-only: checkpoint atomicity/dedup is useful evidence, but generic scraping/MCP and automatic work replay broaden authority and can replay non-idempotent jobs.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,BSD-3-Clause,medium,n/a,high,reviewed
PR180-M006,n/a,CG-ROOT-Shin-TG-V2ray-Collector,Shin-TG-V2ray-Collector,whole-donor-accountability,complete donor accountability for Shin-TG-V2ray-Collector,repository root,mixed evidence,context-dependent,README.md,8f2243571060aede4a1ff0d881fb616bc3d3ad0899e70cfd4070d1821e08eb79,n/a,inventory and mechanism decomposition,one-to-many,rejected-with-reason,"rejected-with-reason: scraped public configuration datasets are untrusted remote inputs, license provenance is unclear, and they cannot become authoritative profile state.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,unknown/no root license,medium,n/a,high,reviewed
PR180-M007,n/a,CG-ROOT-Throne,Throne,whole-donor-accountability,complete donor accountability for Throne,repository root,mixed evidence,context-dependent,.github/FUNDING.yml,bc573bf47c3b76096fc3a30c00dff418ccdadbad5b7eba4403fd685a8d6b41ad,n/a,inventory and mechanism decomposition,one-to-many,reference-only,"reference-only: rich desktop process/connection UI is useful product evidence, but target lacks a canonical cross-runtime flow registry and desktop per-app authority remains unsupported.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-3.0,medium,n/a,high,reviewed
PR180-M008,n/a,CG-ROOT-V2RayDAR,V2RayDAR,whole-donor-accountability,complete donor accountability for V2RayDAR,repository root,mixed evidence,context-dependent,.gitattributes,3bd68aaef3a6c67bf6d16050d214eaf32f30cadbe73b97846a419d11cf706bf7,n/a,inventory and mechanism decomposition,one-to-many,reference-only,"reference-only: external sing-box validation/probing is a useful oracle, but AGPL code and a second subscription/runtime owner are not adopted.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,AGPL-3.0,medium,n/a,high,reviewed
PR180-M009,n/a,CG-ROOT-Vwarp,Vwarp,whole-donor-accountability,complete donor accountability for Vwarp,repository root,mixed evidence,context-dependent,.github/ISSUE_TEMPLATE/bug_report.md,0ac5c2c20f850959229c4ab16128ba4daf6fee2cd673777811100a64c25fd414,n/a,inventory and mechanism decomposition,one-to-many,superseded,superseded: LumiNet already owns WARP/MASQUE scanning/runtime with bounded real-handshake qualification; donor staging does not justify another WARP authority.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,AGPL-3.0,medium,n/a,high,reviewed
PR180-M010,n/a,CG-ROOT-WarpScanner,WarpScanner,whole-donor-accountability,complete donor accountability for WarpScanner,repository root,mixed evidence,context-dependent,.github/workflows/readme.yml,633472f1e57a3c63900503ef1f5ae5d9a935c63f70ef1b16944e6c559f8a1dd7,n/a,inventory and mechanism decomposition,one-to-many,adapted,adapted: repeated quality samples exposed temporal jitter as a stable ranking discriminator; unsafe worker counts and arbitrary aggregate weights are not adopted.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-3.0,medium,n/a,high,reviewed
PR180-M011,n/a,CG-ROOT-Yacd-meta,Yacd-meta,whole-donor-accountability,complete donor accountability for Yacd-meta,repository root,mixed evidence,context-dependent,.browserslistrc,f690a29b52eaa95aea3bfe1464cddff3b75925365675e2d11c16861cbb61dc52,n/a,inventory and mechanism decomposition,one-to-many,reference-only,"reference-only: connection-table UX is valuable, but its backend assumes a canonical connections API LumiNet does not yet have across all runtimes.",peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,MIT (package.json),medium,n/a,high,reviewed
PR180-M012,n/a,CG-ROOT-gotk4,gotk4,whole-donor-accountability,complete donor accountability for gotk4,repository root,mixed evidence,context-dependent,.clang-format,38698b44aea11a13b3389fef0d0eb6aa2ce01c9433323c81cd54cc4552137e10,n/a,inventory and mechanism decomposition,one-to-many,rejected-with-reason,rejected-with-reason: GTK binding generation targets the wrong product stack and adds build/runtime complexity without LumiNet semantic value.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,MPL-2.0 root; subcomponents vary,medium,n/a,high,reviewed
PR180-M013,n/a,CG-ROOT-ipscan,ipscan,whole-donor-accountability,complete donor accountability for ipscan,repository root,mixed evidence,context-dependent,.github/ISSUE_TEMPLATE/bug_report.md,13084a999e970e377e529d42ae127d67853c8b902a20f9d5df3a0e20f2393854,n/a,inventory and mechanism decomposition,one-to-many,superseded,superseded: feeder/fetcher/cancellation patterns overlap LumiNet scanner scheduling and diagnostics; no second scanner framework is adopted.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,GPL-2.0,medium,n/a,high,reviewed
PR180-M014,n/a,CG-ROOT-libcrafter,libcrafter,whole-donor-accountability,complete donor accountability for libcrafter,repository root,mixed evidence,context-dependent,.agents/context/endpoint-rename-inventory.md,5c94881d4b44a9c1d69437f376e3633693240c8a7391379194af88bb7a047d5a,n/a,inventory and mechanism decomposition,one-to-many,hardened,hardened: strict IP declared-length checks and bounded conflict-aware defragmentation semantics harden existing LumiNet packet owners; generic live packet crafting is not added.,peer evidence accountability,n/a,Every donor surface receives an explicit semantic-bucket disposition; root records do not grant runtime authority.,No donor root is transplanted wholesale or treated as authoritative by file count.,n/a,n/a,none,MIT,medium,n/a,high,reviewed
