wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,implementation_surfaces,test_surfaces,layers,current_outcome,current_product_surfaces,surface_sha256
231,IPtProxy-master,.gitignore,1,0,0,0,0,repository-administration,accounted-reference,Operations/Settings where focused; otherwise governance,5e9bc9a49b78103e0fd19fc12d7ad1e72753507991ae7cb5556d38751187d5fc
231,IPtProxy-master,.gitlab-ci.yml,1,1,0,0,0,configuration,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,93f963fe559776b718a2063e42f60f986c542044bfcc95b893d7f5223d4fca12
231,IPtProxy-master,.gitmodules,1,0,0,0,0,operational,accounted-reference,Operations/Settings where focused; otherwise governance,8a13cd2d6a23b464e4808c56537578d2353dcb737d6c5f357352dd943ce6cbc4
231,IPtProxy-master,CHANGELOG.md,1,0,0,0,0,documentation,accounted-reference,Operations/Settings where focused; otherwise governance,77a5c8038d73361a7fd7a15f7937650c0e8a01d39a0ee8eafe2456aa6cabf7f0
231,IPtProxy-master,IPtProxy.go/controller.go,1,1,0,1,0,implementation,behavior-refined,Operations/Settings where focused; otherwise governance,a790b5c2c299065d5dbe7330e464ebdf5d642d129280cf212b6e7387f16356f5
231,IPtProxy-master,IPtProxy.go/go.mod,1,1,0,0,0,configuration,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,b3f3f20b5ff6e7ab9e1ca37cbfb84a73e0f044003411459596f2c51509d5fb18
231,IPtProxy-master,IPtProxy.go/go.sum,1,1,0,0,0,configuration,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,9838949c21d9256031759140e3826806ff7b131c6f33dc06d37dee71712186c9
231,IPtProxy-master,IPtProxy.go/kindness.go,1,1,0,1,0,implementation,behavior-refined,Operations/Settings where focused; otherwise governance,b0d39b0dde8d74dd0e0d6c3ec2e1ecaf0a8c0ec9e6d6738286dde0226a48bff0
231,IPtProxy-master,IPtProxy.podspec,1,1,0,0,1,test,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,b8c6f07f5bdfba3c1842fb3e84552ed96dcf588a9beadee35e9284a1921dac2b
231,IPtProxy-master,IPtProxy.xcframework/Info.plist,1,0,0,0,0,operational,accounted-reference,Operations/Settings where focused; otherwise governance,b0faf130a26eec494ac4b12fd77f1b6f6058740fb561c3d8fc9a9d2abac5d646
231,IPtProxy-master,IPtProxy.xcframework/ios-arm64,7,4,0,4,0,implementation;operational,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,e724538f1ffd71c010abc3f1f6f95aa419eadd73394452bdd08c338efd79a101
231,IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator,7,4,0,4,0,implementation;operational,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,7d4e54507a00f68b0881fe8069b2421d13abebd9a1d3e4472844eff02fc0ec2f
231,IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64,7,4,0,4,0,implementation;operational,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,8d2dc0ab34693b83e001344f789a58f295e54f8ee0243fcc2b1e34d5f6646af1
231,IPtProxy-master,LICENSE,1,0,0,0,0,operational,accounted-reference,Operations/Settings where focused; otherwise governance,6b52a1adcfef735e8cd649f8534da36609a0a33a7d9d424e0e08caa801082802
231,IPtProxy-master,Package.swift,1,1,0,1,0,implementation,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,a30d00f0c557159c39de4f804646df4594de60cc796564d6b754d8c437b8bc07
231,IPtProxy-master,README.md,1,0,0,0,0,documentation,accounted-reference,Operations/Settings where focused; otherwise governance,d4e20992c023a637628a96456f513d69cbb7afd39903779c0da993a644f9e3cf
231,IPtProxy-master,Vagrantfile,1,0,0,0,0,operational,accounted-reference,Operations/Settings where focused; otherwise governance,99111429d599434eba5bd12f3e7d9e8c7d63846d1fb11982bb711b867c3f3e64
231,IPtProxy-master,build-android.sh,1,1,0,0,0,script,reviewed-superseded-or-reference,Operations/Settings where focused; otherwise governance,8a376cabb3e75c02cf5ea6391728bc8268390e725cfb560ddda2cad64494a1ba
