wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,implementation_surfaces,test_surfaces,layers,current_outcome,current_product_surfaces,surface_sha256
224,Iran-configs-main,root,3,0,0,0,0,documentation;support/repository;test/fixture,proxy-format/parser oracles only; credential-bearing live endpoints never imported,Proxy parser tests / governance,fb638f30f112622f06c1a72c93e5878d2f3c41581baf1690ab42a8553d6d7aa9
224,Iran-v2ray-rules-main,.github,4,0,0,0,0,support/repository,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance,302964fe54310d6d0f62cfd5690f16432eaf42d80177c01d2104ac7cb050e3dc
224,Iran-v2ray-rules-main,assets,14,0,0,0,0,frontend/media,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance,d2cc94fcaaf4ebe63f1b18a02f2a4fcb39425618ad881eeb868b180c0c616136
224,Iran-v2ray-rules-main,root,4,1,0,0,0,data/config;documentation;governance,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance,e756c7fcef0e2cd718faa5690258c2ed8ab7c2184a6ded256b69fff6576f9d55
224,Iran-v2ray-rules-main,scripts,9,9,0,0,0,operations/deployment,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance,729f84b825cc3c5269d741e0e65ca6e51eff0ff0f80f240922a335eadd473171
224,Iran-v2ray-rules-main,v2rayN,8,8,0,0,0,data/config,"routing corpus provenance and immutable-artifact admission, mutable donor lists remain non-authoritative",Rules · routing artifact provenance,6b3fa007a85bd0f4fb3b738e64a4d6ababcf3cf503f4f707527def9479980e90
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,.github,2,0,0,0,0,support/repository,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,aea12408aea2cdf2650d05ff692c9b8558cdfee0f1e5c547158babadf8ed722d
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,apps_script,7,6,0,4,0,backend/runtime;data/config;operations/deployment;test/fixture,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,4316065c9114f06f53bbd123607d65fc77bd78a8f6e5d84070a8c3a56f4dc899
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,docs,2,0,0,0,0,documentation,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,e5fab2a3be1967dd8f6ca4874467642d6585bcec4cf17b3151e6f81892f84fd1
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,root,12,7,0,2,0,backend/runtime;data/config;documentation;governance;operations/deployment;support/repository,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,9d32fa4ed620bd6c2e0a91150461bfd5119af075aa917071218a68f830afa3e4
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,scripts,1,1,0,0,0,operations/deployment,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,44d56ce30f41dcb9f5291fca5acf4d877d8a49afd0a9aa6afac9937185b68e7b
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src,19,19,0,19,0,backend/runtime,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,6e33fb005fb6fd438bc447141ce45f1d32ffb656fe8bf5b624846d3d175e6654
224,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,tests,1,1,0,0,1,test/oracle,adaptive idle polling extracted; scripted/MITM relay authority rejected,Runtime relay + Operations relay inspection,4d400e574ecd2c7354572ecfaf67e01e466a4ad2104b7e9917ea257abbf7e2b0
224,LACUNA-Chain-main,root,4,3,0,2,0,backend/runtime;documentation;operations/deployment,negative guardrail: call-stack/EDR-spoofing capability removed from production surface,No operator authority,3ad85a2034f8861727a5623c02337fe83104c1fc26d92617cc6bab4ebd17bc52
224,LACUNA-Chain-main,shellcode,3,0,0,0,0,frontend/media;test/fixture,negative guardrail: call-stack/EDR-spoofing capability removed from production surface,No operator authority,44e171e76750fc54a8f90d096e557a8f2796a58b3dbd309211427007fcff24f1
224,kcp-go-master,.github,1,0,0,0,0,support/repository,shared KCP policy + real Go KCP runtime; AES-GCM opt-in; bounded FEC/tuning,Operations convergence lab; Connections runtime evidence,cf64c8daa1781c78544e675cb17c1d848a797ce860ecd343c12da92e3a0c36ff
224,kcp-go-master,assets,4,0,0,0,0,frontend/media,shared KCP policy + real Go KCP runtime; AES-GCM opt-in; bounded FEC/tuning,Operations convergence lab; Connections runtime evidence,46ac4179e73477c92bb6255595e0b0624722bd2cd41a0ae123354ccc60e4183c
224,kcp-go-master,examples,1,0,0,0,0,test/fixture,shared KCP policy + real Go KCP runtime; AES-GCM opt-in; bounded FEC/tuning,Operations convergence lab; Connections runtime evidence,c3844e1ba5c0020e66fd4e559f2e134161f2934a3adf37dd28bda7c11d059100
224,kcp-go-master,root,38,32,0,22,8,backend/runtime;data/config;documentation;governance;support/repository;test/oracle,shared KCP policy + real Go KCP runtime; AES-GCM opt-in; bounded FEC/tuning,Operations convergence lab; Connections runtime evidence,4045ae7a9712eefd2514302b505eca9f2aad688726d345c4149571f0c3a179ae
224,kcp-go-master,wireshark,2,0,0,0,0,documentation;test/fixture,shared KCP policy + real Go KCP runtime; AES-GCM opt-in; bounded FEC/tuning,Operations convergence lab; Connections runtime evidence,1a9e89d2c1c2080c39617728276bdbf085b0cad4c8717cedb60bb2f89c8a6587
224,l7-protocols-master,example_traffic,1,0,0,0,0,documentation,offline bounded RE2 signature admission; no DPI install authority,Rules · L7 signature admission,82b85ff084725d29c821b63a7cda828f9191fb9a65e9a7b493ccfbd5fde3d4fd
