donor,path,sha256,line,kind,symbol,snippet
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,42,func,main,func main() {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,118,type,OnTransportEvents,type OnTransportEvents interface {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,144,type,Controller,type Controller struct {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,189,func,NewController,"func NewController(stateDir string, enableLogging, unsafeLogging bool, logLevel string, transportEvents OnTransportEvents) *Controller {"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,227,func,StateDir,func (c *Controller) StateDir() string {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,232,func,addExtraArgs,"func addExtraArgs(conn *pt.SocksConn, extraArgs *pt.Args) {"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,250,func,acceptLoop,"func acceptLoop(f base.ClientFactory, ln *pt.SocksListener, proxyURL *url.URL,"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,268,func,clientHandler,"func clientHandler(f base.ClientFactory, conn *pt.SocksConn, proxyURL *url.URL,"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,344,func,copyLoop,"func copyLoop(socks, sfconn io.ReadWriter, done chan struct{}) {"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,365,func,LocalAddress,func (c *Controller) LocalAddress(methodName string) string {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,378,func,Port,func (c *Controller) Port(methodName string) int {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,385,func,createStateDir,func createStateDir(path string) error {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,426,func,Start,"func (c *Controller) Start(methodName string, proxy string) error {"
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,586,func,Stop,func (c *Controller) Stop(methodName string) {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,603,func,SnowflakeVersion,func SnowflakeVersion() string {
IPtProxy-master,IPtProxy.go/controller.go,d01e32641ad29110d390e2bee2933c808fa051724725b9c60a7102d5d4c36e1b,610,func,LyrebirdVersion,func LyrebirdVersion() string {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,16,type,SnowflakeClientEvents,type SnowflakeClientEvents interface {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,73,type,SnowflakeProxy,type SnowflakeProxy struct {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,140,func,Start,func (sp *SnowflakeProxy) Start() error {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,207,func,Stop,func (sp *SnowflakeProxy) Stop() {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,217,func,IsRunning,func (sp *SnowflakeProxy) IsRunning() bool {
IPtProxy-master,IPtProxy.go/kindness.go,a7c32f43231464036de57e312ac612fbd0f421eb7c9e890af5f6dadc77551f93,221,func,OnNewSnowflakeEvent,func (sp *SnowflakeProxy) OnNewSnowflakeEvent(e event.SnowflakeEvent) {
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,8,macro,__IPtProxy_FRAMEWORK_H__,#define __IPtProxy_FRAMEWORK_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,7,macro,__IPtProxy_H__,#define __IPtProxy_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,7,macro,__Universe_H__,#define __Universe_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,6,macro,__GO_REF_HDR__,#define __GO_REF_HDR__
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,8,macro,__IPtProxy_FRAMEWORK_H__,#define __IPtProxy_FRAMEWORK_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,7,macro,__IPtProxy_H__,#define __IPtProxy_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,7,macro,__Universe_H__,#define __Universe_H__
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,6,macro,__GO_REF_HDR__,#define __GO_REF_HDR__
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/IPtProxy.h,c6a68ea0f813315dae83ba6db40d9c8ad586a9f1491cd7e323132855fcdf444c,8,macro,__IPtProxy_FRAMEWORK_H__,#define __IPtProxy_FRAMEWORK_H__
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/IPtProxy.objc.h,1e2b1d95b138b5033dde8b8535cf4c832b3de3ca55b1921088be6a4ba13f174d,7,macro,__IPtProxy_H__,#define __IPtProxy_H__
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/Universe.objc.h,61b1a0cd75801d2d8d1d82ef2accda4477966c691795473d696e45de05fcbc7b,7,macro,__Universe_H__,#define __Universe_H__
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers/ref.h,d76b969941e61d61551ae1e6b7ddc674ac898d422f28cb5dbf8d640ba2ae8df6,6,macro,__GO_REF_HDR__,#define __GO_REF_HDR__
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,30,type,NativePluginProvider,abstract class NativePluginProvider : ContentProvider() {
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,31,fun,getType,"override fun getType(uri: Uri): String? = ""application/x-elf"""
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,33,fun,onCreate,override fun onCreate(): Boolean = true
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,40,fun,populateFiles,protected abstract fun populateFiles(provider: PathProvider)
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,42,fun,query,override fun query(
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,67,fun,getExecutable,open fun getExecutable(): String = throw UnsupportedOperationException()
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,69,fun,openFile,abstract fun openFile(uri: Uri): ParcelFileDescriptor
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,70,fun,openFile,"override fun openFile(uri: Uri, mode: String): ParcelFileDescriptor {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,75,fun,call,"override fun call(method: String, arg: String?, extras: Bundle?): Bundle? = when (method) {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,85,fun,insert,"override fun insert(uri: Uri, values: ContentValues?): Uri? ="
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,88,fun,update,override fun update(
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/NativePluginProvider.kt,b4c21d6b7e55065a17440bdedd5a88e5e96b3254d5bbbc3f3bcb43417399f7f5,96,fun,delete,"override fun delete(uri: Uri, selection: String?, selectionArgs: Array<out String>?): Int ="
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PathProvider.kt,7e7c1f4a62e868d1711d3bb183c3232df13515b10cf4c7a81bb67d3f372af423,29,type,PathProvider,"class PathProvider internal constructor(baseUri: Uri, private val cursor: MatrixCursor) {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PathProvider.kt,7e7c1f4a62e868d1711d3bb183c3232df13515b10cf4c7a81bb67d3f372af423,32,fun,addPath,"fun addPath(path: String, mode: Int = 0b110100100): PathProvider {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PathProvider.kt,7e7c1f4a62e868d1711d3bb183c3232df13515b10cf4c7a81bb67d3f372af423,39,fun,addTo,"fun addTo(file: File, to: String = """", mode: Int = 0b110100100): PathProvider {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PathProvider.kt,7e7c1f4a62e868d1711d3bb183c3232df13515b10cf4c7a81bb67d3f372af423,47,fun,addAt,"fun addAt(file: File, at: String = """", mode: Int = 0b110100100): PathProvider {"
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/PluginContract.kt,85e96428a7e15af450b2ba482b4f94bc1e41efddc5f6df5deda50c513ef371a9,22,type,PluginContract,object PluginContract {
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/naive/BinaryProvider.kt,7a022d1b4ada9c5f13657b643e9fafb39bae45722a32cfda3ed0581c1a4ac157,29,type,BinaryProvider,class BinaryProvider : NativePluginProvider() {
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/naive/BinaryProvider.kt,7a022d1b4ada9c5f13657b643e9fafb39bae45722a32cfda3ed0581c1a4ac157,30,fun,populateFiles,override fun populateFiles(provider: PathProvider) {
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/naive/BinaryProvider.kt,7a022d1b4ada9c5f13657b643e9fafb39bae45722a32cfda3ed0581c1a4ac157,34,fun,getExecutable,"override fun getExecutable() = context!!.applicationInfo.nativeLibraryDir + ""/libnaive.so"""
naiveproxy-master,apk/app/src/main/java/io/nekohasekai/sagernet/plugin/naive/BinaryProvider.kt,7a022d1b4ada9c5f13657b643e9fafb39bae45722a32cfda3ed0581c1a4ac157,35,fun,openFile,override fun openFile(uri: Uri): ParcelFileDescriptor = when (uri.path) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,73,function,HttpProxyServerSocket::request_endpoint,const HostPortPair& HttpProxyServerSocket::request_endpoint() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,77,function,HttpProxyServerSocket::Connect,int HttpProxyServerSocket::Connect(CompletionOnceCallback callback) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,97,function,HttpProxyServerSocket::Disconnect,void HttpProxyServerSocket::Disconnect() {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,107,function,HttpProxyServerSocket::IsConnected,bool HttpProxyServerSocket::IsConnected() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,111,function,HttpProxyServerSocket::IsConnectedAndIdle,bool HttpProxyServerSocket::IsConnectedAndIdle() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,115,function,HttpProxyServerSocket::NetLog,const NetLogWithSource& HttpProxyServerSocket::NetLog() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,119,function,HttpProxyServerSocket::WasEverUsed,bool HttpProxyServerSocket::WasEverUsed() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,123,function,HttpProxyServerSocket::GetNegotiatedProtocol,NextProto HttpProxyServerSocket::GetNegotiatedProtocol() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,130,function,HttpProxyServerSocket::GetSSLInfo,bool HttpProxyServerSocket::GetSSLInfo(SSLInfo* ssl_info) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,137,function,HttpProxyServerSocket::GetTotalReceivedBytes,int64_t HttpProxyServerSocket::GetTotalReceivedBytes() const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,141,function,HttpProxyServerSocket::ApplySocketTag,void HttpProxyServerSocket::ApplySocketTag(const SocketTag& tag) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,202,function,HttpProxyServerSocket::SetReceiveBufferSize,int HttpProxyServerSocket::SetReceiveBufferSize(int32_t size) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,206,function,HttpProxyServerSocket::SetSendBufferSize,int HttpProxyServerSocket::SetSendBufferSize(int32_t size) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,210,function,HttpProxyServerSocket::DoCallback,void HttpProxyServerSocket::DoCallback(int result) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,219,function,HttpProxyServerSocket::OnIOComplete,void HttpProxyServerSocket::OnIOComplete(int result) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,238,function,HttpProxyServerSocket::DoLoop,int HttpProxyServerSocket::DoLoop(int last_io_result) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,267,function,HttpProxyServerSocket::DoHeaderRead,int HttpProxyServerSocket::DoHeaderRead() {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,309,function,HttpProxyServerSocket::DoHeaderReadComplete,int HttpProxyServerSocket::DoHeaderReadComplete(int result) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,446,function,HttpProxyServerSocket::DoHeaderWrite,int HttpProxyServerSocket::DoHeaderWrite() {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,464,function,HttpProxyServerSocket::DoHeaderWriteComplete,int HttpProxyServerSocket::DoHeaderWriteComplete(int result) {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,478,function,HttpProxyServerSocket::GetPeerAddress,int HttpProxyServerSocket::GetPeerAddress(IPEndPoint* address) const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.cc,0e073681e432bc5405e7a8dbf3b6a4530c3bc412ffc6f11e8e88e76a8de437cd,482,function,HttpProxyServerSocket::GetLocalAddress,int HttpProxyServerSocket::GetLocalAddress(IPEndPoint* address) const {
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.h,282bcccff68694ace277734ced6f54af29525ea7e9e6d944b6b185577769ca0a,7,macro,NET_TOOLS_NAIVE_HTTP_PROXY_SERVER_SOCKET_H_,#define NET_TOOLS_NAIVE_HTTP_PROXY_SERVER_SOCKET_H_
naiveproxy-master,src/net/tools/naive/http_proxy_server_socket.h,282bcccff68694ace277734ced6f54af29525ea7e9e6d944b6b185577769ca0a,30,type,NetworkTrafficAnnotationTag,struct NetworkTrafficAnnotationTag;
