donor,donor_path,value_unit,donor_outcome,target_owner,reason,guardrail
dns_blocklists,README.md,remote mutable blocklist feeds,reference-only,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,Remote lists remain caller-supplied evidence; the planner never fetches or applies blocking.,no parallel authority or hidden mutation
proofmode_android,android-opentimestamps/src/main/java/com/eternitywall/ots/OpenTimestamps.java,OpenTimestamps integration,reference-only,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,External timestamp verification is not performed by the planner; unknown never counts as pass.,no parallel authority or hidden mutation
mitmproxy2swagger,README.md,active interception/capture workflow,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,LumiNet does not install interception CAs or start MITM capture to infer APIs.,no parallel authority or hidden mutation
outline_tun2socks_demo,app/src/main/java/app/hankdev/outline/demo/VpnTunnel.java,Android tun2socks lifecycle handoff,superseded,src/apps/daemon/internal/analysis/diagnostics/split_tunnel_plan.go,Existing LumiNet mobile TUN and runtime owners already provide the authoritative lifecycle.,no parallel authority or hidden mutation
outline_tun2socks_demo,app/src/main/java/app/hankdev/outline/demo/OutlineVpnService.kt,VpnService ownership,superseded,src/apps/android/app/src/main/java/com/luminet/android/VpnEngineService.kt,No second Android VPN owner is introduced.,no parallel authority or hidden mutation
outline_apps,client/go/outline/parse.go,Outline access-key parsing,superseded,src/apps/daemon/internal/analysis/diagnostics/outline_access_plan.go,Post-refactor-232 already owns bounded static Outline key admission and local unwrapping.,no parallel authority or hidden mutation
outline_apps,client/electron/go_vpn_tunnel.ts,cross-platform VPN tunnel lifecycle,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,Existing runtime-core and platform adapters remain authoritative.,no parallel authority or hidden mutation
kingo_vpn,Android/app/src/main/java/com/kingo/vpn/ServerFetcher.java,remote free-server fetch,rejected-with-reason,src/apps/daemon/internal/integrations/sub/profile_service.go,Mutable unauthenticated/free server authority is not promoted into defaults.,no parallel authority or hidden mutation
kingo_vpn,Android/app/src/main/java/com/kingo/vpn/ScanServersDialog.java,server latency scan UX,reference-only,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go,Latency is one observation only and cannot create eligibility.,no parallel authority or hidden mutation
proxybridge,MacOS/ProxyBridge/extension/AppProxyProvider.swift,proxy-loop exclusion,hardened,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,Rules targeting the proxy process are surfaced as explicit loop risks.,no parallel authority or hidden mutation
proxybridge,README.md,kernel/network-extension interception,rejected-with-reason,src/apps/daemon/internal/analysis/diagnostics/post_refactor_234_plans.go,Planner does not install drivers/extensions or apply process filters.,no parallel authority or hidden mutation
skivpn,lib/app/modules/profile_manager.dart,provider profile/session management,reference-only,src/apps/daemon/internal/integrations/sub/profile_service.go,Provider UX is product evidence; account/billing/session authority remains out of scope.,no parallel authority or hidden mutation
skivpn,lib/app/clash/clash_config.dart,Clash configuration generation,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,Canonical profile/routing/core owners already generate runtime configuration.,no parallel authority or hidden mutation
tor_atlas,templates/search/main.html,relay/bridge search views,reference-only,src/packages/control-ui/src/pages/Operations.tsx,Search UX is retained as product evidence; UI state cannot select Tor routes.,no parallel authority or hidden mutation
whitedns_android,app/src/main/java/shop/whitedns/client/proxy/WhiteDnsProxyService.kt,updated DNS tunnel/VPN runtime behavior,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go,New revision is re-accounted; daemon/mobile runtime owners remain authoritative.,no parallel authority or hidden mutation
whitedns_android,app/src/main/java/shop/whitedns/client/scan/WhiteDnsScanService.kt,updated scan service lifecycle,hardened,src/apps/daemon/internal/analysis/scanner/scanner_target_plan.go,Pause/progress/result semantics reinforce bounded scanner ownership without importing Android scanner authority.,no parallel authority or hidden mutation
whitedns_cleanip,internal/dnsscan/truth.go,DNS poisoning/hijack truth probes,hardened,src/apps/daemon/internal/analysis/diagnostics/dns_transport_integrity.go,Updated donor revision reinforces explicit DNS integrity evidence and unknown-state handling.,no parallel authority or hidden mutation
whitedns_cleanip,internal/scanner/speedrank.go,speed ranking,hardened,src/apps/daemon/internal/analysis/diagnostics/endpoint_pool_plan.go,"Latency ranking cannot override eligibility, safety, or freshness admission.",no parallel authority or hidden mutation
