donor,directory,tree_sha256,direct_files,direct_dirs,descendant_files,descendant_symlinks
IPtProxy-master,.,dd33b4633fea035095efa298bf0c92823453ab0aa93447105bf20bb0f97c7258,14,2,40,5
IPtProxy-master,IPtProxy.go,b6a8099a27acae7561a87343f39dfb436253c3fd181250489de110fd1cd3fe85,4,0,4,0
IPtProxy-master,IPtProxy.xcframework,8217c085e81dc8831ad5306700006bf5466d2b9b91a2f3b8835dd1a47a425b35,1,3,22,5
IPtProxy-master,IPtProxy.xcframework/ios-arm64,05b40a815a839ec310c08e56281d99ef9fb1c287bb4293c1a369bb5aaf8fe7b5,0,1,7,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework,05b40a815a839ec310c08e56281d99ef9fb1c287bb4293c1a369bb5aaf8fe7b5,2,2,7,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Headers,90530fd766713e4dc0120dbf654fe739a6f0d98a47ef4791943b28b1ac9651bd,4,0,4,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64/IPtProxy.framework/Modules,82979f10c6892fc4125044c080715d96d2f5ec5c4ca5fd354052d6836c22f9a0,1,0,1,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator,2aff4d9558bec819e52453fc3f5b98fcb49b4fd99ee949221935741685e4034d,0,1,7,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework,2aff4d9558bec819e52453fc3f5b98fcb49b4fd99ee949221935741685e4034d,2,2,7,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Headers,6b4b52a5f371a0b198ae61143430eafc39bc2c827c8c142f134f6f07d56b074b,4,0,4,0
IPtProxy-master,IPtProxy.xcframework/ios-arm64_x86_64-simulator/IPtProxy.framework/Modules,69558833ea5c1dc4a684d2532f3b4f45cce075b2ed2b8a12fd6f6d68545913a4,1,0,1,0
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64,097574c8fe5724dfd73a2f3e456e027e55a6da09625d9c36bda0a5fe04a5c26c,0,1,7,5
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework,097574c8fe5724dfd73a2f3e456e027e55a6da09625d9c36bda0a5fe04a5c26c,0,1,7,5
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions,10eb00800811b08d730fad58e4e4eaa16cb0f7fcdb71b7fe15f5bab21c838131,0,1,7,1
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A,f7030f8c5c90ef5c034dbf39710d3ec0ac0f8ad9de52428b6fb820b806e9e5cd,1,3,7,0
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Headers,1051496fc5f841ba502651b0952b2170f467bf35bb4fa4714654821bcf6cc4ea,4,0,4,0
IPtProxy-master,IPtProxy.xcframework/macos-arm64_x86_64/IPtProxy.framework/Versions/A/Modules,9bf209f72ef4d04b9f8b96213b1d289942db2b448f1a183ce39b07821806d6ac,1,0,1,0
