record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR223-S001,n/a,CG223-S001,aether,native-embedding,cancellable embedded operations and bounded job lifecycle,focused peer mechanism,executable behavior,standalone or target-recomposed,aether/src/api.rs,febccfa05da8b3973a77e4015bdcbb488c5c7a033a505923199c0fd85ae30121,n/a,adaptation + hardening,one-to-one,hardened,Aether exposes cancellable guarded operations; LumiNet retained its request-ID bridge but bounded waits and cleanup rather than importing a second job registry.,bounded native async bridge,src/apps/daemon/internal/native/bridge/async_policy.go#asyncWaitDuration;src/apps/daemon/internal/native/bridge/core.go#dispatchAsync,Every async bridge wait has a bounded deadline and cleanup path.,"Lost, duplicate, or late callbacks cannot block a native callback thread or retain a Go waiter indefinitely.",src/apps/daemon/internal/native/bridge/async_policy_test.go#TestAsyncWaitDurationUsesOperationTimeoutPlusGrace,daemon native bridge,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,high,n/a,high,verified
PR223-S002,n/a,CG223-S002,aether,ffi,FFI null/JSON/panic admission and job panic containment,focused peer mechanism,executable behavior,standalone or target-recomposed,aether/src/ffi.rs,197f2c7252275b8a81c9a410ea628c52b429c817204681f0b237a0c26dd1b26d,n/a,adaptation + target-native hardening,one-to-one,hardened,Aether demonstrates explicit null payload rejection and panic-to-error conversion; LumiNet kept its centralized panic guard and hardened only raw foreign-buffer edges.,raw FFI admission safety,src/packages/lumicore/src/ffi/exports.rs#push_packet_ffi;src/packages/lumicore/src/ffi/version.rs#lumicore_version_string;src/packages/lumicore/src/shm.rs#RingBuffer,Raw foreign pointers/lengths and shared-ring runtime state are validated before slices/arithmetic.,"No foreign null/oversize/corrupt capacity may cause undefined behavior, modulo-by-zero, or unwinding across FFI.",scripts/checks/check_post_refactor_223_raw_ffi.py,native ABI,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,critical,n/a,high,verified
PR223-S003,n/a,CG223-S003,aether,transport,QUIC/HTTP3/PMTUD/congestion transport implementation,focused peer mechanism,executable behavior,standalone or target-recomposed,quiche/quiche/src/lib.rs,4b3f9b9da8d952c0565b9d03fc0807dac364bd6b9a0eef0fa0e4b4ef5d175703,n/a,comparison + supersession,one-to-one,superseded,The donor carries a full quiche-derived transport stack; LumiNet already owns native transport/framing/ABI and importing a peer-shaped second stack would duplicate authority.,native transport authority,src/packages/lumicore/src/lib.rs,One native transport/ABI authority remains in LumiCore.,No donor QUIC runtime is copied into the target as a parallel engine.,scripts/checks/check_lumicore_source_purity.py,n/a,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,high,n/a,high,reviewed
PR223-S004,n/a,CG223-S004,aether_app,trust-boundary,external bridge remote-address verification,focused peer mechanism,executable behavior,standalone or target-recomposed,aether-core/support/extbridge/extbridge.go,7aa78dc230a78496e0a80af6ea8e76099bd3fb3795286b518f25fc976569ea09,n/a,comparison + supersession,one-to-one,superseded,Remote-IP admission patterns were compared against LumiNet direct-client-IP middleware; the target already owns proxy-aware client identity and constant-time auth.,API trust boundary,src/apps/daemon/internal/adapters/api/middleware.go,Client identity and authentication stay centralized in API middleware.,An integration helper cannot become an alternate authentication authority.,scripts/checks/check_api_direct_client_ip.py,API boundary,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,high,n/a,high,reviewed
PR223-S005,n/a,CG223-S005,aether_app,runtime-supervision,event horizon/backend supervision and dispatch,focused peer mechanism,executable behavior,standalone or target-recomposed,aether-core/aether/backend/eventhorizon/eventhorizon.go,dff8ca50b79a2fc11cd56b3760c5252aa930c66cc872516e608c40b392470855,n/a,comparison + supersession,one-to-one,superseded,"The donor runtime supervision was reviewed as an orchestration reference; LumiNet already has explicit daemon lifecycle, jobs, runtime ownership, and shutdown gates.",daemon lifecycle ownership,src/apps/daemon/internal/runtime/runtimecore/manager.go#Manager,Runtime start/stop ownership remains singular and testable.,No second backend supervisor or hidden worker island is introduced.,scripts/checks/check_daemon_lifecycle.py,daemon,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,medium,n/a,high,reviewed
PR223-S006,n/a,CG223-S006,aether_app,operator-product,search/refresher/kv frontend-support services,focused peer mechanism,executable behavior,standalone or target-recomposed,aether-core/aether/frontend/search/search.go,1a93019c79570dd9121538d20e945ac5e856a3b5c6a3149565b6aee592b4021a,n/a,comparison + product synthesis,many-to-many,superseded,The donor search/refresher stack is broader than needed; LumiNet keeps a local non-authoritative command palette and server-owned state.,operator navigation,src/packages/control-ui/src/CommandPalette.tsx#CommandPalette,Operator search remains local navigation only.,"Search must not gain filesystem, shell, persistence, or backend authority.",scripts/checks/check_post_refactor_223_command_aliases.py,Control UI command palette,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,low,n/a,high,reviewed
PR223-S007,n/a,CG223-S007,aether_gui,historical-accountability,exact-byte Aether GUI duplicate revalidation,focused peer mechanism,evidence bridge,standalone or target-recomposed,src/App.tsx,f6476857d3d05267d14bcb130d496300f78c2ea392fc1fcf53726d971f3c2482,n/a,exact-byte revalidation,one-to-one,reference-only,The supplied Aether-GUI archive SHA-256 exactly matches the donor already closed in post-refactor-222; no changed surface was silently reopened.,n/a,n/a,Historical exact bytes retain their prior semantic dispositions.,A duplicate upload cannot be used to claim new implementation value.,n/a,n/a,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,low,n/a,high,statically-validated
PR223-S008,n/a,CG223-S008,aether_whiteaesther,mobile-socket-protection,native socket protection callback,focused peer mechanism,executable behavior,standalone or target-recomposed,aether/src/socketprotect.rs,3668dc1d78b5cf54a2ae032638337554281e0ec02f223f45ab4c6e16cd5bf506,n/a,comparison + supersession,one-to-one,superseded,"The fork adds a socket-protect callback, but LumiNet already routes Android native socket exclusion through one canonical VpnService/SocketProtector owner.",mobile socket protection,src/apps/android/app/src/main/java/com/luminet/android/VpnEngineService.kt#SocketProtector,All tunnel-control sockets are protected through the canonical Android VpnService owner.,No donor callback creates a second VPN/TUN or protection authority.,scripts/checks/check_mobile_tun_ownership.py,Android VPN,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,critical,n/a,high,reviewed
PR223-S009,n/a,CG223-S009,aether_whiteaesther,native-embedding,fork embedding/FFI lifecycle deltas,focused peer mechanism,executable behavior,standalone or target-recomposed,aether/src/lib.rs,0a89f5420a2011a56e24f774609b8696e02a162f559afde445cf9d75d1d6669d,n/a,recomposition + hardening,many-to-many,hardened,Changed embedding surfaces reinforced bounded async and raw ABI admission; target-native contracts were hardened instead of adopting the fork API wholesale.,native embedding boundary,src/apps/daemon/internal/native/bridge/async_policy.go;src/packages/lumicore/src/ffi/exports.rs,Embedding lifecycle is bounded at both Go callback and Rust foreign-buffer boundaries.,The fork cannot introduce a parallel native runtime registry.,scripts/checks/check_post_refactor_223_native_async.py,native bridge,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,high,n/a,high,verified
PR223-S010,n/a,CG223-S010,aether_whiteaesther,transport,unchanged quiche fork body,focused peer mechanism,executable behavior,standalone or target-recomposed,quiche/quiche/src/ffi.rs,319922fdcba59ad8dbaf0390fa033d5628b542bf865d9aed1cb5d49077bf7ba2,n/a,exact/near-exact comparison,one-to-one,reference-only,"The bulk transport implementation overlaps Aether/quiche and existing LumiCore responsibilities; it is retained as evidence, not copied.",n/a,n/a,Transport details remain reference evidence only.,File volume does not become a reason to duplicate native transport ownership.,n/a,n/a,additive/reversible unless explicitly noted,user-directed working assumption: MIT; legal/license analysis intentionally out of scope,low,n/a,high,reviewed
