target_capability,contributing_records,donors,dispositions,target_nodes,second_order_result
SNI candidate corpus evidence,PR227-M003,sni-spoofing-rust,reference-only,src/apps/daemon/internal/analysis/diagnostics/sni_candidate_corpus.go#CuratedSNICandidates,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
SNI decoy connection evidence and sequence ownership,PR227-M008;PR227-F0024;PR227-F0026;PR227-F0034;PR227-F0035;PR227-F0036,sni-spoofing-rust,hardened,src/apps/daemon/internal/runtime/proxy/evasion_divert.go#connSeqKey;src/apps/daemon/internal/runtime/proxy/evasion_divert.go#TakeConnSeq;src/apps/daemon/internal/analysis/diagnostics/sni_decoy_handshake_plan.go#BuildSNIDecoyHandshakePlan,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
bounded SNI reachability diagnostics,PR227-M011;PR227-F0037,sni-spoofing-rust,superseded,src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go#RunSNISpoofScan,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
build/deployment evidence,PR227-M004;PR227-F0005;PR227-F0006;PR227-F0007,sni-spoofing-rust,reference-only,n/a,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
canonical SNI spoof runtime ownership,PR227-M002;PR227-M007;PR227-M010;PR227-F0001;PR227-F0002;PR227-F0003;PR227-F0004;PR227-F0022;PR227-F0023;PR227-F0025;PR227-F0027;PR227-F0038,sni-spoofing-rust,superseded,src/apps/daemon/internal/runtime/proxy/evasion_tunnel_conn.go#injectFakePacket;src/apps/daemon/internal/networking/tlsdecoy/decoy.go#BuildPaddedClientHello,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
canonical TLS decoy construction,PR227-M009;PR227-F0028;PR227-F0029;PR227-F0030;PR227-F0031;PR227-F0032;PR227-F0033,sni-spoofing-rust,hardened,src/apps/daemon/internal/networking/tlsdecoy/decoy.go#BuildPaddedClientHello;src/packages/lumicore/src/evasion/sni_spoof.rs#build_padded_client_hello,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
operator SNI evidence workflow,PR227-M006;PR227-F0021,sni-spoofing-rust,guardrail-derived,src/packages/control-ui/src/pages/Operations.tsx#SNIDecoyHandshakePlanner,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
platform raw-packet evidence,PR227-M012;PR227-F0039;PR227-F0040;PR227-F0041;PR227-F0042,sni-spoofing-rust,reference-only,src/apps/daemon/internal/runtime/proxy/evasion_divert.go#RegisterConnSeq,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
profile/core runtime ownership,PR227-M013;PR227-F0043,sni-spoofing-rust,superseded,src/apps/daemon/internal/runtime/proxy/core_manager.go#CoreManager,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
signed update admission,PR227-M005;PR227-F0008;PR227-F0009;PR227-F0010;PR227-F0011;PR227-F0012;PR227-F0013;PR227-F0014;PR227-F0015;PR227-F0016;PR227-F0017;PR227-F0018;PR227-F0019;PR227-F0020,sni-spoofing-rust,rejected-with-reason,src/apps/daemon/internal/foundation/updateadmission,peer mechanisms decompose into existing target owners; runtime/raw/update authority remains single-owned
