record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
BASE01,n/a,donor-evidence-accountability,mhurl-main,donor-accountability,mhurl-main complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,33b96e36423860ed8def900ce8a518f2b4649c0ca5c7050b183582bc9661310c,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE02,n/a,donor-evidence-accountability,Iran-configs-main,donor-accountability,Iran-configs-main complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,babdd9217450da9ad5b7141dda24fd0194979ac1c7aea9fa4d7204ee8e938096,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE03,n/a,donor-evidence-accountability,Iran-v2ray-rules-main,donor-accountability,Iran-v2ray-rules-main complete supporting surface accountability,repository,evidence inventory,context-dependent,README.fa.md,821367a45f358a8dd7b7529a4bd06b4984eaea6a668c87e42cb9da430ae1471c,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE04,n/a,donor-evidence-accountability,JJTcpOverHttpRelayVpn-python_testing_tcp_relay,donor-accountability,JJTcpOverHttpRelayVpn-python_testing_tcp_relay complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,4b5c02bf5d17d8976f13207484dfbcb8a55f9e10e9aee71a4e0b009568273364,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE05,n/a,donor-evidence-accountability,kcp-go-master,donor-accountability,kcp-go-master complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,0b5a7e8070a5d924aeb408adab04043225d747e44d71c2644c6a872bce9a8048,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE06,n/a,donor-evidence-accountability,l7mp-master,donor-accountability,l7mp-master complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,f10ff3da8a6f15d3cfc62a88d1c2144e7c726784c752a473ad992b54c36e8746,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE07,n/a,donor-evidence-accountability,l7-protocols-master,donor-accountability,l7-protocols-master complete supporting surface accountability,repository,evidence inventory,context-dependent,README,5367e779b1c253f1db87cd339c78e23c8b419caf7eae3c6a49f1d3dc49a49430,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE08,n/a,donor-evidence-accountability,l7-snake-main,donor-accountability,l7-snake-main complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,4cf075c68c480b0331dd83ca19b73a0191ff0e254e164591a0669e931321f37f,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE09,n/a,donor-evidence-accountability,LACUNA-Chain-main,donor-accountability,LACUNA-Chain-main complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,0f358abe0fc6d05d7b5bfb097e7b98e7a2edd399a46109c2a691d5fe4ee585f3,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
BASE10,n/a,donor-evidence-accountability,libkcp-master,donor-accountability,libkcp-master complete supporting surface accountability,repository,evidence inventory,context-dependent,README.md,1be8fc023f05d220cad10ffd1773755396f8eeeceaab4ddf0c8d05104934cfad,n/a,classification and evidence retention,one-to-many,reference-only,"All donor files, symlinks, tests, fixtures, build/deploy/admin/media leaves remain explicitly accounted; focused semantic records supersede this base row where mechanism-specific value exists.",donor evidence accountability,governance/convergence/post-refactor-224-surface-accountability.csv#rows,Every donor surface has a disposition and evidence hash.,Supporting leaves do not imply runtime adoption.,n/a,n/a,none,No donor code copied unless explicitly stated; provenance retained.,low,n/a,high,verified
