path,sha256,size_bytes,object_class,disposition,replacement,rationale,validation
governance/topology/source-archive/wave14/serverless_dialer.go,dab592b006ec5aa2ca82bb35eeca7308afe7ee60750bf120e1ceecabb0c7d1cb,8348,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave15/fallback_router.go,630919034c49f07afc4cb228112d47a0263ee9e94cf414be750fbb86cf2025e4,4957,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave15/gsa_relay.go,97935e61a7a8a971fc974f7ce72c1c05fdae77f906e9ef7dfde1024541bb7fa9,3866,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave15/reality_detector.go,080a62a049411e8c628f7e1f923ac09c65ca8930ee0b31c3ac8f5c2c49aa8c55,9524,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave15/relay_server.go,0aed1998e7a812c170028067d63f8a0561f5b349db1c5e60ab6f59c0b0546532,8704,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave15/udpgw.go,c5f1301f580bcbdb83b98092beade1b2ffe8bc032568f3a744b8f4e50e397aa6,9392,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave16/tarpit.go,9c645c125606b0548248d897458319c561c7bb29afd180477ea6ad20afb32225,5700,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave17/async_reactor.go,d23b67c6f48239f5662e90548930aa8603841b5f085d84747967206ad7384d91,3652,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave17/captcha_solver.go,fe15f6a6c0e6cad1527b7406df9b81496a8ab009a5246a70062f3b452b649445,6399,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
governance/topology/source-archive/wave17/circular_cache.go,a7f1b321a633f501bda5e091707f50097b40b896fb301ee78c4a71c428002293,2250,refactor-source-archive,retired-no-distinct-value,governance/topology/original-baseline.tsv + canonical owner/manifests + Git baseline d73453f,Exact refactor-time source duplicate; original baseline identity is already hash-ledgered and package-only owners are directly normalization-verified where required.,recorded-before-deletion
