wave,donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
post-refactor-4d,ZedSecure-main,.github/ISSUE_TEMPLATE/bug_report.md,d011716f56373a57315a2544aeea0f159147ed41bea13eb56130f94d771676f5,816,file,markdown,repository-administration,authoritative-source,PR141-M0017,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,.github/ISSUE_TEMPLATE/feature_request.md,fe9fbf10a3edbe5ac090efa7dd8ed7c760917906534880fce1a68d8414b07917,802,file,markdown,repository-administration,authoritative-source,PR141-M0017,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,.github/workflows/build-release.yml,29a4c02e0ac0ffd08c0cc41b35717ed5f2df23c10dde003f885e0c5c306a6455,6681,file,yaml,repository-administration,authoritative-source,PR141-M0018,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,.github/workflows/build-test.yml,f9ff2ff5147a9f3649dd49b7ec79911aa05106cfd3f2bb762fbb6efed5ce49b1,1041,file,yaml,repository-administration,authoritative-source,PR141-M0018,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,.gitignore,b6962e40e00c5b400ff0b02a7fa11f9f32757cabf292199802adbaaf26abd84d,1481,file,n/a,implementation,authoritative-source,PR141-M0009,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,.metadata,b0f69c8c54e52b32fcb7f6e97c7025a395faf942981779aba773ce36f7d61d08,1706,file,n/a,implementation,authoritative-source,PR141-M0009,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,BUILD_HEVTUN.md,c328f406679311d4247634ac62f40260f5a4f803fe756b65933ab06f445e6b86,5416,file,markdown,implementation,authoritative-source,PR141-M0009,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,BUILD_QUICK.md,7b4fb60b5c9cbf5042e25bb4ecf0255a6d3f084e7caed14cbe70255be7b636d2,1804,file,markdown,implementation,authoritative-source,PR141-M0009,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,CHANGELOG.md,bce713fdbf70d920e2e063b518ddc58ef8722290aea93651aaa4d3a1bddd9868,7064,file,markdown,documentation,authoritative-source,PR141-M0005,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,CONTRIBUTING.md,d494e6e5fe527eb0d8dbee05d7a49d8814353f68953080919bfdd187b4b5bdd7,2028,file,markdown,documentation,authoritative-source,PR141-M0005,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,LICENSE,9fd7f7679534d106247fe7114fef26d1a6b8475737372e77abeab806868306d4,36461,file,n/a,governance,authoritative-source,PR141-M0008,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,NOTICE,ef7180225877d29c752d65e3426884b6c31c0dc6df532eb3482a2c844f5f17cd,2478,file,n/a,governance,authoritative-source,PR141-M0008,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,README.md,9c70419f7a219e9c561d4217784a1d016372d465bd4105371ffc9b0cc22efd3f,6865,file,markdown,documentation,authoritative-source,PR141-M0005,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,analysis_options.yaml,e0ea485cfdbc3e12b93efb8679a5ea73ebfe20ea4ca0c473dc594fc2fb274ed5,1420,file,yaml,configuration,authoritative-source,PR141-M0001,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,android/.gitignore,b027c9de1011765c015e5819bf857c0d75bfcd0886fb01721c091159012e50f1,253,file,n/a,implementation,authoritative-source,PR141-M0010,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,android/app/build.gradle.kts,d5f437e64e40154cfe18bdd61bd0e983281cc58da5d7253a65381054c076c27b,2067,file,kotlin,implementation,authoritative-source,PR141-M0011,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,android/app/src/debug/AndroidManifest.xml,30b0832ed8b92dfbd6ae2abfa939ccf26333d37600056b1572bd4a397a18a74b,378,file,xml,ui-or-product,authoritative-source,PR141-M0020,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,android/app/src/main/AndroidManifest.xml,c9630a02a594b65ad005faf0c004171fda9833ce0a8c7775dc7e3feab2c89957,2853,file,xml,ui-or-product,authoritative-source,PR141-M0020,141-wave recursive accountability; fine semantic links added where applicable
post-refactor-4d,ZedSecure-main,android/app/src/main/jniLibs/arm64-v8a/libhev-socks5-tunnel.so,40c201d9becdd7fe4c5dfed340740f38ef78fa2eda319c22e5560f859ebab0dc,342368,file,n/a,vendored,authoritative-source,PR141-M0028,141-wave recursive accountability; fine semantic links added where applicable
