path,inner_path,size_bytes,sha256
mitmengine-master/.gitignore,.gitignore,12,6ae3aa7d616148bdf0f26854be0567f30fa6fbfd25f6317788e68dcf895c9d3f
mitmengine-master/.travis.yml,.travis.yml,63,42d9e93e94bcd7a9d70ede2c1df776626bb2abea1f55908743f7f088770b188f
mitmengine-master/LICENSE,LICENSE,1510,8de6c72d385f683466afce7b3ea5895dca72b5b48e733bd81e1ff483dd431dbd
mitmengine-master/Makefile,Makefile,799,96312d366113c9f3dc4f02ec09b1c1a42c5a2c8d5e76ad26fc5beacbcb180b2b
mitmengine-master/README.md,README.md,10118,a200b89f17b6c5c5928fba9886bcfb19cbc27a6275c1323f5d029f52773b6e6e
mitmengine-master/cmd/demo/main.go,cmd/demo/main.go,3939,5430b3a791763def30c701d9b08dd49dafafdc5a4bfeafbd3e06ffbbe95ee452
mitmengine-master/cmd/mergedb/main.go,cmd/mergedb/main.go,4079,49a02be767ec91ef5879ea2f039a1e5e24f71b52cece418f85bcda63fafa385b
mitmengine-master/db/db.go,db/db.go,3698,8651a1f303c948d140f4074d2f7844e27c8e49c6027cfd4eeadc67b92f74515c
mitmengine-master/db/db_test.go,db/db_test.go,1843,4a731502db3cf918d9433e7292b4a0b68603cbac5729c7c4fe9621fe660fda21
mitmengine-master/db/record.go,db/record.go,1146,2d5c888bf3b3ab8e9c73194b58062f5a9e3df718e5a0f0673de2ea8c430faa9f
mitmengine-master/fputil/ciphercheck.go,fputil/ciphercheck.go,21390,bc1336e6049387e72a51691a89a60523409a4e08b0ac10a4f6b939d692be9b70
mitmengine-master/fputil/ciphercheck_test.go,fputil/ciphercheck_test.go,2624,ebcd5e43273ee5a42cd4e3c561d447a9d2f13aaf6ae2f0ba80643b9b0ecdb51d
mitmengine-master/fputil/collection.go,fputil/collection.go,7082,1d02c0c19d1c7d4caee20bb573bde1800b16c90b50aa62ad2d62798cf7b14de5
mitmengine-master/fputil/collection_test.go,fputil/collection_test.go,9294,d1bb744fbc96f54524549cab49a5fcbc8608cbeaf651b493c7a260265f43dfd8
mitmengine-master/fputil/grade.go,fputil/grade.go,815,5279cf6a10490c42daec4e4cf137af0003c88f7f542ba69a04639e63e5cde08e
mitmengine-master/fputil/grade_test.go,fputil/grade_test.go,936,c02969665b35a43e2825d6d2eb58602f9fe919b2ca434c6e7e61883a4ba957bc
mitmengine-master/fputil/match.go,fputil/match.go,761,921fab3a58144d9355e0c6bf957ec8d75cad096f88cbf0821f38e420ccb65144
mitmengine-master/fputil/match_test.go,fputil/match_test.go,499,9549a9552ebaab000813584dce8225a9a305e76911325babd1799548ea1de6cf
mitmengine-master/fputil/mitminfo.go,fputil/mitminfo.go,2708,6ebe052fbcc8efbda02cb11be8ee750eecdb4865a923617b7c52fdd8e9eef180
mitmengine-master/fputil/mitminfo_test.go,fputil/mitminfo_test.go,1587,65a53f344cdf384709be8e6a1455a15ad2568b31b9d8733313061b1458140e24
mitmengine-master/fputil/request.go,fputil/request.go,23875,61bdcc95408cd691a72688a2def225a46fd906623ffcb6a37682266f5b0b6bd6
mitmengine-master/fputil/request_test.go,fputil/request_test.go,8044,fddf97292e23db85e45e86251efa49d8f0d4e9234a33f0a457e182249ff33a54
mitmengine-master/fputil/ua.go,fputil/ua.go,11651,003230d9b18a4cd4bfe433a470af3704863bb0431b31e7f46abbc4fa0e353555
mitmengine-master/fputil/ua_test.go,fputil/ua_test.go,3766,1c92d2972fd8d851527f222fab2a794dc71b7ca98af327b4d3ded0eef176a7ab
mitmengine-master/fputil/version.go,fputil/version.go,2016,d840939629d75967b77f6afe2c6532a8900e4b1a5bbcdabeaae7bdb87ed64a1a
mitmengine-master/fputil/version_test.go,fputil/version_test.go,1017,92cc4c30a8598a0a34a654b7ae4b41d7951f65cabf091b002a9296ecc7fd6181
mitmengine-master/go.mod,go.mod,594,436763e8eaa3780cc8fdcdeb2a798252dc582448334392b380fd28a738120c81
mitmengine-master/go.sum,go.sum,4386,f676a995364e853293c7dd5e723d52955748a5c51325d7552b6c496c2e660478
mitmengine-master/loader/loader.go,loader/loader.go,332,e6735af1304db9c94d1387d19ecf994d2b513ab2d99bd60f6aac7e75bb02552b
mitmengine-master/loader/loader_test.go,loader/loader_test.go,1774,3f2c8100ed164cd47b96c9da1a1a6fef24ef599f531920b6c00e354df647268c
mitmengine-master/loader/s3.go,loader/s3.go,1889,9fa26e045a69be63156df1a0fa49ca8bffbab17c10255ddc6fed7f5e7f8fadc5
mitmengine-master/processor.go,processor.go,11036,07868941d78e62fd64f0549fad0a14a9888de52475075735b02a5910a2dbba73
mitmengine-master/processor_test.go,processor_test.go,51504,a8ca999dd6a142d4af6d2dd42e0bc0674127b5784aa7e5aa7d1035a3de39c512
mitmengine-master/reference_fingerprints/fingerprint_metadata.jsonl,reference_fingerprints/fingerprint_metadata.jsonl,416894,cd766066b04f46701fadd63c01921608cc63a25ea9aa6649376cd44ae6ef57eb
mitmengine-master/reference_fingerprints/mitmengine/badheader.txt,reference_fingerprints/mitmengine/badheader.txt,1549,6e03225eb07aa2525c030c5bed4a829bf1f28ddc34cb57867294a17df8e51387
mitmengine-master/reference_fingerprints/mitmengine/browser.txt,reference_fingerprints/mitmengine/browser.txt,352010,6cd46c7563da601e8520503993920e2a01a8c8838850b0d5b17c77dc455f971d
mitmengine-master/reference_fingerprints/mitmengine/mitm.txt,reference_fingerprints/mitmengine/mitm.txt,17091,3b7d79fa08cc4233a37c6938e4f38ca69199bee6bde7f9faa365f7279fe99327
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-chrome-48/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-chrome-48/handshake.pcap,224084,dd02c37cf25037c7276c1cac477b63f6ff6bd46274c52db404bcf9788bff8c16
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-firefox-44/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-firefox-44/handshake.pcap,212586,6a1437ed5035d599ea5438faec98116d0b012afd29c51088cbc7559a6eee0ffc
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-ie-11/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGInternetSecurity2015-16-Windows/windows-7-avg-internet-security-2016-ie-11/handshake.pcap,234226,8fb64d0585a687f47391542d58d673a5b82703de3f918d265ce80ca1d5f320e2
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-chrome-48/date-2016-02-27_08-50-44_ip-23.249.38.73_port-39278_hash-208e2558210ed1b7fa3f64599fa112ba461d394c.final,reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-chrome-48/date-2016-02-27_08-50-44_ip-23.249.38.73_port-39278_hash-208e2558210ed1b7fa3f64599fa112ba461d394c.final,4081,487e3447931af388dfd7e63586c441d54c1db64b66b9bec3a27413a78fee89bb
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-chrome-48/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-chrome-48/handshake.pcap,222362,01a495d31304d36b434c83a4ce5ad5658592baff52babb3eb7c1fec15ae1b617
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-firefox-44/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-firefox-44/handshake.pcap,207245,231347dfb0b3ea8ad92807cb5d30d5aea4b948765383b9b64e5429b92d9fc0eb
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-ie-11/date-2016-02-27_08-52-14_ip-23.249.38.73_port-36672_hash-74f7556b5ed3680f49866353cb961e9156790100.final,reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-ie-11/date-2016-02-27_08-52-14_ip-23.249.38.73_port-36672_hash-74f7556b5ed3680f49866353cb961e9156790100.final,4233,c1ed46c78e8f5407ce98a3d2a81cb7801d44d8a27634b000ab843a703162ccd1
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-ie-11/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AVGZen1.41-Windows/windows-7-avg-zen-1.41-ie-11/handshake.pcap,232780,127c5afd24164c795af9b705f3db9cebce8a4a95f132b675353cd548953e6ada
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-chrome-48/date-2016-02-27_09-50-06_ip-23.249.38.73_port-43785_hash-9ee21ba9b7e1a38deecfa2b58cf1ba67b33b8184.final,reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-chrome-48/date-2016-02-27_09-50-06_ip-23.249.38.73_port-43785_hash-9ee21ba9b7e1a38deecfa2b58cf1ba67b33b8184.final,4090,4a77627aa3bccae09a366a1f7670a1820c042884337cb999e90ac9c63ef4d268
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-chrome-48/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-chrome-48/handshake.pcap,229270,bc412852036566446e570a96b2a75db747f34cb96e5ac88a5481eaa2ceba4a7f
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-firefox-44/date-2016-02-27_09-48-23_ip-23.249.38.73_port-38446_hash-db27d82ac6d3f83af277033c0abfc1f7153cce55.final,reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-firefox-44/date-2016-02-27_09-48-23_ip-23.249.38.73_port-38446_hash-db27d82ac6d3f83af277033c0abfc1f7153cce55.final,4058,facf26ff2de1e1dc5f2262cbe4b8e5e8f819d072e2543d4a78863ee604b1790b
mitmengine-master/reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-firefox-44/handshake.pcap,reference_fingerprints/pcaps/antivirus-run2/AvastAV10-Windows/windows-7-avast-free-antivirus-10-firefox-44/handshake.pcap,214577,182fb09e301faceaff85d6e83277dd01ecbe56b1b125e417f46ad47293629c7d
