wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,implementation_surfaces,test_surfaces,layers,current_outcome,current_product_surfaces,surface_sha256
232,dns-tunnel-deploy,.gitignore,1,0,0,0,0,repository-administration,accounted-reference,Operations/Profiles where focused; otherwise governance,6d049f7c970f833b9a22274c5b3a443c9034fc769980053b1b7fb41442ba64c0
232,dns-tunnel-deploy,README-fa.md,1,0,0,0,0,documentation,accounted-reference,Operations/Profiles where focused; otherwise governance,cd2bde6766a4c056adee766ada9fbe4cd1633041b6b3d8ccf5d89c8590073bd7
232,dns-tunnel-deploy,README.md,1,0,0,0,0,documentation,accounted-reference,Operations/Profiles where focused; otherwise governance,470853a900332e605a8e83e31c3211165d00ec0fd357d043087b9d0ff026c149
232,dns-tunnel-deploy,dnstt-deploy.sh,1,1,0,0,0,script,focused-adoption-or-guardrail,Operations/Profiles where focused; otherwise governance,4dd790c504f76603a6d62a40fd638e818433ef9655d08d1f35ddd834d06df4eb
232,dns-tunnel-deploy,gui,5,4,0,1,0,configuration;generated;implementation;script,focused-adoption-or-guardrail,Operations/Profiles where focused; otherwise governance,ff57f500a4fca80a7847defb53f37ed7686b74c067a30a1394360d55aecf69e6
232,outline-client,.browserslistrc,1,0,0,0,0,operational,accounted-reference,Operations/Profiles where focused; otherwise governance,5af1a0da65e5fb6cb33ac832d4892d6bf773cf06dce1a065d5b0682ebdc52432
232,outline-client,.eslintignore,1,0,0,0,0,operational,accounted-reference,Operations/Profiles where focused; otherwise governance,9122f52a63a6157361b21fa650f65db401d085099468093d0c8f793a1fe77971
232,outline-client,.eslintrc.json,1,1,0,0,0,configuration,reviewed-target-fit,Operations/Profiles where focused; otherwise governance,21393092fdaad0b83c8b6816bbbc9527c380b61b5086d34f36693a27b60d9754
232,outline-client,.gitattributes,1,0,0,0,0,repository-administration,accounted-reference,Operations/Profiles where focused; otherwise governance,37a3d9d642e15912c33a10c93130b791bdd308e0748b892e98d12d334e35f3ca
232,outline-client,.github,8,0,0,0,0,repository-administration,accounted-reference,Operations/Profiles where focused; otherwise governance,309dd3f59e08dfe5f2ac7ec4fa79f48fa2700dacd257455348629ba278572815
