wave,module_id,donor,module_path,surface_count,representative_path,representative_sha256,first_path,last_path
post-refactor-4d,PR141-M0001,ZedSecure-main,@root,3,analysis_options.yaml,e0ea485cfdbc3e12b93efb8679a5ea73ebfe20ea4ca0c473dc594fc2fb274ed5,analysis_options.yaml,pubspec.yaml
post-refactor-4d,PR141-M0002,ZedSecure-main,android,1,android/gradle.properties,20c411ebbe5162992d16d170656ee19a9ffe0571e6c4d4c5a5314bb06da0a672,android/gradle.properties,android/gradle.properties
post-refactor-4d,PR141-M0003,ZedSecure-main,android/gradle,1,android/gradle/wrapper/gradle-wrapper.properties,297c9e63b6fa6e7e8b221900fa1787c1a0e38869d8957da66389fd0f6b00f78e,android/gradle/wrapper/gradle-wrapper.properties,android/gradle/wrapper/gradle-wrapper.properties
post-refactor-4d,PR141-M0004,ZedSecure-main,local_packages/flutter_v2ray_client,4,local_packages/flutter_v2ray_client/analysis_options.yaml,73da932872d37b51c833e2015d854c77b5664f4503373547cbb7ba280ca61fa1,local_packages/flutter_v2ray_client/analysis_options.yaml,local_packages/flutter_v2ray_client/pubspec.yaml
post-refactor-4d,PR141-M0005,ZedSecure-main,@root,3,CHANGELOG.md,bce713fdbf70d920e2e063b518ddc58ef8722290aea93651aaa4d3a1bddd9868,CHANGELOG.md,README.md
post-refactor-4d,PR141-M0006,ZedSecure-main,local_packages/flutter_v2ray_client,1,local_packages/flutter_v2ray_client/README.md,183393aa733f2a5b1492c4259caf3e13057bf0243a3d849bca18b5b7fac3b345,local_packages/flutter_v2ray_client/README.md,local_packages/flutter_v2ray_client/README.md
post-refactor-4d,PR141-M0007,ZedSecure-main,android/build,1,android/build/reports/problems/problems-report.html,8f96b1978de75b65641a192e4c45a6f39cde5ffa3536f031530d1c698f3ade66,android/build/reports/problems/problems-report.html,android/build/reports/problems/problems-report.html
post-refactor-4d,PR141-M0008,ZedSecure-main,@root,2,LICENSE,9fd7f7679534d106247fe7114fef26d1a6b8475737372e77abeab806868306d4,LICENSE,NOTICE
post-refactor-4d,PR141-M0009,ZedSecure-main,@root,5,.gitignore,b6962e40e00c5b400ff0b02a7fa11f9f32757cabf292199802adbaaf26abd84d,.gitignore,key.properties.example
post-refactor-4d,PR141-M0010,ZedSecure-main,android,3,android/.gitignore,b027c9de1011765c015e5819bf857c0d75bfcd0886fb01721c091159012e50f1,android/.gitignore,android/settings.gradle.kts
post-refactor-4d,PR141-M0011,ZedSecure-main,android/app,1,android/app/build.gradle.kts,d5f437e64e40154cfe18bdd61bd0e983281cc58da5d7253a65381054c076c27b,android/app/build.gradle.kts,android/app/build.gradle.kts
post-refactor-4d,PR141-M0012,ZedSecure-main,assets/flags,1,assets/flags/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,assets/flags/.gitkeep,assets/flags/.gitkeep
post-refactor-4d,PR141-M0013,ZedSecure-main,local_packages/flutter_v2ray_client,14,local_packages/flutter_v2ray_client/.gitignore,2e7490d22602a0aa93a256069142b4281d789043f8dae7c05ec3ecaa694f8824,local_packages/flutter_v2ray_client/.gitignore,local_packages/flutter_v2ray_client/android/src/main/kotlin/dev/amirzr/flutter_v2ray_client/v2ray/utils/V2rayConfig.kt
post-refactor-4d,PR141-M0014,ZedSecure-main,android/app,15,android/app/src/main/res/drawable-hdpi/ic_launcher_foreground.png,b4fda0eb4a09d226c2d51c6e3879c4a916a5bb9918d147dc0a99484917c4d4ff,android/app/src/main/res/drawable-hdpi/ic_launcher_foreground.png,android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png
post-refactor-4d,PR141-M0015,ZedSecure-main,assets/flags,33,assets/flags/at.svg,2754ed2fad9a76d459468dc28de45235fe55711b95b43d35bbb5322a9b802202,assets/flags/at.svg,assets/flags/xx.svg
post-refactor-4d,PR141-M0016,ZedSecure-main,assets/images,1,assets/images/github.svg,483e3600d95f2178e21904752b1f26f4a6dcf1e6ccb69a2e06c00324842d6532,assets/images/github.svg,assets/images/github.svg
post-refactor-4d,PR141-M0017,ZedSecure-main,.github/ISSUE_TEMPLATE,2,.github/ISSUE_TEMPLATE/bug_report.md,d011716f56373a57315a2544aeea0f159147ed41bea13eb56130f94d771676f5,.github/ISSUE_TEMPLATE/bug_report.md,.github/ISSUE_TEMPLATE/feature_request.md
post-refactor-4d,PR141-M0018,ZedSecure-main,.github/workflows,2,.github/workflows/build-release.yml,29a4c02e0ac0ffd08c0cc41b35717ed5f2df23c10dde003f885e0c5c306a6455,.github/workflows/build-release.yml,.github/workflows/build-test.yml
post-refactor-4d,PR141-M0019,ZedSecure-main,@root,2,compile-hevtun.ps1,9d361e77e59ef7bdc54f985ec75aa478ad2c051731057d9282c5c4840568259b,compile-hevtun.ps1,compile-hevtun.sh
post-refactor-4d,PR141-M0020,ZedSecure-main,android/app,16,android/app/src/debug/AndroidManifest.xml,30b0832ed8b92dfbd6ae2abfa939ccf26333d37600056b1572bd4a397a18a74b,android/app/src/debug/AndroidManifest.xml,android/app/src/profile/AndroidManifest.xml
post-refactor-4d,PR141-M0021,ZedSecure-main,lib,1,lib/main.dart,899998b73bea03ffc6d7750aeded91c03592e076c4e83f035c694df2d8d963b9,lib/main.dart,lib/main.dart
post-refactor-4d,PR141-M0022,ZedSecure-main,lib/models,3,lib/models/app_settings.dart,41ba9a37ef635b66ad68a8d51178f3fb7a94ffcce592f6b0df395165ac352a33,lib/models/app_settings.dart,lib/models/v2ray_config.dart
post-refactor-4d,PR141-M0023,ZedSecure-main,lib/screens,10,lib/screens/about_screen.dart,5edf09542bdb25006b00b3659f6afcde989195109235e9eb5d5e2c57eddb898a,lib/screens/about_screen.dart,lib/screens/subscriptions_screen.dart
post-refactor-4d,PR141-M0024,ZedSecure-main,lib/services,9,lib/services/app_settings_service.dart,8964b2e3dae8d97785ffdec5f3742b70ce5280b102b3c6467f44873173b0dda8,lib/services/app_settings_service.dart,lib/services/v2ray_service.dart
