donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale
sni-spoofing-rust,.github/workflows/ci.yml,8fa32972b1e0ebee6c8317c78a3a121f40607498a08d6115248f9921a612575d,1055,file,YAML,repository-administration,supporting-evidence,PR227-R001,accounted-supporting-repository-administration,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,.github/workflows/docker-image.yml,484d41bfdaf71e5e6f0ee14a0f2caf455db9070fc207945c06adcfb040b819dd,1363,file,YAML,repository-administration,supporting-evidence,PR227-R001,accounted-supporting-repository-administration,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,.github/workflows/release.yml,56ca9ad11c8138c546311821ab5f17403978857714308589bea41b5f66d8c0d6,8781,file,YAML,repository-administration,supporting-evidence,PR227-R001,accounted-supporting-repository-administration,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,.gitignore,cb8acc5ca7f91e79b5f5c66db87a08c78a26aea44ce643dfc4fb764fdd63dfa2,20,file,other,repository-administration,supporting-evidence,PR227-R001;PR227-M002,accounted-supporting-repository-administration,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,Cargo.lock,076161e6fe05df21587bc378611cbaff52c2fe5bcd9283f59e8ec1eb2340798b,120112,file,Lockfile,configuration,authoritative-source,PR227-R001;PR227-M002;PR227-F0001,focused-file-configuration,independent file-level disposition
sni-spoofing-rust,Cargo.toml,bbb45077eed0f9cd67b25b545851d47bba38307dafde121ba6ae6da19acf09a6,1130,file,TOML,configuration,authoritative-source,PR227-R001;PR227-M002;PR227-F0002,focused-file-configuration,independent file-level disposition
sni-spoofing-rust,LICENSE,06dcddbb6908a0c6dd4a9e8ec822eea41d5a460a53089fecccc8a68049e99241,1056,file,other,documentation,supporting-evidence,PR227-R001;PR227-M002,accounted-supporting-documentation,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,Makefile,7dc230d48162450c9a8be285c7ed4cc0730aa8d41224ee359568f87340456eb4,1249,file,other,configuration,authoritative-source,PR227-R001;PR227-M002;PR227-F0003,focused-file-configuration,independent file-level disposition
sni-spoofing-rust,README.md,ed306e9e6250bed57bb75f6132e244f5bbb6f8f7e4f9f5ff4c2c2194cce44047,23483,file,Markdown,documentation,supporting-evidence,PR227-R001;PR227-M002,accounted-supporting-documentation,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,config.json,749c8a6c081c4a9d4fd5dd5896d09e9f96d8bbcf749e1248398a844dc261551a,149,file,JSON,configuration,authoritative-source,PR227-R001;PR227-M002;PR227-F0004,focused-file-configuration,independent file-level disposition
sni-spoofing-rust,data/scan-snis.txt,0170b7b753aded563759dbfb73b2d9a1a6342af68c405cb78f0287f6c0642498,12030,file,Text,fixture,supporting-evidence,PR227-R001;PR227-M003,accounted-supporting-fixture,supporting/documentation/fixture surface explicitly accounted by donor record
sni-spoofing-rust,docker/Dockerfile,ffef1bd1e4d5c67df1508be4fe2fc39690841c64cdb9eeae0ba04b9edb82f5c7,1124,file,Dockerfile,deployment,authoritative-source,PR227-R001;PR227-M004;PR227-F0005,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,docker/README.md,91c800af5a40edea61f9ea9009063b444266e116a80647b9a1f0e8f70983493e,3498,file,Markdown,deployment,authoritative-source,PR227-R001;PR227-M004;PR227-F0006,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,docker/entrypoint.sh,43b0c467e1d62d8245b39dfe2d4efb167f01058d8a51f026c43892f6d669c075,7478,file,Shell,deployment,authoritative-source,PR227-R001;PR227-M004;PR227-F0007,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/README.md,b750b7ed921181a97170c1259ff45d86e0297e3f30ca47dbd000079b41770010,4163,file,Markdown,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0008,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-linux-amd64,2d2e94645ebe42ff887c333952d210de578736ed30dbc1239e56e5ec67444479,1486488,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0009,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-linux-amd64-musl,3c648310439f4d7628a996ae8eaf848193b751f3d190d4967c99763bd37f755d,1621056,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0010,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-linux-arm64,74ab8567e08161d1dc40033212d9069a0a4243f97f78ec5892b0a5a48ce101ec,1383552,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0011,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-macos-amd64,d0bf878fd7064ab97a43148bec24e5ec98f14d69b194ccceaabcae7be99632a7,1313456,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0012,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-macos-arm64,ad2a19795c18ef2d0caa1b19e236a04f7db6adab48aaf02ebeff525f2c7247f0,1199856,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0013,focused-file-deployment,independent file-level disposition
sni-spoofing-rust,releases/sni-spoof-rs-ui-linux-amd64,b9fee28de47c5161164394e55e2a9dea767de69cd4ee7789b9590b254de2cb03,9525120,file,binary,deployment,derived-artifact,PR227-R001;PR227-M005;PR227-F0014,focused-file-deployment,independent file-level disposition
