donor,path,symbol,line,snippet,sha256,semantic_record_ids
Aether-GUI-main(1).zip,Aether-GUI-main/src/App.tsx,MainScreen,21,function MainScreen() {,f6476857d3d05267d14bcb130d496300f78c2ea392fc1fcf53726d971f3c2482,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src/App.tsx,App,36,export function App() {,f6476857d3d05267d14bcb130d496300f78c2ea392fc1fcf53726d971f3c2482,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/build.rs,main,1,fn main() {,487059eaf8a947b80f20a9aacac038a5047b2ad69d2401b827376c67d6fe847f,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,connect,8,pub fn connect(,bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,disconnect,17,"pub fn disconnect(app: AppHandle, state: State<AppState>) -> Result<(), AetherError> {",bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,submit_access_code,22,"pub fn submit_access_code(state: State<AppState>, code: String) -> Result<(), AetherError> {",bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,get_status,27,pub fn get_status(state: State<AppState>) -> ConnectionState {,bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,get_default_profile,32,pub fn get_default_profile(app: AppHandle) -> ConnectionProfile {,bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,set_default_profile,37,"pub fn set_default_profile(app: AppHandle, profile: ConnectionProfile) -> Result<(), AetherError> {",bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,get_close_to_tray,43,pub fn get_close_to_tray() -> bool {,bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/commands.rs,set_close_to_tray,48,"pub fn set_close_to_tray(app: AppHandle, enabled: bool) {",bdbf5f413fa9016ecc90f05123993460bab60153444607feaaecb3b70626ac6d,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/state.rs,ConnectionState,18,pub enum ConnectionState {,1adbd1c0570b4f4bfa30cce10c938ee5a10f4884580b038d3e1473256680b802,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/state.rs,AppState,31,pub struct AppState {,1adbd1c0570b4f4bfa30cce10c938ee5a10f4884580b038d3e1473256680b802,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/state.rs,default,36,fn default() -> Self {,1adbd1c0570b4f4bfa30cce10c938ee5a10f4884580b038d3e1473256680b802,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/main.rs,main,14,fn main() {,bfa6ed24c90b903dc02cedd235448af56e962efe51acab71af0f533db77668aa,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/focus.rs,spawn_watcher,13,pub fn spawn_watcher(app: AppHandle) {,5d5d20ca6177d1815b94ce06962d0661435e5287ae39dc4272635236d33c9f57,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/tray.rs,get_close_to_tray,17,pub fn get_close_to_tray() -> bool {,23daf4dae2e84d0417a4a036fa790cf3f3049adcef3b14a3ce0e888cfa827ebb,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/tray.rs,set_close_to_tray,21,"pub fn set_close_to_tray(app: &AppHandle, enabled: bool) {",23daf4dae2e84d0417a4a036fa790cf3f3049adcef3b14a3ce0e888cfa827ebb,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/tray.rs,load_preference,32,fn load_preference(app: &AppHandle) {,23daf4dae2e84d0417a4a036fa790cf3f3049adcef3b14a3ce0e888cfa827ebb,PR222-S001
Aether-GUI-main(1).zip,Aether-GUI-main/src-tauri/src/tray.rs,init,44,"pub fn init(app: &mut tauri::App) -> Result<(), Box<dyn std::error::Error>> {",23daf4dae2e84d0417a4a036fa790cf3f3049adcef3b14a3ce0e888cfa827ebb,PR222-S001
