path,change_type,baseline_type,current_type,baseline_sha256,current_sha256,semantic_record_ids,reason,verification_path
Makefile,modified,file,file,428fddd321010fce5fcac250491f17b171aed6dbaaf97850a8cc61f9e665aeb3,6a90a381ce5658d1c75d5d171d362cd1ce943d39339e4edf75cd969aae9a2ea6,n/a,wire 224 evidence generation and verification into repository tooling,scripts/checks/check_tooling_surface.py
governance/convergence/post-refactor-224-adoption-ledger.csv,added,n/a,file,n/a,819f9784401b75d091fe86d36dfe4a36a9f5ffdd3e75f8ef092651b5a171281d,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-architecture.md,added,n/a,file,n/a,097ba1c4077fe368db424fc0425486e44e2d025de19d6b923fc3e8c15d705866,JJ002,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-archive-accountability.csv,added,n/a,file,n/a,3e9ec2b7e01e709f1480a46c19f78232078c38f82bcc46fa03a3b44b0b3cf03e,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-baseline-files.csv,added,n/a,file,n/a,a2e4f7043018de6aa85b37fd1b71c8301712a01b0680171e354c8a135aae2d33,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-directories.csv,added,n/a,file,n/a,ff3da6cb06bd99ea333c1f63605faed3b7dfc4a7336f73b9129ac53bf3021764,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-evidence-summary.json,added,n/a,file,n/a,c3914d54f2a1782c622a27e86a5213c4db2a26316212497b33f1b1873f83157b,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-omission-audit.md,added,n/a,file,n/a,4177ea565c268e7a6e2e6afda1ea4630b31824cae84259dc58abea388e109ff6,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-operator-runbook.md,added,n/a,file,n/a,39e23db3e0c332e13b952434bd77c345a94e47742a219037c7c76a4ecd02e329,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-peer-synthesis.md,added,n/a,file,n/a,88161838095505943add1b80aa0472539c248ca6d43829f41a619adb9077a617,L7MP004;L7PROTO003;L7SNAKE002;LIBKCP003;LIBXRAY003;LOGDEMUX003;MAR004,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-security-model.md,added,n/a,file,n/a,71e6e3ed8c25d85bc3bea4dde98b5a78d97188986a89258e20fc392cd5a8ba26,IRCFG002;IRRULE003;JJ003;L7MP003;LACUNA002;LUCI003;MAR003,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-state-and-trust-map.md,added,n/a,file,n/a,573c3b1f15d68e3455fe7fa49ff5cd2b287627f48a4abcfbc27c7fdda69fafce,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-surface-accountability.csv,added,n/a,file,n/a,3b741364ce24850ca1ca35c795ad15a2b303077daed97b93a950e4225fde02a9,BASE01;BASE02;BASE03;BASE04;BASE05;BASE06;BASE07;BASE08;BASE09;BASE10;BASE11;BASE12;BASE13;BASE14;BASE15,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-symbols.csv,added,n/a,file,n/a,761449298e703962e58535c040cb0e0547f690909e09971ec74eb53fc19689fb,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-validation.md,added,n/a,file,n/a,d5a0d33a84cbc3b488490b23ab3b640752c062fc03a52d72448eedf1e36a1f0f,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/convergence/post-refactor-224-wave22-preset-baseline.json,added,n/a,file,n/a,4359e7dc0c73ab0091fa37140f1b43851778c116bac3ff02c5b7bc45236ba66f,n/a,"post-refactor-224 provenance, design, audit, validation, or frozen-baseline evidence",scripts/checks/check_post_refactor_224_convergence.py
governance/topology/relocations.json,modified,file,file,282091ce13e18d41558a3e4f8330b2a7119f76b7758f7250a48585c31e19d438,75fb5450effd844b132b004b0eb8d344b024c20619a4b88f4da1f01f3ceb1ef5,n/a,explicit topology accounting for intentional 224 retirements/transforms,scripts/checks/verify_repository_topology.py
scripts/checks/check_eighth_order_convergence.py,modified,file,file,d665e38d89d6d6de64d3ccd11b4f897ea78caec13469729d052bc249ec07c3dd,3b8840b11096607e1aa3b8732882cdf444c6c44a7c7fd286a4e316d9893973ce,n/a,historical semantic matcher hardened against formatter whitespace,scripts/checks/check_eighth_order_convergence.py
scripts/checks/check_post_refactor_222_convergence.py,modified,file,file,6a287b8ab345c8175a734038dbadbf6be69c48bc866b5c9a22a1e8331e7c9d0d,5b8f28776b52550eb6574ae25aa4adb1277ed81e524ecc5f2cf73b5ca978e573,n/a,freeze historical 222 accountability against successor baseline,scripts/checks/check_post_refactor_222_convergence.py
scripts/checks/check_post_refactor_223_convergence.py,modified,file,file,4dc69c9e9daa8e65054556ca0cfcd3da22e6de9de819fb3d091cdcc4c9ee3480,f52f5419e33ed43488b23ccd2cc00292848dca8f7518c5ae084ad197e78ed3c2,n/a,freeze historical 223 evidence against exact successor baseline,scripts/checks/check_post_refactor_223_convergence.py
