status,old_path,new_path,old_size,new_size,old_sha256,new_sha256
added,,.editorconfig,0,324,,264e8eb9942700c5ce405b5ad198751cdc81c2d3357b694380ba340aa99a467c
added,,.go-version,0,7,,14c5f0cdd5bd79e9272abe3b788316012cd6bcabc5e4980f27634b2413857758
added,,.graphifyignore,0,214,,5d5f375bcc23536f547d1b57f94f3aa7f6705911d7f2cc431a02fab448c44e1f
added,,.nvmrc,0,8,,177d20030d4dcc37eae9ef92865ec54dadce60e8f19e9a34a5d4f37502195a36
added,,client/android/README.md,0,94,,6d7a47a5e6ab8704976680548cd198d33918e175fa93b6e96e589144c40b4d3a
added,,desktop/android/README.md,0,94,,6d7a47a5e6ab8704976680548cd198d33918e175fa93b6e96e589144c40b4d3a
added,,desktop/frontend/src/api/contracts.ts,0,11348,,b310ccfb2de613aadf3763259010b0c73d73c7dda7faf6beac14ce2f7eb57c69
added,,docs/architecture/deep-module-opportunities.md,0,3045,,e489b5d59e2c1d686c7a946a348f93cf057befa6cbe9b262c35c227dfd5c1303
added,,docs/architecture/graphify.md,0,682,,fedf662c0a27dedcf356609990b91ce13364597cf60bd99b1b3613502fed949c
added,,docs/audit/2026-08-07-project-audit.md,0,5829,,738b730c19b38d9e351a98d9336f2d22ff9dfe8a1a80da96dfb813a1b710af3e
added,,docs/audit/current-inventory/files.csv,0,276497,,5dfdce5df5178d5f42a3231213b3540c396b166181a343e80c32340122a046dc
added,,docs/audit/current-inventory/summary.json,0,60,,7371a2d8a91a6276bdc5e4bf91858e88ba1752374eb7f44c859fb58a46089eca
added,,docs/audit/inventory/README.md,0,2565,,bf09265d94c5c0ac91805307d6332a07d0101c0cb5f0d07df10d9bcc9fb09a80
added,,docs/audit/inventory/duplicates.csv,0,21741,,dc7b0862b76bb1a8af5aeb33f04dc45174bfe967500812da9ce14a5dff5e0a6f
added,,docs/audit/inventory/duplicates.json,0,30106,,433aaca91dbbc0a930718e71fc05fbc476ccead4ac8744f1dfb2409738df42d8
added,,docs/audit/inventory/files.csv,0,1490371,,e4577a9a0af4bd4cfc65aa3d521b773e0fdc056b70f9f7a6f417eaa98d06217c
added,,docs/audit/inventory/files.json,0,3154180,,45fd829837f60ed1ebe7687550f7ae4a98eb60c4f63b76959b15f6ffbbb4a081
added,,docs/audit/inventory/summary.json,0,7257,,4e436b41d8f51c8fcc2aa8bd72e58bbedfa6ebc5873b615b5c650c97661604c8
added,,docs/audit/inventory/tree.txt,0,235813,,4222fd4fd60a2fac483df3330756d441ec0bd6a5141ceee1f82043d6701a0166
added,,docs/audit/removed-artifacts-summary.json,0,307,,bd2f6a424c68183a469532ffc83e0239b7b251b71c34dc2481fcc66cbabc0c0e
added,,docs/audit/removed-artifacts.csv,0,1072379,,dd12944ee1289174c0d80aa1f8159304659a1a379c6ad6adc718f3cb1151454e
added,,docs/plans/2026-08-07-repository-recovery-plan.md,0,3378,,cbc87dcc376018344c06ccfac48e3593435e00189d2edf437556a47720a02fd0
added,,docs/porting/README.md,0,465,,aecd4c1eb7352fb41b0ece137f5e101b37533ba65303bb6d469f5ddfae5d54e3
added,,docs/porting/archive/LumiNet_Master_Porting_Compendium.md,0,249116,,b1e30cd40054ee5af9c2ab8f830d15a6f77b23852af5820a6d76a19a245d9e2a
added,,docs/porting/archive/porting_progress.json,0,17494,,a75b74e27975baa52aeebfa17a5b3a65fa825b8e8d8cc85e693046c66a7a0a20
added,,mobile/android/README.md,0,797,,5c8bbb9dd41459ce887ceb6b50ac5413e224b94a95466c9466eee426cee0e7b1
added,,mobile/android/app/build.gradle.kts,0,1139,,ac885f540fb578ee0186be7058b661c709013a8cff893477a8013a3eccea0c84
added,,mobile/android/app/src/main/AndroidManifest.xml,0,2819,,ea4d71a5d854f3a1c37411fe52c2ca03894b6785c9abde3d22fd82ad6454db4d
added,,mobile/android/app/src/main/java/com/luminet/android/InvizibleDaemon.kt,0,9024,,0970e030f298c4ed674f3f5bce8de7cb4130e6693ae2830cb27a263a3e4ce71f
added,,mobile/android/app/src/main/java/com/maybeknott/luminet/internal/mobile/OutlineVpnService.kt,0,5795,,b4feb1c7e6e17903c7c8ab1234832aca8faf5316268eff51facd912d7dff4c1b
added,,mobile/android/app/src/main/java/com/maybeknott/luminet/internal/mobile/WhiteDnsVpnService.kt,0,4077,,20174470b84627b6e848bfeaa5209b46639955ed1d73e6bdbc6d31a60bfc163b
added,,mobile/android/app/src/main/res/drawable/ic_luminet_status.xml,0,407,,b3eb5676c03cc1d4a90995b24aaac6a8e0687c456710bf2fd9fbf68819da57be
added,,mobile/android/app/src/main/res/values/strings.xml,0,70,,bdebb0a9611311b9d6c1f812be0ce9d693cf0d661b5699b0aea08b1046c42b18
added,,mobile/android/app/src/main/res/values/themes.xml,0,241,,77fa4e0b01e3b1e5a0ca857278959e8ec2633a1443b9a2cf2b82d6ceb2ef5eca
added,,mobile/android/build.gradle.kts,0,149,,1c3bc1c3259ceae38688f2cd78618fc3de9638393002c202f95df0efb6d3c2b5
added,,mobile/android/gradle.properties,0,133,,8248c4a16d1ccd10213a27ab96d6d27acbff9b93c01b725c940e4071da6240a5
added,,mobile/android/incubator/README.md,0,512,,35d6ba605d7cb9a0b412c88ebd1fe0d98864b91a3422334300649b6099de7bf5
added,,mobile/android/settings.gradle.kts,0,334,,aa5d0c729df13845d28e42bd25811a87a383e703cda43aafe1229700dfe429a9
added,,rust-toolchain.toml,0,86,,0c9b811689c2817b6404b2858b3e8f7aebf513af379da94774521025b7008863
added,,scripts/graphify.ps1,0,456,,dd2ef5aadb75bcf6422cf944ac35725f31dd6250c2af99d33a00e3474640f878
added,,scripts/graphify.sh,0,473,,057e22818336c43509f527a9196340711fad1379b9cafe06e27691c051834234
added,,scripts/repo_audit.py,0,9833,,24b0f6710d41f7f5077fd74f87f02bf6372c83ec7e9aadde3d29cf6d6d2a35f8
added,,scripts/repo_inventory.py,0,1164,,07c990dcf1ff2ce3cb7f790ec49e25251c973537fe6afbfc0a4fd7ba60e79709
added,,server/internal/jobs/diagnostic_plan.go,0,5085,,645ef1f47e0cd375f19caa2acb76296c1b07354ff5c4cb88eb23fbe118d1da66
added,,server/internal/jobs/diagnostic_plan_test.go,0,1660,,219e24ab3eb425db84e5623a886c330b1ba9969965ec1bd69e76a2beea43ae83
added,,server/internal/mobile/README.android.md,0,100,,8a7509ef2343433f245a75783bac5c5a62c195b65e588bf04820389fc491f154
modified,.github/workflows/ci.yml,.github/workflows/ci.yml,6973,7695,ffcbfa2001bc6cd422d25ce01ad41b6ee9877f04de358ce46da07bdb9611123d,73cec394aeb4fdbe161583cbf0be7b3da6d6c5abf92e81da85c1ae6b7b40d14c
modified,.github/workflows/release.yml,.github/workflows/release.yml,10389,12085,46ba5cdb198c06311e7b058023156d737d15d6c223282495416767836487f5f0,16c0d19d7acb7eeff205c014cd41737c99d5aad4180f53049cfa34e415fbf0a4
modified,.gitignore,.gitignore,5511,728,d7f22089b4db054f487a706b1a4250e4c1624a83e15cebb62298c14cf9d35c95,d7e0827ff1e617d760510ca9b969d86126c607f5fbf699defc1d92d7228ae026
modified,Makefile,Makefile,13343,4963,6d52893e78d1e34962fcb2a81755eecc6fcc7b93fdb577916e615e8de06427f9,4fdd62577c18634bd75bc8f7156edbb1a06113764d18d6241b75a2151b25f436
modified,client/go.mod,client/go.mod,55,55,272ad729c6d09b2a2a155065450c64f1b2e2923fd2bf5d523924e5c1688fb776,0bb02022e91bbb7ce686380a5c4be9a9b7c196b472af29b462e700ed639e3f7f
modified,conductor/preservation-ledger/families.v1.json,conductor/preservation-ledger/families.v1.json,22793,22814,43fa3d94163c9edd7e372516a38b441e3d74a58602ca14fd353f25ed3b1348b3,fe702ff2de3291c8d2ae4d197795a10133982b7c882d292b372563d1bf5d09ea
modified,desktop/frontend/package-lock.json,desktop/frontend/package-lock.json,61446,61546,22f20c4b3940bb83b442e1d1453d0c6e23ac5192e5d71561e035ff829d77e874,24341531823e3bfc5cea5fdef54b1a8cd0bfda590c0e07457afa1f4edb3b9391
modified,desktop/frontend/package.json,desktop/frontend/package.json,683,1006,1fb8001d3ce117730db465a47efef64df57f21d84f353bd05b82c1ac74f7d207,9bcfecf70f9b81b9e60e73bb4e323ce3550b65a98bf92979f759f2e127dd20b8
modified,desktop/frontend/src/App.tsx,desktop/frontend/src/App.tsx,1137,1077,59d5e702bb1491738ca86bc81050665c4377d8d431bf76b54a50076b2332d657,5f94a01dcc315f1a85ed24e919d7e581d3577f2cf1155a58a78954205b9bd61f
modified,desktop/frontend/src/api/ControlTransport.ts,desktop/frontend/src/api/ControlTransport.ts,4717,5569,b47f075783abee063b3e799ffecf8db1fbda470bed872392d0179e0e75dbb753,146745f6fa50b011e0407f6dfc4e17fcecb1194fd0054e530bb495ea97b9b8c3
modified,desktop/frontend/src/api/TelemetryService.ts,desktop/frontend/src/api/TelemetryService.ts,3613,3885,258aefe573692c2800dc9378b59726d8a8212b85129c0264ead5ffe3f0847e67,048e20fe3eb346ece849a55f11c904959e87f2271ff58e1cc69568fa1d58ff95
modified,desktop/frontend/src/components/layout/AppLayout.tsx,desktop/frontend/src/components/layout/AppLayout.tsx,2678,3381,221bd252949c8dda56434fe6a5f2dafd984d06d61f824bf96866af3174c2bc00,405aaf98731ba717c1501dc9419198f254c2f5811d1463ddce3920125c8fcad7
modified,desktop/frontend/src/index.css,desktop/frontend/src/index.css,3033,2984,8ba033045cc92f163ddf0078fa620f3797320deeb62c8443df86fac5c0799ecf,30b20d3b1a5e8a5caa91d5e1d857d4b0d1ab881986a4bbf36690154305977650
modified,desktop/frontend/src/main.tsx,desktop/frontend/src/main.tsx,236,336,abe0edc1f91f5d414bbfb8f335f8871b4bf4edf07a861ab225e368a8319cdb6b,ae46da18737fa5936ccced73d31639b86a27d9a005a1b574cdbb1f7ab3fe764b
modified,desktop/frontend/src/pages/Dashboard.tsx,desktop/frontend/src/pages/Dashboard.tsx,17935,17867,b03290fe9a4e28d1e6d857a5ef6ec045f246069566473a1332cda5c9ef2291d5,cd815e8c3ce286f8e514a1e26381750efa43485a44a32c9eca242e18ae950d5f
